Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Tyreek Hill,KC,WR,12,TB,15,13,86.7,269,3,75,17.9,20.7,0,0,0,0,0,0,60.9,60.9
2,Tyler Lockett,SEA,WR,7,ARI,20,15,75,200,3,47,10,13.3,0,0,0,0,0,0,56,56
3,Davante Adams,GB,WR,7,HOU,16,13,81.2,196,2,45,12.2,15.1,0,0,0,0,0,0,47.6,47.6
4,Davante Adams,GB,WR,16,TEN,12,11,91.7,142,3,32,11.8,12.9,0,0,0,0,0,0,46.2,46.2
5,Chase Claypool,PIT,WR,5,PHI,11,7,63.6,110,3,35,10,15.7,3,6,2,1,0,0,45.6,45.6
6,Davante Adams,GB,WR,1,MIN,17,14,82.4,156,2,40,9.2,11.1,0,0,0,0,0,0,44.6,44.6
7,Stefon Diggs,BUF,WR,16,NE,11,9,81.8,145,3,50,13.2,16.1,0,0,0,0,0,0,44.5,44.5
8,Mike Evans,TB,WR,16,DET,12,10,83.3,181,2,33,15.1,18.1,0,0,0,0,0,0,43.1,43.1
8,DK Metcalf,SEA,WR,8,SF,15,12,80,161,2,46,10.7,13.4,0,0,0,0,0,0,43.1,43.1
10,Justin Jefferson,MIN,WR,6,ATL,11,9,81.8,166,2,49,15.1,18.4,0,0,0,0,0,0,42.6,42.6
10,Brandin Cooks,HOU,WR,17,TEN,16,11,68.8,166,2,38,10.4,15.1,0,0,0,0,0,0,42.6,42.6
12,Marvin Jones Jr.,DET,WR,17,MIN,11,8,72.7,180,2,43,16.4,22.5,0,0,0,0,0,0,41,41
13,Tyler Lockett,SEA,WR,3,DAL,13,9,69.2,100,3,43,7.7,11.1,0,0,0,0,0,0,40,40
14,Antonio Brown,TB,WR,17,ATL,14,11,78.6,138,2,30,9.9,12.5,0,0,0,0,0,0,39.8,39.8
15,Keenan Allen,LAC,WR,11,NYJ,19,16,84.2,145,1,21,7.6,9.1,0,0,0,0,1,1,38.5,38.5
16,Odell Beckham Jr.,CLE,WR,4,DAL,8,5,62.5,81,2,37,10.1,16.2,2,73,36.5,1,0,0,38.4,38.4
17,Corey Davis,TEN,WR,13,CLE,12,11,91.7,182,1,43,15.2,16.5,0,0,0,0,0,0,38.2,38.2
18,William Fuller V,HOU,WR,12,DET,7,6,85.7,171,2,40,24.4,28.5,0,0,0,0,0,0,38.1,38.1
19,Davante Adams,GB,WR,13,PHI,12,10,83.3,121,2,42,10.1,12.1,0,0,0,0,0,0,37.1,37.1
20,Calvin Ridley,ATL,WR,1,SEA,12,9,75,130,2,22,10.8,14.4,1,-1,-1,0,0,0,36.9,36.9
21,Julio Jones,ATL,WR,6,MIN,10,8,80,137,2,40,13.7,17.1,0,0,0,0,0,0,36.7,36.7
22,Sterling Shepard,NYG,WR,17,DAL,10,8,80,112,1,21,11.2,14,2,24,12,1,0,0,36.6,36.6
23,Richie James,SF,WR,9,GB,13,9,69.2,184,1,47,14.2,20.4,0,0,0,0,0,0,36.4,36.4
23,Amari Cooper,DAL,WR,4,CLE,16,12,75,134,1,20,8.4,11.2,0,0,0,0,0,0,36.4,36.4
