Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
631,Josh Adams,NYJ,RB,13,LV,8,74,9.2,0,0,0,0,0,0,0,7.4,7.4
631,Gabe Nabers,LAC,FB,9,LV,0,0,0,0,1,1,4,1,0,0,7.4,7.4
631,C.J. Prosise,HOU,RB,12,DET,5,12,2.4,0,1,1,2,1,1,1,7.4,7.4
631,David Montgomery,CHI,RB,3,ATL,14,45,3.2,0,3,2,9,0,0,0,7.4,7.4
631,Brian Hill,ATL,RB,5,CAR,6,39,6.5,0,2,2,15,0,0,0,7.4,7.4
631,Boston Scott,PHI,RB,1,WAS,9,35,3.9,0,2,2,19,0,0,0,7.4,7.4
631,Nyheim Hines,IND,RB,15,HOU,5,43,8.6,0,3,2,11,0,0,0,7.4,7.4
638,Gus Edwards,BAL,RB,2,HOU,10,73,7.3,0,0,0,0,0,0,0,7.3,7.3
638,Wayne Gallman,NYG,RB,16,BAL,6,27,4.5,0,2,2,26,0,0,0,7.3,7.3
638,Boston Scott,PHI,RB,2,LAR,4,19,4.8,0,3,3,24,0,0,0,7.3,7.3
638,Adrian Peterson,DET,RB,9,MIN,8,29,3.6,0,5,3,14,0,0,0,7.3,7.3
642,Frank Gore,NYJ,RB,3,IND,15,57,3.8,0,1,1,5,0,0,0,7.2,7.2
642,Gabe Nabers,LAC,FB,8,DEN,0,0,0,0,1,1,2,1,0,0,7.2,7.2
642,Cam Akers,LAR,RB,15,NYJ,15,63,4.2,0,3,1,-1,0,0,0,7.2,7.2
642,DeAndre Washington,MIA,RB,14,KC,13,35,2.7,0,4,2,17,0,0,0,7.2,7.2
642,Devin Singletary,BUF,RB,16,NE,10,36,3.6,0,2,2,16,0,0,0,7.2,7.2
642,Chris Thompson,JAX,RB,5,HOU,2,7,3.5,0,3,3,35,0,0,0,7.2,7.2
648,Kyle Juszczyk,SF,FB,5,MIA,2,11,5.5,1,1,0,0,0,0,0,7.1,7.1
648,Kalen Ballage,LAC,RB,15,LV,8,11,1.4,1,0,0,0,0,0,0,7.1,7.1
648,Damien Harris,NE,RB,9,NYJ,14,71,5.1,0,0,0,0,0,0,0,7.1,7.1
648,Reggie Gilliam,BUF,FB,2,MIA,0,0,0,0,1,1,1,1,0,0,7.1,7.1
648,Patrick Ricard,BAL,FB,2,HOU,0,0,0,0,1,1,1,1,0,0,7.1,7.1
648,J.K. Dobbins,BAL,RB,2,HOU,2,48,24,0,1,1,13,0,0,0,7.1,7.1
648,Jakob Johnson,NE,FB,2,SEA,0,0,0,0,1,1,1,1,0,0,7.1,7.1
648,Joe Mixon,CIN,RB,1,LAC,19,69,3.6,0,2,1,2,0,1,1,7.1,7.1
648,J.D. McKissic,WAS,RB,7,DAL,5,35,7,0,2,2,16,0,0,0,7.1,7.1
648,Tarik Cohen,CHI,RB,3,ATL,2,21,10.5,0,6,3,20,0,0,0,7.1,7.1
648,LeSean McCoy,TB,RB,2,CAR,1,-5,-5,0,7,5,26,0,0,0,7.1,7.1
659,Gus Edwards,BAL,RB,12,PIT,9,10,1.1,1,0,0,0,0,0,0,7,7
659,David Johnson,HOU,RB,2,BAL,11,34,3.1,0,4,2,16,0,0,0,7,7
659,Jalen Richard,LV,RB,5,KC,1,4,4,0,5,4,26,0,0,0,7,7
659,Devine Ozigbo,JAX,RB,14,TEN,0,0,0,0,4,4,30,0,0,0,7,7
663,Josh Jacobs,LV,RB,16,MIA,13,69,5.3,0,2,0,0,0,0,0,6.9,6.9
663,Sony Michel,NE,RB,16,BUF,10,69,6.9,0,0,0,0,0,0,0,6.9,6.9
663,Alexander Mattison,MIN,RB,9,DET,12,69,5.8,0,0,0,0,0,0,0,6.9,6.9
663,Matt Breida,MIA,RB,5,SF,9,28,3.1,0,1,1,31,0,0,0,6.9,6.9
663,Giovani Bernard,CIN,RB,12,NYG,8,32,4,0,3,2,17,0,0,0,6.9,6.9
