Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Darren Waller,LV,TE,13,NYJ,17,13,76.5,200,2,38,11.8,15.4,0,0,0,0,0,0,48,48
2,George Kittle,SF,TE,4,PHI,15,15,100,183,1,38,12.2,12.2,1,8,8,0,0,0,43.1,43.1
3,Robert Tonyan,GB,TE,4,ATL,6,6,100,98,3,27,16.3,16.3,0,0,0,0,0,0,33.8,33.8
4,Darren Waller,LV,TE,15,LAC,12,9,75,150,1,35,12.5,16.7,0,0,0,0,0,0,33,33
5,Darren Waller,LV,TE,2,NO,16,12,75,105,1,18,6.6,8.8,0,0,0,0,0,0,31.5,31.5
6,Darren Waller,LV,TE,17,DEN,10,9,90,117,1,28,11.7,13,0,0,0,0,1,1,30.7,30.7
7,Travis Kelce,KC,TE,14,MIA,10,8,80,136,1,32,13.6,17,0,0,0,0,0,0,30.6,30.6
7,Travis Kelce,KC,TE,13,DEN,12,8,66.7,136,1,28,11.3,17,0,0,0,0,0,0,30.6,30.6
9,Mike Gesicki,MIA,TE,2,BUF,11,8,72.7,130,1,27,11.8,16.2,0,0,0,0,0,0,30,30
10,Travis Kelce,KC,TE,11,LV,10,8,80,127,1,22,12.7,15.9,0,0,0,0,0,0,29.9,29.86
11,Travis Kelce,KC,TE,9,CAR,12,10,83.3,159,0,44,13.2,15.9,0,0,0,0,0,0,28.9,28.9
12,Tyler Higbee,LAR,TE,2,PHI,5,5,100,54,3,28,10.8,10.8,0,0,0,0,0,0,28.4,28.4
13,Anthony Firkser,TEN,TE,6,HOU,9,8,88.9,113,1,45,12.6,14.1,0,0,0,0,0,0,28.3,28.3
14,Travis Kelce,KC,TE,8,NYJ,12,8,66.7,109,1,25,9.1,13.6,0,0,0,0,0,0,27.9,27.9
15,Travis Kelce,KC,TE,5,LV,12,8,66.7,108,1,32,9,13.5,0,0,0,0,0,0,27.8,27.8
16,Dallas Goedert,PHI,TE,1,WAS,9,8,88.9,101,1,34,11.2,12.6,0,0,0,0,0,0,27.1,27.1
17,George Kittle,SF,TE,6,LAR,10,7,70,109,1,44,10.9,15.6,0,0,0,0,0,0,26.9,26.9
18,Logan Thomas,WAS,TE,15,SEA,16,13,81.2,101,0,20,6.3,7.8,0,0,0,0,0,0,26.1,26.1
19,Taysom Hill,NO,TE,11,ATL,0,0,0,0,0,0,0,0,10,49,4.9,2,1,1,25.2,25.22
20,Logan Thomas,WAS,TE,13,PIT,9,9,100,98,1,30,10.9,10.9,0,0,0,0,0,0,24.8,24.8
21,Taysom Hill,NO,TE,13,ATL,0,0,0,0,0,0,0,0,14,83,5.9,0,3,1,24.6,24.58
22,Jonnu Smith,TEN,TE,2,JAX,5,4,80,84,2,63,16.8,21,0,0,0,0,0,0,24.4,24.4
23,Jimmy Graham,CHI,TE,3,ATL,10,6,60,60,2,29,6,10,0,0,0,0,1,0,24,24
23,Jordan Reed,SF,TE,2,NYJ,8,7,87.5,50,2,18,6.2,7.1,0,0,0,0,0,0,24,24
23,Travis Kelce,KC,TE,2,LAC,14,9,64.3,90,1,20,6.4,10,0,0,0,0,0,0,24,24
26,Mike Gesicki,MIA,TE,13,CIN,11,9,81.8,88,1,20,8,9.8,0,0,0,0,0,0,23.8,23.8
27,Mike Gesicki,MIA,TE,14,KC,6,5,83.3,65,2,29,10.8,13,0,0,0,0,0,0,23.5,23.5
28,Irv Smith Jr.,MIN,TE,16,NO,9,6,66.7,53,2,14,5.9,8.8,0,0,0,0,0,0,23.3,23.3
29,Jimmy Graham,CHI,TE,16,JAX,5,4,80,69,2,30,13.8,17.2,0,0,0,0,0,0,22.9,22.9
30,Mark Andrews,BAL,TE,1,CLE,6,5,83.3,58,2,21,9.7,11.6,0,0,0,0,0,0,22.8,22.8
30,Travis Kelce,KC,TE,16,ATL,13,7,53.8,98,1,29,7.5,14,0,0,0,0,0,0,22.8,22.8
30,Travis Kelce,KC,TE,15,NO,12,8,66.7,68,1,13,5.7,8.5,0,0,0,0,0,0,22.8,22.8
30,Dalton Schultz,DAL,TE,2,ATL,10,9,90,88,1,18,8.8,9.8,0,0,0,0,1,1,22.8,22.8
34,Travis Kelce,KC,TE,6,BUF,7,5,71.4,65,2,20,9.3,13,0,0,0,0,1,1,22.5,22.5
35,Trey Burton,IND,TE,6,CIN,5,4,80,58,1,20,11.6,14.5,1,1,1,1,0,0,21.9,21.9
36,Darren Waller,LV,TE,11,KC,7,7,100,88,1,26,12.6,12.6,0,0,0,0,0,0,21.8,21.8
37,Harrison Bryant,CLE,TE,7,CIN,5,4,80,56,2,35,11.2,14,0,0,0,0,0,0,21.6,21.6
38,Jonnu Smith,TEN,TE,5,BUF,7,5,71.4,40,2,14,5.7,8,0,0,0,0,0,0,21,21
39,Taysom Hill,NO,TE,14,PHI,0,0,0,0,0,0,0,0,5,33,6.6,0,1,1,20.9,20.94
40,Evan Engram,NYG,TE,12,CIN,9,6,66.7,129,0,53,14.3,21.5,0,0,0,0,1,1,20.9,20.9
41,Noah Fant,DEN,TE,15,BUF,11,8,72.7,68,1,16,6.2,8.5,0,0,0,0,0,0,20.8,20.8
42,Mark Andrews,BAL,TE,4,WAS,3,3,100,57,2,25,19,19,0,0,0,0,0,0,20.7,20.7
43,Mark Andrews,BAL,TE,11,TEN,7,5,71.4,96,1,31,13.7,19.2,0,0,0,0,0,0,20.6,20.6
44,Darren Fells,HOU,TE,6,TEN,7,6,85.7,85,1,35,12.1,14.2,0,0,0,0,0,0,20.5,20.5
44,Dallas Goedert,PHI,TE,12,SEA,10,7,70,75,1,27,7.5,10.7,0,0,0,0,0,0,20.5,20.5
46,Dan Arnold,ARI,TE,13,LAR,3,2,66.7,61,2,59,20.3,30.5,0,0,0,0,0,0,20.1,20.1
47,Rob Gronkowski,TB,TE,16,DET,2,2,100,58,2,33,29,29,0,0,0,0,0,0,19.8,19.8
48,Rob Gronkowski,TB,TE,12,KC,7,6,85.7,106,0,48,15.1,17.7,0,0,0,0,0,0,19.6,19.6
