Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
92,Aaron Jones,GB,RB,11,IND,2,5,7200,17.65
93,Derrick Henry,TEN,RB,10,IND,2,4,7700,17.6
94,Josh Jacobs,LV,RB,4,BUF,21,11,6800,17.54
95,James Conner,PIT,RB,9,DAL,27,26,6900,17.41
96,Kareem Hunt,CLE,RB,6,PIT,8,5,6900,17.36
97,Todd Gurley II,ATL,RB,8,CAR,12,28,6500,17.34
98,Aaron Jones,GB,RB,12,CHI,6,10,7000,17.3
99,James Robinson,JAX,RB,10,GB,14,31,6600,17.28
100,Chris Carson,SEA,RB,7,ARI,10,20,6400,17.27
101,James Conner,PIT,RB,5,PHI,17,14,6900,17.25
102,Derrick Henry,TEN,RB,5,BUF,18,11,6800,17.23
103,Aaron Jones,GB,RB,15,CAR,20,25,7300,17.16
104,Aaron Jones,GB,RB,13,PHI,14,11,7200,17.13
105,David Montgomery,CHI,RB,17,GB,11,28,7700,17.1
105,Clyde Edwards-Helaire,KC,RB,6,BUF,23,14,6700,17.1
107,Mike Davis,CAR,RB,14,DEN,15,17,6400,16.98
108,Josh Jacobs,LV,RB,1,CAR,26,32,6800,16.95
108,James Robinson,JAX,RB,5,HOU,26,31,6700,16.95
110,Kenyan Drake,ARI,RB,2,WAS,8,1,5900,16.93
110,Mike Davis,CAR,RB,15,GB,15,29,6500,16.93
112,Kenyan Drake,ARI,RB,4,CAR,13,31,6000,16.82
113,Alvin Kamara,NO,RB,14,PHI,16,14,7100,16.8
114,Joe Mixon,CIN,RB,6,IND,1,3,6200,16.77
115,Jonathan Taylor,IND,RB,2,MIN,32,23,5700,16.76
116,Josh Jacobs,LV,RB,9,LAC,19,12,6300,16.75
117,Jonathan Taylor,IND,RB,4,CHI,6,21,6600,16.74
118,James Conner,PIT,RB,6,CLE,25,10,7100,16.73
119,Nick Chubb,CLE,RB,16,NYJ,30,11,7800,16.72
120,Mike Davis,CAR,RB,4,ARI,9,22,5700,16.65
121,Jonathan Taylor,IND,RB,8,DET,21,29,6600,16.63
122,Austin Ekeler,LAC,RB,12,BUF,20,21,6100,16.62
123,Josh Jacobs,LV,RB,12,ATL,30,5,7200,16.6
124,Chris Carson,SEA,RB,3,DAL,27,14,6600,16.59
125,James Robinson,JAX,RB,12,CLE,18,9,6300,16.55
125,Clyde Edwards-Helaire,KC,RB,7,DEN,13,1,6100,16.55
127,Joe Mixon,CIN,RB,5,BAL,8,7,6300,16.53
128,Josh Jacobs,LV,RB,3,NE,12,15,7300,16.52
129,D'Andre Swift,DET,RB,17,MIN,25,27,6300,16.51
130,Raheem Mostert,SF,RB,6,LAR,3,12,6300,16.44
131,Jonathan Taylor,IND,RB,15,HOU,29,31,7200,16.41
131,Jonathan Taylor,IND,RB,5,CLE,30,10,6200,16.41
133,Aaron Jones,GB,RB,2,DET,26,6,7100,16.37
134,Nick Chubb,CLE,RB,4,DAL,29,9,7000,16.34
135,Josh Jacobs,LV,RB,8,CLE,25,15,6200,16.32
136,Clyde Edwards-Helaire,KC,RB,2,LAC,3,2,7400,16.31
137,James Conner,PIT,RB,7,TEN,25,23,6700,16.3
137,Ronald Jones,TB,RB,5,CHI,4,17,5800,16.3
139,Josh Jacobs,LV,RB,11,KC,5,21,7100,16.27
140,Miles Sanders,PHI,RB,6,BAL,3,4,6600,16.25
141,David Johnson,HOU,RB,16,CIN,20,19,6100,16.24
142,Ronald Jones,TB,RB,7,LV,24,30,6200,16.23
143,Myles Gaskin,MIA,RB,17,BUF,15,18,6500,16.22
144,James Robinson,JAX,RB,15,BAL,9,14,7100,16.2
144,Boston Scott,PHI,RB,8,DAL,30,28,6000,16.2
144,Clyde Edwards-Helaire,KC,RB,1,HOU,27,26,7000,16.2
147,Clyde Edwards-Helaire,KC,RB,3,BAL,2,1,6500,16.17
148,James Robinson,JAX,RB,4,CIN,11,28,6500,16.15
149,Aaron Jones,GB,RB,17,CHI,13,10,7100,16.14
150,Joe Mixon,CIN,RB,2,CLE,29,14,6100,16.1
151,Ezekiel Elliott,DAL,RB,8,PHI,18,11,7400,16.08
152,James Conner,PIT,RB,10,CIN,24,24,6900,16.06
152,Todd Gurley II,ATL,RB,7,DET,19,29,6000,16.06
152,Kenyan Drake,ARI,RB,3,DET,30,30,6000,16.06
