Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Davante Adams,GB,WR,14,DET,29,25,9300,26.84
2,Davante Adams,GB,WR,16,TEN,24,27,9100,25.76
3,Davante Adams,GB,WR,15,CAR,20,15,9400,23.36
4,Davante Adams,GB,WR,17,CHI,13,6,9200,22.93
5,Davante Adams,GB,WR,13,PHI,14,14,9000,22.39
6,Davante Adams,GB,WR,2,DET,26,29,8100,22.17
7,Davante Adams,GB,WR,12,CHI,6,2,8800,21.85
8,Davante Adams,GB,WR,8,MIN,31,31,8800,21.28
9,Davante Adams,GB,WR,10,JAX,30,23,9000,21.14
10,Davante Adams,GB,WR,11,IND,2,8,8600,21.1
11,DeAndre Hopkins,ARI,WR,3,DET,30,21,7900,21.03
12,Tyreek Hill,KC,WR,15,NO,3,15,8800,20.85
13,Tyreek Hill,KC,WR,13,DEN,15,10,9100,20.67
14,DeAndre Hopkins,ARI,WR,11,SEA,32,32,8100,20.61
15,Tyreek Hill,KC,WR,16,ATL,26,31,9000,20.52
16,Tyreek Hill,KC,WR,14,MIA,6,15,8500,20.43
17,Davante Adams,GB,WR,9,SF,6,10,8400,20.39
17,Michael Thomas,NO,WR,1,TB,23,32,9000,20.39
19,DeAndre Hopkins,ARI,WR,6,DAL,31,30,8200,20.16
20,Davante Adams,GB,WR,7,HOU,28,25,7900,20.02
21,Calvin Ridley,ATL,WR,17,TB,10,20,8500,19.79
22,DeAndre Hopkins,ARI,WR,16,SF,8,12,8300,19.71
23,Julio Jones,ATL,WR,9,DEN,13,14,7200,19.57
24,DeAndre Hopkins,ARI,WR,7,SEA,29,32,8200,19.46
25,DeAndre Hopkins,ARI,WR,5,NYJ,19,13,7900,19.39
26,Davante Adams,GB,WR,6,TB,4,9,8000,19.32
27,Calvin Ridley,ATL,WR,16,KC,12,3,8500,19.25
28,DeAndre Hopkins,ARI,WR,9,MIA,9,22,8200,19.2
29,Keenan Allen,LAC,WR,12,BUF,20,10,8000,19.15
30,DK Metcalf,SEA,WR,14,NYJ,30,22,8400,19.05
31,Calvin Ridley,ATL,WR,15,TB,13,21,8200,19.03
32,DK Metcalf,SEA,WR,13,NYG,10,15,8200,19.02
33,Julio Jones,ATL,WR,2,DAL,12,19,7400,18.94
34,DeAndre Hopkins,ARI,WR,4,CAR,13,15,8500,18.89
34,Stefon Diggs,BUF,WR,16,NE,4,7,8000,18.89
36,Stefon Diggs,BUF,WR,15,DEN,17,8,7900,18.85
37,Tyreek Hill,KC,WR,12,TB,9,13,7800,18.84
