Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Travis Kelce,KC,TE,16,ATL,26,27,8500,20.22
2,Taysom Hill,NO,TE,12,DEN,15,17,6200,19.89
3,Taysom Hill,NO,TE,14,PHI,16,13,6600,19.69
4,Taysom Hill,NO,TE,13,ATL,26,31,6300,19.51
5,Travis Kelce,KC,TE,11,LV,20,9,7300,18.89
6,Travis Kelce,KC,TE,12,TB,9,16,7000,18.61
7,Travis Kelce,KC,TE,14,MIA,6,5,7400,18.18
8,Travis Kelce,KC,TE,13,DEN,15,6,7300,18.16
9,Travis Kelce,KC,TE,15,NO,3,12,8000,17.84
10,Travis Kelce,KC,TE,5,LV,22,4,6400,17.57
11,Travis Kelce,KC,TE,6,BUF,23,30,7200,17.36
12,Taysom Hill,NO,TE,11,ATL,31,32,4800,17.35
13,Travis Kelce,KC,TE,9,CAR,12,9,7200,17.21
14,George Kittle,SF,TE,5,MIA,21,6,6600,17.03
14,George Kittle,SF,TE,1,ARI,31,32,7200,17.03
16,Travis Kelce,KC,TE,1,HOU,27,24,7000,16.88
17,Travis Kelce,KC,TE,7,DEN,13,15,6300,16.78
18,George Kittle,SF,TE,8,SEA,32,3,7000,16.73
18,Darren Waller,LV,TE,17,DEN,19,7,7100,16.73
20,Travis Kelce,KC,TE,8,NYJ,20,21,6600,16.72
21,Travis Kelce,KC,TE,2,LAC,3,16,7000,16.37
22,Darren Waller,LV,TE,16,MIA,4,7,7000,16.2
23,Travis Kelce,KC,TE,3,BAL,2,30,7000,16.18
24,George Kittle,SF,TE,6,LAR,3,15,6800,16.11
25,Travis Kelce,KC,TE,4,NE,10,5,null,16.07
25,Darren Waller,LV,TE,15,LAC,19,20,6900,16.07
27,Darren Waller,LV,TE,12,ATL,30,32,6000,15.8
28,Darren Waller,LV,TE,14,IND,5,1,6800,15.6
29,Darren Waller,LV,TE,13,NYJ,27,30,6100,15.44
30,Mark Andrews,BAL,TE,2,HOU,28,25,6300,15.31
31,George Kittle,SF,TE,7,NE,9,5,6500,15.18
32,Darren Waller,LV,TE,10,DEN,18,9,5900,15.08
33,Darren Waller,LV,TE,11,KC,5,7,5600,14.94
34,Darren Waller,LV,TE,8,CLE,25,19,5600,14.61
35,Darren Waller,LV,TE,4,BUF,21,23,5200,14.58
35,Darren Waller,LV,TE,5,KC,3,15,5900,14.58
37,Mark Andrews,BAL,TE,6,PHI,21,28,6500,14.45
38,Mark Andrews,BAL,TE,4,WAS,12,27,6000,14.44
38,George Kittle,SF,TE,17,SEA,21,11,6000,14.44
40,Mark Andrews,BAL,TE,3,KC,11,20,6000,14.39
41,Zach Ertz,PHI,TE,4,SF,2,2,5300,14.38
42,Mark Andrews,BAL,TE,1,CLE,20,29,6000,14.27
43,Darren Waller,LV,TE,9,LAC,19,24,5800,14.25
44,George Kittle,SF,TE,4,PHI,19,24,6300,14.17
45,Darren Waller,LV,TE,7,TB,2,11,6100,14.15
46,Mark Andrews,BAL,TE,5,CIN,16,11,6200,13.86
47,Zach Ertz,PHI,TE,1,WAS,28,28,5800,13.77
48,Mark Andrews,BAL,TE,15,JAX,32,26,5500,13.39
49,Darren Waller,LV,TE,3,NE,12,3,5700,13.2
50,Zach Ertz,PHI,TE,3,CIN,15,12,5100,13.09
51,Zach Ertz,PHI,TE,2,LAR,13,7,5600,13
52,Mark Andrews,BAL,TE,17,CIN,22,27,5800,12.99
53,Mark Andrews,BAL,TE,11,TEN,23,18,4900,12.88
54,Logan Thomas,WAS,TE,17,PHI,23,21,null,12.75
55,Hunter Henry,LAC,TE,5,NO,25,32,5300,12.69
56,Mark Andrews,BAL,TE,16,NYG,11,9,5700,12.57
57,T.J. Hockenson,DET,TE,12,HOU,28,15,4700,12.55
58,Mark Andrews,BAL,TE,8,PIT,7,5,5800,12.51
59,Jonnu Smith,TEN,TE,6,HOU,20,15,5200,12.4
59,T.J. Hockenson,DET,TE,11,CAR,22,21,4200,12.4
61,T.J. Hockenson,DET,TE,16,TB,14,23,4600,12.38
62,Darren Waller,LV,TE,1,CAR,26,7,5900,12.37
63,T.J. Hockenson,DET,TE,15,TEN,25,20,5200,12.26
64,Zach Ertz,PHI,TE,5,PIT,6,13,5700,12.2
65,Mark Andrews,BAL,TE,14,CLE,21,31,5300,12.13
66,Hunter Henry,LAC,TE,3,CAR,19,6,4800,12.1
67,Logan Thomas,WAS,TE,16,CAR,19,22,4900,12.05
68,Darren Waller,LV,TE,2,NO,8,25,5400,12
