Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Christian McCaffrey,CAR,RB,3,HOU,15,29,9000,26.69
2,Jonathan Taylor,IND,RB,13,HOU,28,27,9200,26.04
3,Jonathan Taylor,IND,RB,18,JAX,25,22,9300,25.62
4,Derrick Henry,TEN,RB,5,JAX,29,25,9000,24.88
5,Derrick Henry,TEN,RB,7,KC,30,19,9200,24.6
6,Jonathan Taylor,IND,RB,16,ARI,5,8,8300,24.24
7,Jonathan Taylor,IND,RB,17,LV,19,26,9000,24.06
8,Derrick Henry,TEN,RB,4,NYJ,10,28,8800,23.85
9,Christian McCaffrey,CAR,RB,1,NYJ,28,16,9500,23.75
10,Derrick Henry,TEN,RB,8,IND,13,5,8900,23.32
11,Christian McCaffrey,CAR,RB,12,MIA,29,12,9000,23.26
12,Derrick Henry,TEN,RB,6,BUF,1,1,9000,22.99
13,Christian McCaffrey,CAR,RB,2,NO,1,3,9900,22.81
14,Alvin Kamara,NO,RB,2,CAR,9,5,8800,22.67
15,Alvin Kamara,NO,RB,7,SEA,27,29,8900,22.09
16,Christian McCaffrey,CAR,RB,11,WAS,31,17,8900,21.78
17,Alvin Kamara,NO,RB,1,GB,9,27,8600,21.62
18,Derrick Henry,TEN,RB,1,ARI,15,17,8800,21.53
19,Najee Harris,PIT,RB,10,DET,30,31,7900,21.33
20,Dalvin Cook,MIN,RB,1,CIN,23,25,9100,21.29
21,Jonathan Taylor,IND,RB,12,TB,8,3,9100,21.17
22,Austin Ekeler,LAC,RB,14,NYG,16,24,8300,21
23,Alvin Kamara,NO,RB,4,NYG,17,22,8400,20.99
24,Dalvin Cook,MIN,RB,15,CHI,25,22,8000,20.79
25,Dalvin Cook,MIN,RB,2,ARI,3,10,9100,20.78
26,Austin Ekeler,LAC,RB,10,MIN,25,23,7600,20.67
27,Austin Ekeler,LAC,RB,9,PHI,14,29,7900,20.63
28,Alvin Kamara,NO,RB,9,ATL,24,23,8200,20.61
29,Alvin Kamara,NO,RB,8,TB,9,2,8700,20.44
30,Austin Ekeler,LAC,RB,13,CIN,8,20,8300,20.42
31,Jonathan Taylor,IND,RB,15,NE,2,12,9200,20.27
31,Dalvin Cook,MIN,RB,8,DAL,22,9,8000,20.27
33,Christian McCaffrey,CAR,RB,10,ARI,2,4,8400,20.22
34,Dalvin Cook,MIN,RB,10,LAC,13,30,8000,20.17
34,Joe Mixon,CIN,RB,13,LAC,19,29,8100,20.17
36,Jonathan Taylor,IND,RB,10,JAX,22,16,8100,19.96
37,Austin Ekeler,LAC,RB,12,DEN,5,14,8400,19.93
38,Najee Harris,PIT,RB,11,LAC,15,29,8400,19.86
38,Austin Ekeler,LAC,RB,4,LV,10,17,7600,19.86
40,Austin Ekeler,LAC,RB,6,BAL,21,26,7900,19.82
41,Jonathan Taylor,IND,RB,9,NYJ,29,32,7900,19.77
41,Alvin Kamara,NO,RB,3,NE,4,11,8200,19.77
43,Derrick Henry,TEN,RB,3,IND,23,13,8600,19.67
43,D'Andre Swift,DET,RB,8,PHI,19,28,7100,19.67
45,D'Andre Swift,DET,RB,12,CHI,21,20,7300,19.51
46,Najee Harris,PIT,RB,9,CHI,23,17,7800,19.48
47,Aaron Jones,GB,RB,7,WAS,32,24,7500,19.42
