name,team,pos,wk,opp,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,FPTS/G,FPTS
 Chigoziem OkonkwoF • 17 - 14 @ LAC,TEN,TE,15,LAC,5,4,80,54,0,28,10.8,13.5,1,6,6,0,0,0,10,10
 Tyler ConklinF • 30 - 31 @ CLE,NYJ,TE,2,CLE,9,6,66.7,40,0,13,4.4,6.7,0,0,0,0,1,0,10,10
 Tommy TrembleF • 21 - 3 vs. TB,CAR,TE,7,TB,1,1,100,29,1,29,29,29,0,0,0,0,0,0,9.9,9.9
 Dalton SchultzF • 24 - 6 vs. DET,DAL,TE,7,DET,5,5,100,49,0,15,9.8,9.8,0,0,0,0,0,0,9.9,9.9
 Mike GesickiF • 23 - 21 @ NE,MIA,TE,17,NE,4,2,50,18,1,14,4.5,9,0,0,0,0,0,0,9.8,9.8
 Jordan AkinsF • 38 - 20 @ LV,HOU,TE,7,LV,4,3,75,68,0,39,17,22.7,0,0,0,0,0,0,9.8,9.8
 Gerald EverettF • 31 - 28 @ DEN,LAC,TE,18,DEN,5,3,60,8,1,6,1.6,2.7,0,0,0,0,0,0,9.8,9.8
 Darren WallerF • 13 - 10 @ PIT,LV,TE,16,PIT,5,4,80,58,0,34,11.6,14.5,0,0,0,0,0,0,9.8,9.8
 Travis KelceF • 13 - 31 @ LV,KC,TE,18,LV,7,6,85.7,38,0,15,5.4,6.3,0,0,0,0,0,0,9.8,9.8
 Dallas GoedertF • 40 - 34 @ DAL,PHI,TE,16,DAL,3,3,100,67,0,25,22.3,22.3,0,0,0,0,0,0,9.7,9.7
 Dawson KnoxF/OT • 30 - 33 vs. MIN,BUF,TE,10,MIN,6,4,66.7,57,0,22,9.5,14.2,0,0,0,0,0,0,9.7,9.7
 Kylen GransonF • 20 - 25 @ LV,IND,TE,10,LV,4,4,100,57,0,32,14.2,14.2,0,0,0,0,0,0,9.7,9.7
 Brock WrightF • 24 - 6 @ DAL,DET,TE,7,DAL,4,4,100,57,0,23,14.2,14.2,0,0,0,0,0,0,9.7,9.7
 Pat FreiermuthF • 35 - 13 @ PHI,PIT,TE,8,PHI,7,4,57.1,57,0,21,8.1,14.2,0,0,0,0,0,0,9.7,9.7
 Robert TonyanF • 12 - 14 @ TB,GB,TE,3,TB,7,6,85.7,37,0,9,5.3,6.2,0,0,0,0,0,0,9.7,9.7
 Hayden HurstF/OT • 20 - 23 vs. PIT,CIN,TE,1,PIT,8,5,62.5,46,0,20,5.8,9.2,0,0,0,0,0,0,9.6,9.6
 Trey McBrideF • 24 - 15 @ DEN,ARI,TE,15,DEN,5,4,80,55,0,29,11,13.8,0,0,0,0,0,0,9.5,9.5
 Mitchell WilcoxF • 18 - 22 @ NE,CIN,TE,16,NE,6,6,100,35,0,10,5.8,5.8,0,0,0,0,0,0,9.5,9.5
 Logan ThomasF • 37 - 20 @ SF,WAS,TE,16,SF,8,6,75,35,0,15,4.4,5.8,0,0,0,0,0,0,9.5,9.5
 Isaiah LikelyF • 13 - 27 @ NO,BAL,TE,9,NO,5,1,20,24,1,24,4.8,24,0,0,0,0,0,0,9.4,9.4
 Mark AndrewsF • 10 - 9 vs. DEN,BAL,TE,13,DEN,7,4,57.1,53,0,22,7.6,13.2,1,1,1,0,0,0,9.4,9.4
 Hunter HenryF • 29 - 0 vs. DET,NE,TE,5,DET,5,4,80,54,0,23,10.8,13.5,0,0,0,0,0,0,9.4,9.4
 Dawson KnoxF • 35 - 23 vs. NE,BUF,TE,18,NE,2,2,100,13,1,9,6.5,6.5,0,0,0,0,0,0,9.3,9.3
 Zach GentryF • 38 - 3 @ BUF,PIT,TE,5,BUF,6,5,83.3,43,0,11,7.2,8.6,0,0,0,0,0,0,9.3,9.3
 Eric SaubertF • 16 - 9 vs. HOU,DEN,TE,2,HOU,2,1,50,22,1,22,11,22,0,0,0,0,0,0,9.2,9.2
