Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Deebo Samuel,SF,WR,8,CHI,18,29,7800,14.8
 DK Metcalf,SEA,WR,3,MIN,29,31,7200,14.79
 DK Metcalf,SEA,WR,1,IND,7,18,7700,14.77
 Stefon Diggs,BUF,WR,18,NYJ,32,13,7700,14.73
 DK Metcalf,SEA,WR,4,SF,20,15,7700,14.71
 Terry McLaurin,WAS,WR,6,KC,32,25,7400,14.71
 DJ Moore,CAR,WR,7,NYG,29,22,7700,14.7
 A.J. Brown,TEN,WR,9,LAR,11,8,7700,14.67
 Deebo Samuel,SF,WR,7,IND,21,26,8000,14.66
 A.J. Brown,TEN,WR,2,SEA,12,15,7100,14.6
 Stefon Diggs,BUF,WR,15,CAR,4,5,7800,14.57
 Deebo Samuel,SF,WR,18,LAR,8,7,8800,14.56
 Chris Godwin,TB,WR,11,NYG,20,17,7600,14.55
 Justin Jefferson,MIN,WR,6,CAR,3,6,7900,14.54
 DJ Moore,CAR,WR,6,MIN,18,18,7600,14.51
 Mike Williams,LAC,WR,6,BAL,21,9,8000,14.5
 Diontae Johnson,PIT,WR,15,TEN,18,31,7200,14.5
 Calvin Ridley,ATL,WR,2,TB,28,31,7700,14.46
 Keenan Allen,LAC,WR,4,LV,10,12,7100,14.46
 Mike Evans,TB,WR,11,NYG,20,17,7400,14.44
 Justin Jefferson,MIN,WR,2,ARI,3,8,7300,14.44
 A.J. Brown,TEN,WR,17,MIA,12,25,7500,14.41
 Justin Jefferson,MIN,WR,17,GB,13,15,8500,14.38
 Deebo Samuel,SF,WR,10,LAR,8,8,7700,14.37
 Deebo Samuel,SF,WR,16,TEN,14,31,8800,14.36
 Stefon Diggs,BUF,WR,12,NO,9,26,8300,14.32
 Amari Cooper,DAL,WR,2,LAC,4,2,7800,14.3
 DeAndre Hopkins,ARI,WR,7,HOU,24,5,8000,14.27
 Chris Godwin,TB,WR,12,IND,16,28,7600,14.26
 Keenan Allen,LAC,WR,2,DAL,23,27,7400,14.24
 A.J. Brown,TEN,WR,18,HOU,28,23,7400,14.22
 Justin Jefferson,MIN,WR,11,GB,5,5,7900,14.22
 Keenan Allen,LAC,WR,11,PIT,8,19,7100,14.19
 Mike Evans,TB,WR,15,NO,8,25,7400,14.18
 DJ Moore,CAR,WR,4,DAL,17,24,7300,14.18
 CeeDee Lamb,DAL,WR,4,CAR,2,7,7400,14.17
 Calvin Ridley,ATL,WR,7,MIA,31,30,7300,14.14
 Mike Williams,LAC,WR,4,LV,10,12,7800,14.11
 Ja'Marr Chase,CIN,WR,4,JAX,26,21,7400,14.09
 Adam Thielen,MIN,WR,3,SEA,21,13,7600,14.09
 Deebo Samuel,SF,WR,9,ARI,2,18,8000,14.08
 Keenan Allen,LAC,WR,10,MIN,25,27,7200,14.07
 Mike Williams,LAC,WR,8,NE,7,20,7600,14.04
 Diontae Johnson,PIT,WR,14,MIN,31,32,7800,14.01
 Justin Jefferson,MIN,WR,9,BAL,25,10,7600,14
 Chris Godwin,TB,WR,8,NO,3,22,7200,14
 Keenan Allen,LAC,WR,3,KC,26,18,6900,13.99
 DK Metcalf,SEA,WR,10,GB,6,6,8000,13.98
 DK Metcalf,SEA,WR,5,LAR,20,16,7400,13.97
 Amari Cooper,DAL,WR,3,PHI,4,1,7300,13.97
 DJ Moore,CAR,WR,8,ATL,25,24,7700,13.97
 Tyler Lockett,SEA,WR,2,TEN,31,32,7200,13.96
 Deebo Samuel,SF,WR,5,ARI,9,25,7700,13.95
 Terry McLaurin,WAS,WR,4,ATL,25,22,7100,13.95
 Mike Evans,TB,WR,12,IND,16,28,7500,13.94
 Stefon Diggs,BUF,WR,13,NE,2,5,8300,13.94
 A.J. Brown,TEN,WR,3,IND,23,30,6800,13.93
 Tyler Lockett,SEA,WR,4,SF,20,15,7900,13.93
 DeAndre Hopkins,ARI,WR,5,SF,19,17,7500,13.92
 Antonio Brown,TB,WR,16,CAR,4,6,7000,13.91
 Keenan Allen,LAC,WR,15,KC,11,10,7500,13.91
 Keenan Allen,LAC,WR,13,CIN,8,8,7300,13.91
 Diontae Johnson,PIT,WR,9,CHI,23,31,7200,13.9
 CeeDee Lamb,DAL,WR,2,LAC,4,2,6800,13.89
 Keenan Allen,LAC,WR,5,CLE,4,6,7200,13.89
 Ja'Marr Chase,CIN,WR,6,DET,25,10,7800,13.86
 Mike Evans,TB,WR,7,CHI,9,21,7100,13.85
 DeAndre Hopkins,ARI,WR,3,JAX,27,21,8500,13.85
 Ja'Marr Chase,CIN,WR,12,PIT,17,22,7700,13.84
 Mike Evans,TB,WR,13,ATL,26,23,7400,13.84
 DJ Moore,CAR,WR,3,HOU,15,9,7200,13.84
 Chris Godwin,TB,WR,2,ATL,24,17,8000,13.79
 Chris Godwin,TB,WR,7,CHI,9,21,6700,13.79
 Adam Thielen,MIN,WR,5,DET,27,14,7500,13.78
 Deebo Samuel,SF,WR,14,CIN,13,16,8500,13.77
 Adam Thielen,MIN,WR,13,DET,29,12,7600,13.77
 Chris Godwin,TB,WR,13,ATL,26,23,7600,13.77
 Keenan Allen,LAC,WR,17,DEN,3,8,7300,13.77
 DeAndre Hopkins,ARI,WR,8,GB,8,12,7700,13.76
 Justin Jefferson,MIN,WR,10,LAC,13,2,7500,13.76
 A.J. Brown,TEN,WR,7,KC,30,17,7000,13.74
 Marquise Brown,BAL,WR,10,MIA,29,29,8000,13.74
 Michael Pittman Jr.,IND,WR,10,JAX,22,23,7200,13.73
 Chris Godwin,TB,WR,4,NE,4,5,7500,13.73
 Keenan Allen,LAC,WR,12,DEN,5,17,7000,13.73
 CeeDee Lamb,DAL,WR,9,DEN,3,11,7500,13.71
 Chris Godwin,TB,WR,14,BUF,1,1,7700,13.69
 Michael Pittman Jr.,IND,WR,9,NYJ,29,6,7300,13.67
 Deebo Samuel,SF,WR,3,GB,18,11,6600,13.65
 Mike Evans,TB,WR,8,NO,3,22,7500,13.63
 Diontae Johnson,PIT,WR,16,KC,17,12,7400,13.63
 Mike Evans,TB,WR,6,PHI,11,7,7600,13.62
 Amari Cooper,DAL,WR,10,ATL,27,20,7300,13.6
 Mike Williams,LAC,WR,9,PHI,14,4,7300,13.56
 Diontae Johnson,PIT,WR,10,DET,30,17,7400,13.55
 Cooper Kupp,LAR,WR,2,IND,21,28,6200,13.55
 Deebo Samuel,SF,WR,4,SEA,27,20,6900,13.46
 DK Metcalf,SEA,WR,11,ARI,4,13,7500,13.45
 Chris Godwin,TB,WR,3,LAR,8,6,7300,13.44
 Keenan Allen,LAC,WR,18,LV,20,2,7300,13.44
 DeAndre Hopkins,ARI,WR,4,LAR,13,13,7600,13.42
 Diontae Johnson,PIT,WR,6,SEA,29,26,7400,13.41
 Diontae Johnson,PIT,WR,8,CLE,11,23,7500,13.41
 A.J. Brown,TEN,WR,5,JAX,29,19,6900,13.4
 CeeDee Lamb,DAL,WR,15,NYG,20,23,7400,13.37
 Diontae Johnson,PIT,WR,12,CIN,10,8,7100,13.36
 Hunter Renfrow,LV,WR,15,CLE,12,10,7400,13.35
 CeeDee Lamb,DAL,WR,14,WAS,28,29,7800,13.34
 Terry McLaurin,WAS,WR,5,NO,8,21,7400,13.34
 DK Metcalf,SEA,WR,8,JAX,27,18,7400,13.33
 DK Metcalf,SEA,WR,15,LAR,12,13,7500,13.32
 CeeDee Lamb,DAL,WR,17,ARI,5,27,7200,13.32
 Chris Godwin,TB,WR,10,WAS,31,31,7800,13.32
 Amari Cooper,DAL,WR,4,CAR,2,7,7600,13.32
 Keenan Allen,LAC,WR,1,WAS,3,2,7400,13.28
 Terry McLaurin,WAS,WR,8,DEN,4,9,7400,13.26
 CeeDee Lamb,DAL,WR,13,NO,13,26,7700,13.25
 DeAndre Hopkins,ARI,WR,6,CLE,10,14,7700,13.25
 Stefon Diggs,BUF,WR,16,NE,2,4,7500,13.24
 Tee Higgins,CIN,WR,17,KC,15,12,7000,13.23
 Robert Woods,LAR,WR,9,TEN,23,32,7100,13.23
 Amari Cooper,DAL,WR,9,DEN,3,11,6900,13.22
 CeeDee Lamb,DAL,WR,10,ATL,27,20,7700,13.22
 Mike Evans,TB,WR,18,CAR,5,6,7800,13.21
 Terry McLaurin,WAS,WR,12,SEA,25,9,7400,13.18
 Terry McLaurin,WAS,WR,2,NYG,18,10,6500,13.17
 Allen Robinson II,CHI,WR,2,CIN,20,29,7200,13.17
 Chris Godwin,TB,WR,6,PHI,11,7,7300,13.15
 Mike Evans,TB,WR,5,MIA,23,12,7000,13.13
 CeeDee Lamb,DAL,WR,16,WAS,28,30,7100,13.13
 Marquise Brown,BAL,WR,9,MIN,17,26,7700,13.12
 Mike Evans,TB,WR,14,BUF,1,1,7200,13.12
 Adam Thielen,MIN,WR,2,ARI,3,8,7600,13.11
 Diontae Johnson,PIT,WR,13,BAL,15,20,7200,13.11
 Robert Woods,LAR,WR,1,CHI,13,7,6500,13.1
 CeeDee Lamb,DAL,WR,5,NYG,20,10,6900,13.08
 Robert Woods,LAR,WR,3,TB,24,28,6100,13.07
 Chris Godwin,TB,WR,5,MIA,23,12,7600,13.03
 Adam Thielen,MIN,WR,4,CLE,6,6,7500,13.02
 Brandin Cooks,HOU,WR,4,BUF,3,1,6900,13.02
 Tyler Lockett,SEA,WR,1,IND,7,18,6800,13.02
 Tyler Lockett,SEA,WR,17,DET,28,10,7100,13.01
 Terry McLaurin,WAS,WR,1,LAC,17,8,6900,13
 Terry McLaurin,WAS,WR,10,TB,12,21,7100,13
 Keenan Allen,LAC,WR,6,BAL,21,9,7100,13
 Ja'Marr Chase,CIN,WR,13,LAC,19,2,7500,12.99
 DK Metcalf,SEA,WR,6,PIT,16,31,7500,12.98
 Courtland Sutton,DEN,WR,3,NYJ,9,4,6900,12.97
 Terry McLaurin,WAS,WR,7,GB,8,8,7200,12.94
 Julio Jones,TEN,WR,1,ARI,15,11,7000,12.93
 Tyler Lockett,SEA,WR,10,GB,6,6,7100,12.93
 Terry McLaurin,WAS,WR,13,LV,27,6,7200,12.91
 Ja'Marr Chase,CIN,WR,7,BAL,12,6,7500,12.9
 DK Metcalf,SEA,WR,12,WAS,31,30,7300,12.88
 DJ Moore,CAR,WR,9,NE,6,21,7100,12.88
 Adam Thielen,MIN,WR,9,BAL,25,10,7400,12.85
 Adam Thielen,MIN,WR,1,CIN,23,17,7300,12.83
 Diontae Johnson,PIT,WR,17,CLE,14,12,7600,12.83
 Deebo Samuel,SF,WR,2,PHI,2,1,6900,12.82
 Adam Thielen,MIN,WR,8,DAL,22,28,7600,12.82
 Diontae Johnson,PIT,WR,18,BAL,27,31,7600,12.82
 Mike Evans,TB,WR,2,ATL,24,17,6700,12.8
 Robert Woods,LAR,WR,2,IND,21,28,6500,12.8
 Ja'Marr Chase,CIN,WR,17,KC,15,12,7600,12.79
 Diontae Johnson,PIT,WR,11,LAC,15,2,7000,12.78
 Ja'Marr Chase,CIN,WR,15,DEN,3,8,7500,12.77
 Allen Robinson II,CHI,WR,3,CLE,20,17,7000,12.76
 Michael Pittman Jr.,IND,WR,12,TB,8,12,6600,12.75
 Tyler Lockett,SEA,WR,5,LAR,20,16,7300,12.73
 Terry McLaurin,WAS,WR,3,BUF,1,3,7200,12.73
 DK Metcalf,SEA,WR,14,HOU,27,21,7300,12.72
 Keenan Allen,LAC,WR,9,PHI,14,4,7000,12.72
 Mike Evans,TB,WR,3,LAR,8,6,7100,12.7
 Marquise Brown,BAL,WR,3,DET,28,15,6600,12.69
 Brandin Cooks,HOU,WR,3,CAR,2,8,7300,12.69
 Courtland Sutton,DEN,WR,8,WAS,32,31,7100,12.68
 Robert Woods,LAR,WR,7,DET,26,9,6800,12.68
 Tyler Lockett,SEA,WR,14,HOU,27,21,7300,12.67
 DK Metcalf,SEA,WR,18,ARI,6,28,7200,12.66
 Mike Evans,TB,WR,1,DAL,24,31,7600,12.65
 Chris Godwin,TB,WR,1,DAL,24,31,7200,12.65
 CeeDee Lamb,DAL,WR,8,MIN,16,19,7800,12.63
 Ja'Marr Chase,CIN,WR,14,SF,8,14,7200,12.6
 Brandin Cooks,HOU,WR,9,MIA,31,31,6800,12.6
 Mike Williams,LAC,WR,5,CLE,4,6,7700,12.59
 Mike Williams,LAC,WR,3,KC,26,18,6000,12.57
 Tee Higgins,CIN,WR,16,BAL,19,23,6500,12.56
 Ja'Marr Chase,CIN,WR,16,BAL,19,23,7100,12.55
 Mike Williams,LAC,WR,14,NYG,16,18,6900,12.55
 CeeDee Lamb,DAL,WR,6,NE,4,8,7000,12.55
 Tyler Lockett,SEA,WR,16,CHI,21,29,7300,12.55
 Mike Evans,TB,WR,4,NE,4,5,7000,12.54
 Robert Woods,LAR,WR,8,HOU,26,6,6800,12.54
 Amon-Ra St. Brown,DET,WR,18,GB,10,12,7500,12.52
 DK Metcalf,SEA,WR,7,NO,4,21,7400,12.51
 Marquise Brown,BAL,WR,13,PIT,22,24,7100,12.51
 Julio Jones,TEN,WR,3,IND,23,30,6700,12.5
 Adam Thielen,MIN,WR,12,SF,7,7,7200,12.5
 CeeDee Lamb,DAL,WR,1,TB,10,19,6300,12.49
 Jaylen Waddle,MIA,WR,17,TEN,17,31,7000,12.49
 Terry McLaurin,WAS,WR,14,DAL,21,30,7100,12.48
 Diontae Johnson,PIT,WR,2,LV,14,12,6600,12.42
 Amari Cooper,DAL,WR,5,NYG,20,10,7100,12.41
 Tyler Lockett,SEA,WR,11,ARI,4,13,6800,12.4
 DK Metcalf,SEA,WR,13,SF,7,9,7300,12.38
 JuJu Smith-Schuster,PIT,WR,3,CIN,10,20,6100,12.37
 Keenan Allen,LAC,WR,8,NE,7,20,6900,12.37
 DJ Moore,CAR,WR,11,WAS,31,31,6700,12.36
 Antonio Brown,TB,WR,2,ATL,24,17,6400,12.36
 Cooper Kupp,LAR,WR,1,CHI,13,7,6200,12.34
 Amari Cooper,DAL,WR,1,TB,10,19,6600,12.3
 Brandon Aiyuk,SF,WR,13,SEA,23,7,7000,12.29
 Marvin Jones Jr.,JAX,WR,4,CIN,7,19,6800,12.29
 Amari Cooper,DAL,WR,6,NE,4,8,6800,12.25
 Adam Thielen,MIN,WR,10,LAC,13,2,7000,12.25
 Robert Woods,LAR,WR,6,NYG,27,13,6900,12.25
 Diontae Johnson,PIT,WR,4,GB,16,10,7000,12.23
 Robert Woods,LAR,WR,4,ARI,9,23,6200,12.22
 Marquise Brown,BAL,WR,6,LAC,12,4,7000,12.21
 Ja'Marr Chase,CIN,WR,5,GB,10,11,7300,12.21
 Diontae Johnson,PIT,WR,5,DEN,2,13,7000,12.19
 A.J. Brown,TEN,WR,6,BUF,1,1,6600,12.18
 DJ Moore,CAR,WR,1,NYJ,28,20,6700,12.18
 Tee Higgins,CIN,WR,2,CHI,27,30,6000,12.18
 Courtland Sutton,DEN,WR,4,BAL,24,17,6300,12.18
 DJ Moore,CAR,WR,2,NO,1,4,6700,12.15
