name,team,pos,wk,opp,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,FPTS/G,FPTS
 Zay JonesF • 17 - 23 vs. NYG,JAX,WR,7,NYG,10,4,40,54,0,20,5.4,13.5,1,14,14,0,0,0,10.8,10.8
 Ja'Marr ChaseF • 20 - 17 @ DAL,CIN,WR,2,DAL,9,5,55.6,54,0,17,6,10.8,1,4,4,0,0,0,10.8,10.8
 Justin JeffersonF • 24 - 7 @ PHI,MIN,WR,2,PHI,12,6,50,48,0,11,4,8,0,0,0,0,0,0,10.8,10.8
 Jerry JeudyF • 27 - 24 @ KC,DEN,WR,17,KC,8,7,87.5,38,0,11,4.8,5.4,0,0,0,0,0,0,10.8,10.8
 Michael Pittman Jr.F • 19 - 10 @ TEN,IND,WR,7,TEN,9,6,66.7,58,0,14,6.4,9.7,0,0,0,0,1,1,10.8,10.8
 Samori ToureF • 27 - 17 @ BUF,GB,WR,8,BUF,4,1,25,37,1,37,9.2,37,0,0,0,0,0,0,10.7,10.7
 Van JeffersonF • 31 - 10 @ LAC,LAR,WR,17,LAC,3,3,100,77,0,39,25.7,25.7,0,0,0,0,0,0,10.7,10.7
 George PickensF • 17 - 24 @ IND,PIT,WR,12,IND,6,3,50,57,0,35,9.5,19,0,0,0,0,0,0,10.7,10.7
 Mike WilliamsF • 17 - 14 vs. TEN,LAC,WR,15,TEN,8,4,50,67,0,35,8.4,16.8,0,0,0,0,0,0,10.7,10.7
 DJ MooreF • 15 - 37 vs. SF,CAR,WR,5,SF,8,4,50,59,0,27,7.4,14.8,1,8,8,0,0,0,10.7,10.7
 Allen LazardF • 17 - 27 vs. TEN,GB,WR,11,TEN,11,5,45.5,57,0,23,5.2,11.4,0,0,0,0,0,0,10.7,10.7
 Stefon DiggsF • 32 - 29 vs. MIA,BUF,WR,15,MIA,9,5,55.6,60,0,20,6.7,12,1,-3,-3,0,0,0,10.7,10.7
 Tee HigginsF • 26 - 30 @ NO,CIN,WR,6,NO,9,6,66.7,47,0,13,5.2,7.8,0,0,0,0,0,0,10.7,10.7
 Chris GodwinF • 16 - 13 vs. LAR,TB,WR,9,LAR,10,7,70,36,0,9,3.6,5.1,1,1,1,0,0,0,10.7,10.7
