name,team,pos,wk,opp,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,FPTS/G,FPTS
 Dalvin CookF/OT • 39 - 36 vs. IND,MIN,RB,15,IND,17,95,5.6,0,4,4,95,1,1,1,28,28
 Rhamondre StevensonF • 30 - 24 @ LV,NE,RB,15,LV,19,172,9.1,1,3,2,-4,0,0,0,27.8,27.8
 D'Andre SwiftF • 41 - 10 vs. CHI,DET,RB,17,CHI,11,78,7.1,1,4,4,39,1,0,0,27.7,27.7
 Najee HarrisF • 30 - 37 vs. CIN,PIT,RB,11,CIN,20,90,4.5,2,6,4,26,0,0,0,27.6,27.6
 Alvin KamaraF • 39 - 32 vs. SEA,NO,RB,5,SEA,23,103,4.5,0,6,6,91,0,1,1,27.4,27.4
 Jonathan TaylorF • 20 - 25 @ LV,IND,RB,10,LV,22,147,6.7,1,2,2,16,0,0,0,27.3,27.3
 Saquon BarkleyF • 27 - 24 @ MIN,NYG,RB,16,MIN,14,84,6,1,10,8,49,0,0,0,27.3,27.3
 Jamaal WilliamsF • 45 - 48 vs. SEA,DET,RB,4,SEA,19,108,5.7,2,3,1,1,0,0,0,26.9,26.9
 Derrick HenryF • 17 - 24 @ IND,TEN,RB,4,IND,22,114,5.2,1,5,3,33,0,0,0,26.7,26.7
 Aaron JonesF/OT • 31 - 28 vs. DAL,GB,RB,10,DAL,24,138,5.8,1,2,2,18,0,1,0,26.6,26.6
 Dalvin CookF/OT • 30 - 33 @ BUF,MIN,RB,10,BUF,14,119,8.5,1,5,3,27,0,0,0,26.6,26.6
 Derrick HenryF/OT • 20 - 17 @ KC,TEN,RB,9,KC,17,115,6.8,2,0,0,0,0,0,0,26.5,26.5
 Dalvin CookF • 29 - 22 vs. CHI,MIN,RB,5,CHI,18,94,5.2,2,2,2,27,0,0,0,26.1,26.1
 Saquon BarkleyF • 24 - 16 vs. HOU,NYG,RB,10,HOU,35,152,4.3,1,1,1,8,0,0,0,26,26
 Travis Etienne Jr.F • 3 - 31 @ HOU,JAX,RB,17,HOU,9,108,12,1,3,3,32,0,0,0,26,26
 Christian McCaffreyF • 16 - 26 vs. ARI,CAR,RB,4,ARI,8,27,3.4,0,9,9,81,1,0,0,25.8,25.8
 Jamaal WilliamsF • 41 - 10 vs. CHI,DET,RB,17,CHI,22,144,6.5,1,1,1,13,0,0,0,25.7,25.7
 Tyler AllgeierF • 21 - 18 @ NO,ATL,RB,15,NO,17,139,8.2,1,1,1,-3,0,0,0,25.6,25.6
 Cordarrelle PattersonF • 26 - 27 vs. NO,ATL,RB,1,NO,22,120,5.5,1,5,3,16,0,0,0,25.6,25.6
 D'Onta ForemanF • 37 - 23 vs. DET,CAR,RB,16,DET,21,165,7.9,1,0,0,0,0,0,0,25.5,25.5
 Derrick HenryF • 22 - 36 vs. JAX,TEN,RB,14,JAX,17,121,7.1,1,5,3,34,0,2,2,25.5,25.5
 Derrick HenryF • 17 - 27 @ GB,TEN,RB,11,GB,28,87,3.1,1,2,2,45,0,0,0,25.4,25.36
 Cordarrelle PattersonF • 23 - 27 @ SEA,ATL,RB,3,SEA,17,141,8.3,1,1,1,12,0,0,0,25.3,25.3
 Derrick HenryF • 24 - 22 vs. LV,TEN,RB,3,LV,20,85,4.2,1,6,5,58,0,0,0,25.3,25.3
 Jeff Wilson Jr.F • 39 - 17 vs. CLE,MIA,RB,10,CLE,17,119,7,1,5,2,24,0,0,0,25.3,25.3
 Leonard FournetteF/OT • 16 - 19 @ ARI,TB,RB,16,ARI,20,72,3.6,0,10,9,90,0,0,0,25.2,25.2
 Rhamondre StevensonF • 15 - 38 @ CLE,NE,RB,6,CLE,19,76,4,2,5,4,15,0,0,0,25.1,25.1
 Austin EkelerF • 17 - 20 @ ATL,LAC,RB,9,ATL,14,47,3.4,1,8,7,24,1,1,1,25.1,25.1
 Josh JacobsF • 27 - 20 vs. LAC,LV,RB,13,LAC,26,144,5.5,1,2,2,6,0,1,1,25,25
 James ConnerF • 24 - 25 vs. LAC,ARI,RB,12,LAC,25,120,4.8,0,3,3,20,1,1,1,25,25
 James ConnerF/OT • 16 - 19 vs. TB,ARI,RB,16,TB,15,79,5.3,1,8,7,41,0,0,0,25,25
 Austin EkelerF • 24 - 25 @ ARI,LAC,RB,12,ARI,5,20,4,0,15,11,60,1,0,0,25,25
 Kenyan DrakeF • 13 - 27 @ NO,BAL,RB,9,NO,24,93,3.9,2,2,2,16,0,0,0,24.9,24.9
 Tony PollardF/OT • 31 - 28 @ GB,DAL,RB,10,GB,22,115,5.2,1,6,3,13,0,0,0,24.8,24.8
 Jamaal WilliamsF • 28 - 24 @ MIN,DET,RB,3,MIN,20,87,4.4,2,2,2,20,0,0,0,24.7,24.7
 Tony PollardF • 54 - 19 vs. IND,DAL,RB,13,IND,12,91,7.6,2,3,2,15,0,0,0,24.6,24.6
 Samaje PerineF • 27 - 24 vs. KC,CIN,RB,13,KC,21,106,5,0,7,6,49,0,0,0,24.5,24.5
 Jamaal WilliamsF • 18 - 31 @ NYG,DET,RB,11,NYG,17,64,3.8,3,0,0,0,0,0,0,24.4,24.4
 Austin EkelerF • 23 - 17 vs. MIA,LAC,RB,14,MIA,15,45,3,1,8,8,59,0,0,0,24.4,24.4
 Austin EkelerF/OT • 19 - 16 vs. DEN,LAC,RB,6,DEN,14,36,2.6,1,16,10,47,0,0,0,24.3,24.3
 Latavius MurrayF • 24 - 15 vs. ARI,DEN,RB,15,ARI,24,130,5.4,1,1,1,12,0,0,0,24.2,24.2
 David MontgomeryF • 20 - 25 vs. PHI,CHI,RB,15,PHI,12,53,4.4,1,3,3,38,1,0,0,24.1,24.1
 Zack MossF • 31 - 32 vs. HOU,IND,RB,18,HOU,18,114,6.3,1,3,3,7,0,0,0,24.1,24.1
 Devin SingletaryF • 21 - 19 @ MIA,BUF,RB,3,MIA,9,13,1.4,0,11,9,78,1,0,0,24.1,24.1
 Austin EkelerF • 3 - 20 @ IND,LAC,RB,16,IND,18,67,3.7,2,4,4,12,0,0,0,23.9,23.9
 Rhamondre StevensonF • 14 - 33 vs. CHI,NE,RB,7,CHI,11,39,3.5,1,8,8,59,0,0,0,23.8,23.8
 Nick ChubbF • 23 - 20 @ ATL,CLE,RB,4,ATL,19,118,6.2,1,3,2,9,0,0,0,23.7,23.7
 James ConnerF • 17 - 27 @ LAR,ARI,RB,10,LAR,21,69,3.3,2,3,3,17,0,0,0,23.6,23.6
 James RobinsonF • 10 - 38 @ LAC,JAX,RB,3,LAC,17,100,5.9,1,3,3,16,0,0,0,23.6,23.6
 Brian Robinson Jr.F • 19 - 13 vs. ATL,WAS,RB,12,ATL,18,105,5.8,0,3,2,20,1,0,0,23.5,23.5
 Devin SingletaryF • 13 - 35 @ CHI,BUF,RB,16,CHI,12,106,8.8,1,3,2,19,0,0,0,23.5,23.5
