Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Cooper Kupp,LAR,WR,5,DAL,6,9,9500,19.41
 Cooper Kupp,LAR,WR,2,ATL,30,30,9700,19.39
 Cooper Kupp,LAR,WR,6,CAR,18,14,9400,19.37
 Cooper Kupp,LAR,WR,3,ARI,32,9,9800,19.21
 Justin Jefferson,MIN,WR,3,DET,29,26,9500,19.07
 Justin Jefferson,MIN,WR,17,GB,12,7,9200,19.07
 Justin Jefferson,MIN,WR,16,NYG,19,11,9300,19.07
 Tyreek Hill,MIA,WR,14,LAC,29,13,9500,18.95
 Stefon Diggs,BUF,WR,12,DET,32,28,9300,18.78
 Justin Jefferson,MIN,WR,14,DET,32,28,9300,18.58
 Tyreek Hill,MIA,WR,10,CLE,18,18,9000,18.44
 Justin Jefferson,MIN,WR,9,WAS,17,26,9000,18.25
 Cooper Kupp,LAR,WR,4,SF,1,6,9400,18.23
 Justin Jefferson,MIN,WR,2,PHI,28,25,9500,18.16
 Tyreek Hill,MIA,WR,16,GB,12,5,9200,18.14
 Cooper Kupp,LAR,WR,8,SF,6,22,9300,17.75
 Stefon Diggs,BUF,WR,11,CLE,26,23,9400,17.71
 Cooper Kupp,LAR,WR,1,BUF,1,1,9500,17.65
 Stefon Diggs,BUF,WR,4,BAL,32,32,8700,17.57
 Justin Jefferson,MIN,WR,15,IND,10,2,9100,17.56
 Tyreek Hill,MIA,WR,12,HOU,21,5,9200,17.54
 Davante Adams,LV,WR,13,LAC,25,10,8600,17.41
 Justin Jefferson,MIN,WR,8,ARI,24,9,9000,17.4
 Davante Adams,LV,WR,2,ARI,32,11,8800,17.4
 Justin Jefferson,MIN,WR,6,MIA,27,25,9200,17.35
 Justin Jefferson,MIN,WR,11,DAL,7,22,9100,17.34
 Cooper Kupp,LAR,WR,9,TB,13,14,9000,17.31
 Justin Jefferson,MIN,WR,5,CHI,9,4,8800,17.25
 Stefon Diggs,BUF,WR,5,PIT,20,27,8600,17.22
 Stefon Diggs,BUF,WR,6,KC,28,26,8900,17.18
 Davante Adams,LV,WR,14,LAR,17,24,9000,17.16
 Davante Adams,LV,WR,10,IND,7,2,8500,17.14
 Stefon Diggs,BUF,WR,14,NYJ,4,3,8500,17.1
 Tyreek Hill,MIA,WR,8,DET,32,20,8700,17.02
 Davante Adams,LV,WR,12,SEA,22,6,9000,17
 Tyreek Hill,MIA,WR,9,CHI,10,6,8700,16.93
 Stefon Diggs,BUF,WR,9,NYJ,8,8,8900,16.85
 Davante Adams,LV,WR,15,NE,6,7,8500,16.77
 Justin Jefferson,MIN,WR,12,NE,4,3,8600,16.76
 Stefon Diggs,BUF,WR,8,GB,8,7,9100,16.64
