Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 San Francisco 49ers,SF,DST,18,ARI,--,--,4900,12.9
 Tampa Bay Buccaneers,TB,DST,7,CAR,--,--,5000,12.7
 Pittsburgh Steelers,PIT,DST,4,NYJ,--,--,4800,10.3
 New England Patriots,NE,DST,7,CHI,--,--,4800,10.3
 Dallas Cowboys,DAL,DST,8,CHI,--,--,5000,10
 Dallas Cowboys,DAL,DST,14,HOU,--,--,5200,9.9
 Minnesota Vikings,MIN,DST,5,CHI,--,--,4300,9.8
 New England Patriots,NE,DST,11,NYJ,--,--,5000,9.7
 Dallas Cowboys,DAL,DST,13,IND,--,--,5000,9.7
 Philadelphia Eagles,PHI,DST,10,WAS,--,--,4900,9.7
 Green Bay Packers,GB,DST,6,NYJ,--,--,4600,9.7
 Green Bay Packers,GB,DST,2,CHI,--,--,4500,9.6
 Buffalo Bills,BUF,DST,2,TEN,--,--,4600,9.6
 Green Bay Packers,GB,DST,15,LAR,--,--,4800,9.5
 Philadelphia Eagles,PHI,DST,8,PIT,--,--,4600,9.5
 Chicago Bears,CHI,DST,6,WAS,--,--,3300,9.5
 Los Angeles Rams,LAR,DST,6,CAR,--,--,4400,9.5
 Philadelphia Eagles,PHI,DST,15,CHI,--,--,4800,9.4
 Buffalo Bills,BUF,DST,5,PIT,--,--,5000,9.4
 Chicago Bears,CHI,DST,4,NYG,--,--,4100,9.4
 New York Giants,NYG,DST,17,IND,--,--,4700,9.4
 Dallas Cowboys,DAL,DST,3,NYG,--,--,4400,9.4
 Tampa Bay Buccaneers,TB,DST,6,PIT,--,--,5000,9.4
 Cleveland Browns,CLE,DST,2,NYJ,--,--,4700,9.3
 Los Angeles Rams,LAR,DST,2,ATL,--,--,4600,9.3
 San Francisco 49ers,SF,DST,1,CHI,--,--,5000,9.3
 Seattle Seahawks,SEA,DST,14,CAR,--,--,4400,9.2
 Philadelphia Eagles,PHI,DST,11,IND,--,--,4800,9.2
 Minnesota Vikings,MIN,DST,4,NO,--,--,4000,9.2
 Dallas Cowboys,DAL,DST,12,NYG,--,--,5000,9.2
 Indianapolis Colts,IND,DST,12,PIT,--,--,4000,9.2
 San Francisco 49ers,SF,DST,16,WAS,--,--,5000,9.2
 San Francisco 49ers,SF,DST,17,LV,--,--,5000,9.2
 San Francisco 49ers,SF,DST,2,SEA,--,--,4900,9.1
 Kansas City Chiefs,KC,DST,15,HOU,--,--,5000,9.1
 Tampa Bay Buccaneers,TB,DST,5,ATL,--,--,4800,9.1
 Philadelphia Eagles,PHI,DST,18,NYG,--,--,5000,9.1
 Dallas Cowboys,DAL,DST,18,WAS,--,--,4700,9.1
 Kansas City Chiefs,KC,DST,12,LAR,--,--,4900,9.1
