team,pos,wk,opp,TFL,SCK,QB HIT,INT,FR,SFTY,DEF TD,RETURN TD,PTS ALLOWED,FPTS/G,FPTS
LV,DST,9,JAX,3,0,4,0,1,0,0,0,27,2,2
CHI,DST,10,DET,8,2,3,0,0,0,0,0,25,2,2
LAR,DST,10,ARI,3,2,7,0,0,0,0,0,27,2,2
PIT,DST,3,CLE,3,2,4,0,0,0,0,0,23,2,2
DET,DST,3,MIN,3,1,7,0,1,0,0,0,28,2,2
MIN,DST,3,DET,4,0,2,1,0,0,0,0,24,2,2
SF,DST,6,ATL,3,2,2,0,0,0,0,0,22,2,2
NE,DST,12,MIN,7,1,4,1,0,0,0,0,33,2,2
CIN,DST,12,TEN,4,1,6,0,0,0,0,0,16,2,2
TEN,DST,12,CIN,4,1,4,0,0,0,0,0,20,2,2
DEN,DST,12,CAR,2,0,2,0,1,0,0,0,23,2,2
PIT,DST,11,CIN,4,2,7,2,0,0,0,0,37,2,2
LAC,DST,11,KC,2,1,6,0,1,0,0,0,30,2,2
WAS,DST,2,DET,3,3,10,0,0,0,0,0,34,2,2
NYJ,DST,2,CLE,4,1,5,1,0,0,0,0,30,2,2
NYJ,DST,13,MIN,6,2,9,0,0,0,0,0,27,2,2
DET,DST,5,NE,6,0,0,1,0,0,0,0,23,2,2
LV,DST,5,KC,5,3,6,0,0,0,0,0,30,2,2
LAR,DST,8,SF,6,3,4,0,0,0,0,0,31,2,2
CLE,DST,18,PIT,3,1,2,0,1,0,0,0,28,2,2
GB,DST,18,DET,1,1,3,0,0,0,0,0,20,2,2
CIN,DST,1,PIT,4,1,5,0,0,0,0,0,17,2,2
HOU,DST,4,LAC,6,1,2,0,1,0,0,0,34,2,2
DEN,DST,4,LV,7,2,5,0,0,0,0,0,26,2,2
PIT,DST,5,BUF,2,0,1,1,1,0,0,0,38,2,2
SEA,DST,14,CAR,3,2,4,0,0,0,0,0,30,1,1
SEA,DST,15,SF,2,1,3,0,0,0,0,0,21,1,1
BUF,DST,15,MIA,3,2,4,0,0,0,0,0,29,1,1
CAR,DST,15,PIT,4,1,2,0,0,0,0,0,24,1,1
NYJ,DST,15,DET,4,0,5,0,0,0,0,0,20,1,1
WAS,DST,15,NYG,1,0,4,0,0,0,0,0,14,1,1
ATL,DST,10,CAR,6,1,3,0,0,0,0,0,25,1,1
CIN,DST,6,NO,5,1,5,0,0,0,0,0,26,1,1
SEA,DST,12,LV,3,1,4,2,0,0,0,0,40,1,1
HOU,DST,11,WAS,4,0,6,0,0,0,0,0,17,1,1
CLE,DST,11,BUF,5,2,4,0,0,0,0,0,31,1,1
DEN,DST,11,LV,3,1,4,0,0,0,0,0,22,1,1
CIN,DST,11,PIT,5,2,7,0,0,0,0,0,30,1,1
LAC,DST,2,KC,2,1,5,0,0,0,0,0,21,1,1
ATL,DST,13,PIT,2,0,4,0,0,0,0,0,19,1,1
KC,DST,13,CIN,0,1,0,0,0,0,0,0,27,1,1
SEA,DST,16,KC,2,1,3,0,0,0,0,0,24,1,1
WAS,DST,16,SF,4,3,3,1,0,0,0,0,37,1,1
LAC,DST,5,CLE,3,0,3,1,0,0,0,0,28,1,1
SEA,DST,5,NO,1,1,5,1,1,0,0,0,39,1,1
KC,DST,5,LV,2,2,7,0,0,0,0,0,29,1,1
MIA,DST,8,DET,3,1,4,0,0,0,0,0,27,1,1
NO,DST,7,ARI,8,2,2,0,0,0,0,0,30,1,1
JAX,DST,7,NYG,4,1,3,0,0,0,0,0,23,1,1
TB,DST,7,CAR,5,1,3,0,0,0,0,0,21,1,1
SF,DST,7,KC,1,1,3,1,1,0,0,0,42,1,1
PIT,DST,7,MIA,4,0,1,0,0,0,0,0,16,1,1
IND,DST,17,NYG,4,0,2,0,1,0,0,0,32,1,1
LV,DST,18,KC,6,2,4,0,0,0,0,0,31,1,1
CAR,DST,1,CLE,4,1,5,0,0,0,0,0,26,1,1
GB,DST,1,MIN,4,1,8,0,0,0,0,0,23,1,1
MIA,DST,4,CIN,2,1,3,0,0,0,0,0,27,1,1
WAS,DST,4,DAL,7,1,4,0,0,0,0,0,25,1,1
TB,DST,4,KC,5,3,6,1,0,0,0,0,41,1,1
LAR,DST,4,SF,3,0,1,0,0,0,0,0,18,1,1
NYG,DST,3,DAL,1,0,2,0,0,0,0,0,23,0,0
CLE,DST,6,NE,5,2,2,0,1,0,0,0,38,0,0
CHI,DST,12,NYJ,6,1,3,0,0,0,0,0,31,0,0
GB,DST,12,PHI,4,2,3,0,1,0,0,0,40,0,0
IND,DST,2,JAX,8,0,2,0,0,0,0,0,24,0,0
CLE,DST,5,LAC,2,1,2,0,0,0,0,0,30,0,0
ATL,DST,5,TB,2,0,4,0,0,0,0,0,21,0,0
LV,DST,8,NO,2,0,0,0,0,0,0,0,24,0,0
HOU,DST,7,LV,4,1,3,0,0,0,0,0,32,0,0
ARI,DST,18,SF,8,4,6,0,0,0,0,0,38,0,0
DET,DST,1,PHI,4,1,5,0,0,0,0,0,32,0,0
LV,DST,1,LAC,5,0,3,0,0,0,0,0,24,0,0
MIN,DST,14,DET,4,0,3,0,0,0,0,0,34,-1,-1
JAX,DST,6,IND,3,0,6,0,0,0,0,0,34,-1,-1
NYG,DST,11,DET,4,0,3,0,0,0,0,0,31,-1,-1
TEN,DST,2,BUF,2,1,3,0,1,0,0,0,35,-1,-1
CHI,DST,13,GB,4,0,0,0,0,0,0,0,28,-1,-1
IND,DST,13,DAL,3,1,1,1,0,0,0,0,48,-1,-1
PIT,DST,8,PHI,4,3,4,0,0,0,0,0,35,-1,-1
CHI,DST,8,DAL,2,1,2,1,0,0,0,0,43,-1,-1
ATL,DST,7,CIN,4,3,6,0,0,0,0,0,35,-1,-1
LAR,DST,17,LAC,2,0,2,0,0,0,0,0,31,-1,-1
MIN,DST,17,GB,2,1,3,0,0,0,0,0,35,-1,-1
TB,DST,14,SF,5,0,4,0,1,0,0,0,35,-2,-2
CAR,DST,9,CIN,2,2,3,0,0,0,0,0,42,-2,-2
TEN,DST,13,PHI,3,2,3,0,0,0,0,0,35,-2,-2
JAX,DST,13,DET,3,2,5,0,0,0,0,0,40,-2,-2
MIA,DST,5,NYJ,5,2,3,0,0,0,0,0,38,-2,-2
CHI,DST,17,DET,7,2,3,0,0,0,0,0,41,-2,-2
LV,DST,17,SF,4,0,3,1,0,0,0,0,37,-2,-2
ARI,DST,1,KC,3,0,6,0,1,0,0,0,44,-2,-2
DET,DST,4,SEA,4,0,3,0,1,0,0,0,42,-2,-2
CLE,DST,10,MIA,2,1,2,0,0,0,0,0,39,-3,-3
TEN,DST,14,JAX,6,0,1,0,0,0,0,0,36,-4,-4
CHI,DST,9,MIA,1,0,3,0,0,0,0,0,35,-4,-4
LAC,DST,3,JAX,6,0,2,0,0,0,0,0,38,-4,-4
MIN,DST,11,DAL,8,0,1,0,0,0,0,0,40,-4,-4
ARI,DST,11,SF,2,0,4,0,0,0,0,0,38,-4,-4
MIA,DST,2,BAL,4,0,0,0,0,0,0,0,38,-4,-4
DET,DST,16,CAR,4,0,0,0,0,0,0,0,37,-4,-4
DEN,DST,16,LAR,2,0,1,0,0,0,0,0,45,-4,-4
