Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Christian McCaffrey,CAR,RB,3,HOU,15,29,10500,23.54
 Jonathan Taylor,IND,RB,13,HOU,28,27,10500,21.44
 Jonathan Taylor,IND,RB,18,JAX,25,22,10200,21.37
 Christian McCaffrey,CAR,RB,1,NYJ,28,16,10400,20.9
 Derrick Henry,TEN,RB,5,JAX,29,25,10400,20.53
 Derrick Henry,TEN,RB,7,KC,30,19,11000,20.3
 Christian McCaffrey,CAR,RB,12,MIA,29,12,9700,20.06
 Alvin Kamara,NO,RB,2,CAR,9,5,8800,19.97
 Jonathan Taylor,IND,RB,16,ARI,5,8,10500,19.94
 Jonathan Taylor,IND,RB,17,LV,19,26,10000,19.81
 Christian McCaffrey,CAR,RB,2,NO,1,3,10000,19.81
 Alvin Kamara,NO,RB,7,SEA,27,29,9200,19.69
 Dalvin Cook,MIN,RB,1,CIN,23,25,9400,19.49
 Jonathan Taylor,IND,RB,12,TB,8,3,9800,19.42
 Derrick Henry,TEN,RB,4,NYJ,10,28,10200,19.35
 Dalvin Cook,MIN,RB,15,CHI,25,22,9000,19.04
 Najee Harris,PIT,RB,10,DET,30,31,9400,19.03
 Derrick Henry,TEN,RB,8,IND,13,5,10500,19.02
 Christian McCaffrey,CAR,RB,11,WAS,31,17,10000,18.93
 Jonathan Taylor,IND,RB,15,NE,2,12,10200,18.87
 Dalvin Cook,MIN,RB,2,ARI,3,10,9200,18.83
 Derrick Henry,TEN,RB,6,BUF,1,1,10500,18.79
 Alvin Kamara,NO,RB,1,GB,9,27,8600,18.72
 Dalvin Cook,MIN,RB,10,LAC,13,30,8500,18.62
 Jonathan Taylor,IND,RB,10,JAX,22,16,9400,18.56
 Joe Mixon,CIN,RB,13,LAC,19,29,9400,18.47
 Dalvin Cook,MIN,RB,8,DAL,22,9,9200,18.47
 Alvin Kamara,NO,RB,4,NYG,17,22,9000,18.44
 Derrick Henry,TEN,RB,3,IND,23,13,9700,18.42
 Alvin Kamara,NO,RB,9,ATL,24,23,9400,18.36
 Austin Ekeler,LAC,RB,14,NYG,16,24,9200,18.35
 Jonathan Taylor,IND,RB,9,NYJ,29,32,9200,18.27
 Austin Ekeler,LAC,RB,10,MIN,25,23,8600,17.97
 Najee Harris,PIT,RB,11,LAC,15,29,8700,17.86
 Austin Ekeler,LAC,RB,13,CIN,8,20,9000,17.77
 Austin Ekeler,LAC,RB,9,PHI,14,29,9000,17.73
 Nick Chubb,CLE,RB,2,HOU,15,10,8400,17.71
 Alvin Kamara,NO,RB,8,TB,9,2,8400,17.64
 Christian McCaffrey,CAR,RB,10,ARI,2,4,9000,17.62
 Derrick Henry,TEN,RB,1,ARI,15,17,8900,17.58
 Aaron Jones,GB,RB,7,WAS,32,24,8500,17.52
 Nick Chubb,CLE,RB,11,DET,29,31,9000,17.5
 Alexander Mattison,MIN,RB,13,DET,29,30,8700,17.5
 Austin Ekeler,LAC,RB,12,DEN,5,14,8400,17.48
 Najee Harris,PIT,RB,9,CHI,23,17,8700,17.33
 Aaron Jones,GB,RB,4,PIT,14,3,7400,17.31
 Darrell Henderson Jr.,LAR,RB,7,DET,26,32,8000,17.3
 Dalvin Cook,MIN,RB,11,GB,5,11,8400,17.22
 Alvin Kamara,NO,RB,3,NE,4,11,8000,17.12
