Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Mark Andrews,BAL,TE,5,IND,13,11,84.6,147,2,28,11.3,13.4,0,0,0,0,0,0,44.7,44.7
2,Travis Kelce,KC,TE,15,LAC,13,10,76.9,191,2,69,14.7,19.1,0,0,0,0,0,0,44.1,44.1
3,George Kittle,SF,TE,13,SEA,12,9,75,181,2,48,15.1,20.1,1,5,5,0,0,0,42.6,42.6
4,Mark Andrews,BAL,TE,15,GB,13,10,76.9,136,2,43,10.5,13.6,0,0,0,0,0,0,38.6,38.6
5,George Kittle,SF,TE,14,CIN,15,13,86.7,151,1,21,10.1,11.6,0,0,0,0,0,0,37.1,37.1
6,Dallas Goedert,PHI,TE,13,NYJ,6,6,100,105,2,36,17.5,17.5,0,0,0,0,0,0,31.5,31.5
6,Mark Andrews,BAL,TE,14,CLE,11,11,100,115,1,32,10.5,10.5,0,0,0,0,0,0,31.5,31.5
8,David Njoku,CLE,TE,5,LAC,7,7,100,149,1,71,21.3,21.3,0,0,0,0,0,0,30.9,30.9
9,Kyle Pitts,ATL,TE,5,NYJ,10,9,90,119,1,39,11.9,13.2,0,0,0,0,0,0,29.9,29.9
10,Mark Andrews,BAL,TE,16,CIN,10,8,80,125,1,28,12.5,15.6,0,0,0,0,0,0,29.5,29.5
10,Darren Waller,LV,TE,1,BAL,19,10,52.6,105,1,24,5.5,10.5,0,0,0,0,0,0,29.5,29.5
12,Rob Gronkowski,TB,TE,1,DAL,8,8,100,90,2,20,11.2,11.2,0,0,0,0,0,0,29,29
13,Zach Ertz,ARI,TE,11,SEA,9,8,88.9,88,2,25,9.8,11,0,0,0,0,0,0,28.8,28.8
14,Taysom Hill,NO,TE,13,DAL,0,0,0,0,0,0,0,0,11,101,9.2,0,0,0,27.7,27.66
15,Travis Kelce,KC,TE,2,BAL,8,7,87.5,109,1,46,13.6,15.6,0,0,0,0,0,0,26.9,26.9
16,C.J. Uzomah,CIN,TE,4,JAX,6,5,83.3,95,2,31,15.8,19,0,0,0,0,0,0,26.5,26.5
17,Taysom Hill,NO,TE,14,NYJ,0,0,0,0,0,0,0,0,11,73,6.6,2,2,0,26.3,26.3
17,Kyle Pitts,ATL,TE,7,MIA,8,7,87.5,163,0,39,20.4,23.3,0,0,0,0,0,0,26.3,26.3
19,Dalton Schultz,DAL,TE,3,PHI,7,6,85.7,80,2,22,11.4,13.3,0,0,0,0,0,0,26,26
20,Hunter Henry,NE,TE,15,IND,8,6,75,77,2,25,9.6,12.8,0,0,0,0,0,0,25.7,25.7
20,T.J. Hockenson,DET,TE,1,SF,10,8,80,97,1,23,9.7,12.1,0,0,0,0,0,0,25.7,25.7
22,Travis Kelce,KC,TE,1,CLE,7,6,85.7,76,2,19,10.9,12.7,0,0,0,0,0,0,25.6,25.6
23,Noah Fant,DEN,TE,6,LV,11,9,81.8,97,1,26,8.8,10.8,0,0,0,0,0,0,24.7,24.7
24,C.J. Uzomah,CIN,TE,7,BAL,3,3,100,91,2,55,30.3,30.3,0,0,0,0,0,0,24.1,24.1
24,George Kittle,SF,TE,9,ARI,8,6,75,101,1,29,12.6,16.8,0,0,0,0,1,1,24.1,24.1
26,Dawson Knox,BUF,TE,5,KC,4,3,75,117,1,53,29.2,39,0,0,0,0,0,0,23.7,23.7
26,Rob Gronkowski,TB,TE,18,CAR,10,7,70,137,0,42,13.7,19.6,0,0,0,0,0,0,23.7,23.7
28,Tyler Higbee,LAR,TE,18,SF,8,6,75,55,2,15,6.9,9.2,0,0,0,0,0,0,23.5,23.5
28,Dallas Goedert,PHI,TE,15,WAS,9,7,77.8,135,0,45,15,19.3,0,0,0,0,0,0,23.5,23.5
30,Travis Kelce,KC,TE,10,LV,10,8,80,119,0,30,11.9,14.9,0,0,0,0,0,0,22.9,22.9
31,Mike Gesicki,MIA,TE,6,JAX,9,8,88.9,115,0,32,12.8,14.4,0,0,0,0,0,0,22.5,22.5
32,Rob Gronkowski,TB,TE,12,IND,9,7,77.8,123,0,32,13.7,17.6,0,0,0,0,0,0,22.3,22.3
33,Dalton Schultz,DAL,TE,16,WAS,9,8,88.9,82,1,16,9.1,10.2,0,0,0,0,0,0,22.2,22.2
34,Rob Gronkowski,TB,TE,13,ATL,8,4,50,58,2,27,7.2,14.5,0,0,0,0,0,0,21.8,21.8
35,Darren Waller,LV,TE,11,CIN,8,7,87.5,116,0,31,14.5,16.6,0,0,0,0,0,0,21.6,21.6
36,Mike Gesicki,MIA,TE,7,ATL,8,7,87.5,85,1,27,10.6,12.1,0,0,0,0,0,0,21.5,21.5
36,Rob Gronkowski,TB,TE,17,NYJ,10,7,70,115,0,24,11.5,16.4,0,0,0,0,0,0,21.5,21.5
38,Pat Freiermuth,PIT,TE,9,CHI,6,5,83.3,43,2,13,7.2,8.6,0,0,0,0,0,0,21.3,21.3
39,Noah Fant,DEN,TE,17,LAC,7,6,85.7,92,1,35,13.1,15.3,0,0,0,0,0,0,21.2,21.2
40,Dawson Knox,BUF,TE,4,HOU,8,5,62.5,37,2,25,4.6,7.4,0,0,0,0,0,0,20.7,20.7
40,Dalton Schultz,DAL,TE,15,NYG,8,8,100,67,1,15,8.4,8.4,0,0,0,0,0,0,20.7,20.7
42,T.J. Hockenson,DET,TE,2,GB,9,8,88.9,66,1,20,7.3,8.2,0,0,0,0,0,0,20.6,20.6
43,Travis Kelce,KC,TE,3,LAC,11,7,63.6,104,0,28,9.5,14.9,0,0,0,0,0,0,20.4,20.4
44,Jack Doyle,IND,TE,12,TB,7,6,85.7,81,1,22,11.6,13.5,0,0,0,0,0,0,20.1,20.1
45,Tyler Conklin,MIN,TE,3,SEA,8,7,87.5,70,1,17,8.8,10,0,0,0,0,0,0,20,20
46,Rob Gronkowski,TB,TE,2,ATL,5,4,80,39,2,20,7.8,9.8,0,0,0,0,0,0,19.9,19.9
47,Hunter Henry,NE,TE,10,CLE,4,4,100,37,2,19,9.2,9.2,0,0,0,0,0,0,19.7,19.7
48,Hunter Henry,NE,TE,5,HOU,8,6,75,75,1,21,9.4,12.5,0,0,0,0,0,0,19.5,19.5
49,Mo Alie-Cox,IND,TE,4,MIA,5,3,60,42,2,28,8.4,14,0,0,0,0,0,0,19.2,19.2
49,Kyle Pitts,ATL,TE,16,DET,6,6,100,102,0,35,17,17,0,0,0,0,0,0,19.2,19.2
51,Jared Cook,LAC,TE,4,LV,7,6,85.7,70,1,22,10,11.7,0,0,0,0,0,0,19,19
