Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Ja'Marr Chase,CIN,WR,17,KC,12,11,91.7,266,3,72,22.2,24.2,0,0,0,0,0,0,58.6,58.6
2,Tyreek Hill,KC,WR,4,PHI,12,11,91.7,186,3,44,15.5,16.9,0,0,0,0,0,0,50.6,50.6
3,Tee Higgins,CIN,WR,16,BAL,13,12,92.3,194,2,52,14.9,16.2,0,0,0,0,0,0,46.4,46.4
4,Amari Cooper,DAL,WR,1,TB,16,13,81.2,139,2,28,8.7,10.7,0,0,0,0,0,0,41.9,41.9
5,Cooper Kupp,LAR,WR,7,DET,13,10,76.9,156,2,59,12,15.6,0,0,0,0,0,0,40.6,40.6
5,Davante Adams,GB,WR,5,CIN,16,11,68.8,206,1,59,12.9,18.7,0,0,0,0,0,0,40.6,40.6
7,Justin Jefferson,MIN,WR,11,GB,10,8,80,169,2,56,16.9,21.1,1,3,3,0,0,0,40.2,40.2
8,Tyreek Hill,KC,WR,1,CLE,15,11,73.3,197,1,75,13.1,17.9,1,4,4,0,0,0,40.1,40.1
9,Cooper Kupp,LAR,WR,2,IND,11,9,81.8,163,2,44,14.8,18.1,1,-5,-5,0,0,0,39.8,39.8
10,Mike Williams,LAC,WR,5,CLE,16,8,50,165,2,72,10.3,20.6,0,0,0,0,0,0,39.5,39.5
11,CeeDee Lamb,DAL,WR,6,NE,11,9,81.8,149,2,35,13.5,16.6,1,2,2,0,0,0,39.1,39.1
12,Deebo Samuel,SF,WR,4,SEA,13,8,61.5,156,2,76,12,19.5,1,1,1,0,0,0,38.7,38.7
13,Justin Jefferson,MIN,WR,13,DET,14,11,78.6,182,1,48,13,16.5,1,4,4,0,0,0,38.6,38.6
14,Amon-Ra St. Brown,DET,WR,17,SEA,11,8,72.7,111,1,31,10.1,13.9,2,23,11.5,1,0,0,38.4,38.4
15,Cooper Kupp,LAR,WR,15,SEA,13,9,69.2,136,2,42,10.5,15.1,1,1,1,0,0,0,37.7,37.7
16,Ja'Marr Chase,CIN,WR,7,BAL,10,8,80,201,1,82,20.1,25.1,0,0,0,0,1,0,37.1,37.1
16,Davante Adams,GB,WR,14,CHI,13,10,76.9,121,2,38,9.3,12.1,0,0,0,0,0,0,37.1,37.1
18,Cooper Kupp,LAR,WR,6,NYG,12,9,75,130,2,30,10.8,14.4,0,0,0,0,0,0,37,37
19,Marquise Brown,BAL,WR,5,IND,10,9,90,125,2,43,12.5,13.9,0,0,0,0,0,0,36.5,36.5
20,Davante Adams,GB,WR,16,CLE,13,10,76.9,114,2,33,8.8,11.4,0,0,0,0,0,0,36.4,36.4
21,Mike Williams,LAC,WR,3,KC,9,7,77.8,122,2,43,13.6,17.4,0,0,0,0,0,0,36.2,36.2
22,Deebo Samuel,SF,WR,1,DET,12,9,75,189,1,79,15.8,21,0,0,0,0,1,1,35.9,35.9
23,Tyreek Hill,KC,WR,15,LAC,13,12,92.3,148,1,40,11.4,12.3,0,0,0,0,0,0,35.8,35.8
24,Danny Amendola,HOU,WR,18,TEN,9,7,77.8,113,2,37,12.6,16.1,0,0,0,0,0,0,35.3,35.3
25,DJ Moore,CAR,WR,4,DAL,12,8,66.7,113,2,39,9.4,14.1,1,6,6,0,0,0,34.9,34.9
26,Tyler Lockett,SEA,WR,2,TEN,11,8,72.7,178,1,63,16.2,22.2,0,0,0,0,0,0,34.8,34.8
27,A.J. Brown,TEN,WR,8,IND,11,10,90.9,155,1,57,14.1,15.5,0,0,0,0,0,0,34.5,34.5
27,A.J. Brown,TEN,WR,16,SF,16,11,68.8,145,1,42,9.1,13.2,0,0,0,0,0,0,34.5,34.5
29,Antonio Brown,TB,WR,5,MIA,8,7,87.5,124,2,62,15.5,17.7,0,0,0,0,0,0,34.4,34.4
30,Cooper Kupp,LAR,WR,14,ARI,15,13,86.7,123,1,44,8.2,9.5,0,0,0,0,0,0,34.3,34.3
31,Davante Adams,GB,WR,3,SF,18,12,66.7,132,1,25,7.3,11,0,0,0,0,0,0,34.2,34.2
32,Davante Adams,GB,WR,17,MIN,14,11,78.6,136,1,30,9.7,12.4,0,0,0,0,0,0,33.6,33.6
33,Davante Adams,GB,WR,11,MIN,8,7,87.5,115,2,37,14.4,16.4,0,0,0,0,0,0,33.5,33.5
33,Diontae Johnson,PIT,WR,13,BAL,11,8,72.7,105,2,29,9.5,13.1,0,0,0,0,0,0,33.5,33.5
35,Terry McLaurin,WAS,WR,4,ATL,13,6,46.2,123,2,33,9.5,20.5,0,0,0,0,0,0,33.3,33.3
36,Stefon Diggs,BUF,WR,10,NYJ,13,8,61.5,162,1,57,12.5,20.2,0,0,0,0,0,0,33.2,33.2
36,Chris Godwin,TB,WR,13,ATL,17,15,88.2,143,0,36,8.4,9.5,1,9,9,0,0,0,33.2,33.2
38,Adam Thielen,MIN,WR,6,CAR,13,11,84.6,126,1,35,9.7,11.5,1,2,2,0,0,0,32.8,32.8
39,Hunter Renfrow,LV,WR,14,KC,14,13,92.9,117,1,19,8.4,9,0,0,0,0,1,1,32.7,32.7
40,Elijah Moore,NYJ,WR,11,MIA,11,8,72.7,141,1,62,12.8,17.6,1,15,15,0,0,0,32.6,32.6
40,Kadarius Toney,NYG,WR,5,DAL,13,10,76.9,189,0,38,14.5,18.9,1,7,7,0,0,0,32.6,32.6
42,Isaiah McKenzie,BUF,WR,16,NE,12,11,91.7,125,1,28,10.4,11.4,1,-1,-1,0,0,0,32.4,32.4
43,Mike Evans,TB,WR,5,MIA,8,6,75,113,2,34,14.1,18.8,0,0,0,0,0,0,32.3,32.3
44,Brandin Cooks,HOU,WR,15,JAX,10,7,70,102,2,43,10.2,14.6,0,0,0,0,0,0,32.2,32.2
45,Cedrick Wilson Jr.,DAL,WR,18,PHI,6,5,83.3,119,2,37,19.8,23.8,0,0,0,0,0,0,31.9,31.9
46,Tee Higgins,CIN,WR,13,LAC,14,9,64.3,138,1,29,9.9,15.3,0,0,0,0,0,0,31.8,31.8
47,Jaylen Waddle,MIA,WR,12,CAR,10,9,90,137,1,57,13.7,15.2,0,0,0,0,0,0,31.7,31.7
48,Mike Evans,TB,WR,7,CHI,10,6,60,76,3,46,7.6,12.7,0,0,0,0,0,0,31.6,31.6
49,Deebo Samuel,SF,WR,16,TEN,11,9,81.8,159,0,56,14.5,17.7,5,32,6.4,0,2,0,31.1,31.1
50,Chris Godwin,TB,WR,8,NO,12,8,66.7,140,1,44,11.7,17.5,0,0,0,0,0,0,31,31
51,DK Metcalf,SEA,WR,17,DET,9,6,66.7,63,3,17,7,10.5,1,6,6,0,0,0,30.9,30.9
51,Ja'Marr Chase,CIN,WR,5,GB,10,6,60,159,1,70,15.9,26.5,0,0,0,0,0,0,30.9,30.9
53,Terry McLaurin,WAS,WR,2,NYG,14,11,78.6,107,1,18,7.6,9.7,0,0,0,0,0,0,30.7,30.7
54,Cooper Kupp,LAR,WR,3,TB,12,9,75,96,2,22,8,10.7,0,0,0,0,0,0,30.6,30.6
54,Michael Pittman Jr.,IND,WR,8,TEN,15,10,66.7,86,2,38,5.7,8.6,0,0,0,0,0,0,30.6,30.6
54,Russell Gage,ATL,WR,18,NO,13,9,69.2,126,1,26,9.7,14,0,0,0,0,0,0,30.6,30.6
57,Deebo Samuel,SF,WR,10,LAR,5,5,100,97,1,40,19.4,19.4,5,36,7.2,1,0,0,30.3,30.3
57,A.J. Brown,TEN,WR,7,KC,9,8,88.9,133,1,46,14.8,16.6,0,0,0,0,0,0,30.3,30.3
59,Tyler Lockett,SEA,WR,14,HOU,9,5,55.6,142,1,55,15.8,28.4,0,0,0,0,0,0,30.2,30.2
59,Adam Thielen,MIN,WR,1,CIN,10,9,90,92,2,24,9.2,10.2,0,0,0,0,0,0,30.2,30.2
61,Robert Woods,LAR,WR,5,SEA,14,12,85.7,150,0,25,10.7,12.5,0,0,0,0,0,0,30,30
62,Cooper Kupp,LAR,WR,13,JAX,10,8,80,129,1,43,12.9,16.1,0,0,0,0,0,0,29.9,29.9
62,Mike Williams,LAC,WR,18,LV,17,9,52.9,119,1,47,7,13.2,0,0,0,0,0,0,29.9,29.9
64,Justin Jefferson,MIN,WR,3,SEA,11,9,81.8,118,1,28,10.7,13.1,0,0,0,0,0,0,29.8,29.8
65,Cooper Kupp,LAR,WR,18,SF,7,7,100,118,1,46,16.9,16.9,1,18,18,0,0,0,29.6,29.6
66,Amari Cooper,DAL,WR,8,MIN,13,8,61.5,122,1,33,9.4,15.2,0,0,0,0,1,0,29.2,29.2
66,Tyler Lockett,SEA,WR,8,JAX,13,12,92.3,142,0,28,10.9,11.8,0,0,0,0,0,0,29.2,29.2
68,Donovan Peoples-Jones,CLE,WR,6,ARI,5,4,80,101,2,57,20.2,25.2,0,0,0,0,0,0,29.1,29.1
68,Amon-Ra St. Brown,DET,WR,18,GB,10,8,80,109,1,28,10.9,13.6,1,12,12,0,0,0,29.1,29.1
70,Tyler Lockett,SEA,WR,1,IND,5,4,80,100,2,69,20,25,0,0,0,0,0,0,29,29
70,Jaylen Waddle,MIA,WR,6,JAX,13,10,76.9,70,2,14,5.4,7,0,0,0,0,0,0,29,29
