Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
114,Cordarrelle Patterson,ATL,RB,9,NO,9,10,1.1,0,6,6,126,0,1,0,22.6,22.6
116,Dalvin Cook,MIN,RB,11,GB,22,86,3.9,1,4,3,29,0,0,0,22.5,22.5
116,Rashaad Penny,SEA,RB,16,CHI,17,135,7.9,1,1,0,0,0,0,0,22.5,22.5
116,Austin Ekeler,LAC,RB,2,DAL,9,54,6,0,9,9,61,0,0,0,22.5,22.5
119,Clyde Edwards-Helaire,KC,RB,4,PHI,14,102,7.3,0,3,2,12,1,0,0,22.4,22.4
119,D'Andre Swift,DET,RB,5,MIN,11,51,4.6,1,6,6,53,0,0,0,22.4,22.4
119,Derrick Henry,TEN,RB,3,IND,28,113,4,0,3,3,31,0,0,0,22.4,22.4
122,Darrell Henderson Jr.,LAR,RB,8,HOU,14,90,6.4,1,2,1,3,1,0,0,22.3,22.3
122,AJ Dillon,GB,RB,17,MIN,14,63,4.5,2,3,2,20,0,0,0,22.3,22.3
122,Dontrell Hilliard,TEN,RB,12,NE,12,131,10.9,1,2,1,2,0,1,1,22.3,22.3
125,D'Onta Foreman,TEN,RB,17,MIA,26,132,5.1,1,0,0,0,0,0,0,22.2,22.2
125,Duke Johnson,MIA,RB,18,NE,25,117,4.7,1,1,1,5,0,0,0,22.2,22.2
125,Leonard Fournette,TB,RB,13,ATL,13,44,3.4,0,8,7,48,1,0,0,22.2,22.2
128,Antonio Gibson,WAS,RB,13,LV,23,88,3.8,0,6,5,23,1,0,0,22.1,22.1
129,Jonathan Taylor,IND,RB,7,SF,18,107,5.9,1,3,3,3,0,2,1,22,22
130,Austin Ekeler,LAC,RB,12,DEN,12,31,2.6,0,8,6,68,1,0,0,21.9,21.9
131,Antonio Gibson,WAS,RB,10,TB,24,64,2.7,2,2,2,14,0,0,0,21.8,21.8
131,David Montgomery,CHI,RB,1,LAR,16,108,6.8,1,1,1,10,0,0,0,21.8,21.8
133,Ezekiel Elliott,DAL,RB,10,ATL,14,41,2.9,2,3,3,15,0,1,1,21.8,21.76
134,Aaron Jones,GB,RB,14,CHI,5,35,7,1,3,3,30,1,0,0,21.5,21.5
135,Alexander Mattison,MIN,RB,13,DET,22,90,4.1,1,3,3,34,0,0,0,21.4,21.4
135,Jonathan Taylor,IND,RB,17,LV,20,108,5.4,1,2,1,6,0,0,0,21.4,21.4
135,Saquon Barkley,NYG,RB,3,ATL,16,51,3.2,1,7,6,43,0,0,0,21.4,21.4
135,Dalvin Cook,MIN,RB,1,CIN,20,61,3,1,7,6,43,0,1,1,21.4,21.4
135,Chuba Hubbard,CAR,RB,5,PHI,24,101,4.2,0,6,5,33,0,0,0,21.4,21.4
140,Javonte Williams,DEN,RB,14,DET,15,73,4.9,1,2,1,10,1,0,0,21.3,21.3
140,Kenyan Drake,LV,RB,6,DEN,4,34,8.5,1,2,2,39,1,0,0,21.3,21.3
140,Khalil Herbert,CHI,RB,7,TB,18,100,5.6,0,5,5,33,0,0,0,21.3,21.3
143,Antonio Gibson,WAS,RB,5,NO,20,60,3,2,2,2,12,0,0,0,21.2,21.2
143,Jonathan Taylor,IND,RB,8,TEN,16,70,4.4,1,4,3,52,0,0,0,21.2,21.2
143,Alvin Kamara,NO,RB,18,ATL,30,146,4.9,0,2,2,16,0,0,0,21.2,21.2
146,David Montgomery,CHI,RB,17,NYG,22,64,2.9,2,2,2,17,0,0,0,21.1,21.1
146,Najee Harris,PIT,RB,4,GB,15,62,4.1,1,7,6,29,0,0,0,21.1,21.1
148,Najee Harris,PIT,RB,8,CLE,26,91,3.5,1,3,3,29,0,0,0,21,21
148,Aaron Jones,GB,RB,6,CHI,13,76,5.8,0,4,4,34,1,0,0,21,21
148,Leonard Fournette,TB,RB,5,MIA,12,67,5.6,1,5,4,43,0,0,0,21,21
148,Alvin Kamara,NO,RB,17,CAR,13,32,2.5,0,6,5,68,1,0,0,21,21
152,James Conner,ARI,RB,11,SEA,21,62,3,1,6,5,37,0,0,0,20.9,20.9
152,Kenneth Gainwell,PHI,RB,4,KC,3,31,10.3,1,8,6,58,0,0,0,20.9,20.9
152,Clyde Edwards-Helaire,KC,RB,3,LAC,17,100,5.9,0,2,2,9,1,1,1,20.9,20.9
152,Chase Edmonds,ARI,RB,4,LAR,12,120,10,0,5,4,19,0,0,0,20.9,20.9
156,Devontae Booker,NYG,RB,5,DAL,16,42,2.6,1,4,3,16,1,0,0,20.8,20.8
156,Alvin Kamara,NO,RB,3,NE,24,89,3.7,0,4,3,29,1,0,0,20.8,20.8
156,Dalvin Cook,MIN,RB,10,LAC,24,94,3.9,1,5,3,24,0,0,0,20.8,20.8
156,Damien Harris,NE,RB,6,DAL,18,101,5.6,1,1,1,7,0,0,0,20.8,20.8
156,Nyheim Hines,IND,RB,9,NYJ,6,74,12.3,1,6,4,34,0,0,0,20.8,20.8
156,Mark Ingram II,NO,RB,10,TEN,14,47,3.4,1,7,4,61,0,0,0,20.8,20.8
156,Jaret Patterson,WAS,RB,17,PHI,12,57,4.8,1,5,5,41,0,0,0,20.8,20.8
163,Devonta Freeman,BAL,RB,13,PIT,14,52,3.7,1,8,5,45,0,0,0,20.7,20.7
164,James Robinson,JAX,RB,4,CIN,18,78,4.3,2,2,1,-2,0,0,0,20.6,20.6
164,Brandon Bolden,NE,RB,18,MIA,7,46,6.6,1,2,2,20,1,0,0,20.6,20.6
164,James Conner,ARI,RB,4,LAR,18,50,2.8,2,2,2,16,0,1,0,20.6,20.6
164,Melvin Gordon III,DEN,RB,18,KC,12,110,9.2,1,2,1,6,0,1,1,20.6,20.6
168,Alvin Kamara,NO,RB,9,ATL,13,50,3.8,1,7,4,54,0,0,0,20.4,20.4
169,J.D. McKissic,WAS,RB,2,NYG,4,10,2.5,1,6,5,83,0,0,0,20.3,20.3
169,Najee Harris,PIT,RB,10,DET,26,105,4,0,4,4,28,0,0,0,20.3,20.3
171,Austin Ekeler,LAC,RB,17,DEN,17,58,3.4,1,3,3,54,0,0,0,20.2,20.2
171,Melvin Gordon III,DEN,RB,8,WAS,10,47,4.7,1,3,3,15,1,1,1,20.2,20.2
171,Miles Sanders,PHI,RB,13,NYJ,24,120,5,0,3,3,22,0,0,0,20.2,20.2
174,Javonte Williams,DEN,RB,12,LAC,14,54,3.9,1,4,3,57,0,0,0,20.1,20.1
174,Damien Harris,NE,RB,13,BUF,10,111,11.1,1,0,0,0,0,0,0,20.1,20.1
174,Giovani Bernard,TB,RB,3,LAR,0,0,0,0,10,9,51,1,1,0,20.1,20.1
177,AJ Dillon,GB,RB,12,LAR,20,69,3.4,0,5,5,21,1,0,0,20,20
177,Devonta Freeman,BAL,RB,11,CHI,16,49,3.1,1,6,6,31,0,0,0,20,20
179,Brandon Bolden,NE,RB,7,NYJ,2,0,0,0,7,6,79,1,0,0,19.9,19.9
180,Alex Collins,SEA,RB,6,PIT,20,101,5,1,1,1,-3,0,0,0,19.8,19.8
180,Dalvin Cook,MIN,RB,2,ARI,22,131,6,0,3,2,17,0,0,0,19.8,19.8
182,Elijah Mitchell,SF,RB,7,IND,18,107,5.9,1,0,0,0,0,0,0,19.7,19.7
182,Jonathan Taylor,IND,RB,12,TB,16,83,5.2,1,5,4,14,0,0,0,19.7,19.7
182,Kenneth Gainwell,PHI,RB,13,NYJ,12,54,4.5,1,5,5,33,0,0,0,19.7,19.7
185,Ty Johnson,NYJ,RB,8,CIN,4,15,3.8,0,6,5,71,1,0,0,19.6,19.6
185,Miles Sanders,PHI,RB,15,WAS,18,131,7.3,0,2,2,15,0,0,0,19.6,19.6
187,D'Andre Swift,DET,RB,10,PIT,33,130,3.9,0,6,3,5,0,0,0,19.5,19.5
188,Elijah Mitchell,SF,RB,1,DET,19,104,5.5,1,0,0,0,0,0,0,19.4,19.4
188,Austin Ekeler,LAC,RB,13,CIN,14,59,4.2,1,5,5,45,0,2,2,19.4,19.4
190,Josh Jacobs,LV,RB,12,DAL,22,87,4,1,4,2,25,0,0,0,19.2,19.2
190,Myles Gaskin,MIA,RB,12,CAR,16,49,3.1,2,2,2,3,0,0,0,19.2,19.2
190,Khalil Herbert,CHI,RB,6,GB,19,97,5.1,1,3,2,15,0,0,0,19.2,19.2
190,Clyde Edwards-Helaire,KC,RB,14,LV,10,37,3.7,2,3,3,5,0,0,0,19.2,19.2
194,James Conner,ARI,RB,13,CHI,20,75,3.8,0,2,2,36,1,0,0,19.1,19.1
194,James Robinson,JAX,RB,6,MIA,17,73,4.3,1,4,3,28,0,0,0,19.1,19.1
194,Najee Harris,PIT,RB,2,LV,10,38,3.8,0,5,5,43,1,0,0,19.1,19.1
197,Travis Homer,SEA,RB,13,SF,3,80,26.7,1,5,4,10,0,0,0,19,19
197,Matt Breida,BUF,RB,10,NYJ,3,28,9.3,1,3,3,22,1,1,1,19,19
197,J.D. McKissic,WAS,RB,6,KC,8,45,5.6,0,10,8,65,0,0,0,19,19
200,Sony Michel,LAR,RB,17,BAL,19,74,3.9,1,5,3,25,0,0,0,18.9,18.9
200,Nyheim Hines,IND,RB,3,TEN,6,25,4.2,1,6,5,54,0,0,0,18.9,18.9
200,Ezekiel Elliott,DAL,RB,6,NE,17,69,4.1,0,9,7,50,0,0,0,18.9,18.9
203,Devin Singletary,BUF,RB,16,NE,12,39,3.2,1,6,5,39,0,0,0,18.8,18.8
204,Kenneth Gainwell,PHI,RB,18,DAL,12,78,6.5,1,7,4,9,0,0,0,18.7,18.7
205,Myles Gaskin,MIA,RB,11,NYJ,23,89,3.9,0,4,3,7,1,0,0,18.6,18.6
206,Saquon Barkley,NYG,RB,14,LAC,16,64,4,0,3,3,31,1,0,0,18.5,18.5
206,D'Onta Foreman,TEN,RB,15,PIT,22,108,4.9,0,3,2,27,0,0,0,18.5,18.5
206,James White,NE,RB,2,NYJ,5,20,4,1,6,6,45,0,0,0,18.5,18.5
206,Antonio Gibson,WAS,RB,15,PHI,15,26,1.7,1,7,6,39,0,0,0,18.5,18.5
210,Ty'Son Williams,BAL,RB,1,LV,9,65,7.2,1,4,3,29,0,0,0,18.4,18.4
210,James Robinson,JAX,RB,10,IND,12,57,4.8,1,5,4,27,0,0,0,18.4,18.4
210,Cordarrelle Patterson,ATL,RB,5,NYJ,14,54,3.9,0,9,7,60,0,0,0,18.4,18.4
213,James Conner,ARI,RB,3,JAX,11,43,3.9,2,1,1,10,0,0,0,18.3,18.3
213,Samaje Perine,CIN,RB,5,GB,11,59,5.4,0,5,4,24,1,0,0,18.3,18.3
215,Austin Ekeler,LAC,RB,15,KC,12,59,4.9,1,4,4,23,0,0,0,18.2,18.2
215,Michael Carter,NYJ,RB,10,BUF,16,39,2.4,1,6,4,43,0,0,0,18.2,18.2
215,Cordarrelle Patterson,ATL,RB,8,CAR,9,35,3.9,0,5,5,37,1,0,0,18.2,18.2
215,Dalvin Cook,MIN,RB,9,BAL,17,110,6.5,0,3,3,12,0,0,0,18.2,18.2
219,Alvin Kamara,NO,RB,1,GB,20,83,4.2,0,4,3,8,1,0,0,18.1,18.1
219,Zack Moss,BUF,RB,3,WAS,13,60,4.6,0,3,3,31,1,0,0,18.1,18.1
221,Boston Scott,PHI,RB,8,DET,12,60,5,2,1,0,0,0,0,0,18,18
221,Josh Jacobs,LV,RB,17,IND,16,63,3.9,1,4,4,17,0,0,0,18,18
221,Corey Clement,DAL,RB,18,PHI,7,58,8.3,0,4,4,22,1,0,0,18,18
224,AJ Dillon,GB,RB,5,CIN,8,30,3.8,0,4,4,49,1,0,0,17.9,17.9
224,Aaron Jones,GB,RB,5,CIN,14,103,7.4,0,5,4,6,0,0,0,17.9,17.9
226,James Robinson,JAX,RB,15,HOU,18,75,4.2,1,6,3,13,0,0,0,17.8,17.8
227,Jordan Howard,PHI,RB,8,DET,12,57,4.8,2,0,0,0,0,0,0,17.7,17.7
227,Damien Harris,NE,RB,17,JAX,9,35,3.9,2,1,1,12,0,0,0,17.7,17.7
227,Ezekiel Elliott,DAL,RB,2,LAC,16,71,4.4,1,2,2,26,0,0,0,17.7,17.7
227,Myles Gaskin,MIA,RB,7,ATL,15,67,4.5,0,4,4,10,1,0,0,17.7,17.7
227,D'Andre Swift,DET,RB,6,CIN,13,24,1.8,1,7,5,43,0,0,0,17.7,17.7
232,Aaron Jones,GB,RB,3,SF,19,82,4.3,1,2,2,14,0,1,0,17.6,17.6
232,Jonathan Taylor,IND,RB,1,SEA,17,56,3.3,0,7,6,60,0,0,0,17.6,17.6
234,Melvin Gordon III,DEN,RB,9,DAL,21,80,3.8,1,2,2,15,0,0,0,17.5,17.5
234,Devontae Booker,NYG,RB,8,KC,15,60,4,0,6,5,65,0,0,0,17.5,17.5
236,Antonio Gibson,WAS,RB,3,BUF,12,31,2.6,0,2,1,73,1,0,0,17.4,17.4
236,Elijah Mitchell,SF,RB,13,SEA,22,66,3,1,3,3,18,0,0,0,17.4,17.4
236,Michael Carter,NYJ,RB,16,JAX,16,118,7.4,0,3,2,6,0,0,0,17.4,17.4
236,Michael Carter,NYJ,RB,7,NE,11,37,3.4,0,9,8,67,0,1,1,17.4,17.4
240,Darrell Henderson Jr.,LAR,RB,12,GB,16,55,3.4,0,4,4,18,1,0,0,17.3,17.3
240,Damien Harris,NE,RB,18,MIA,11,37,3.4,1,4,4,36,0,0,0,17.3,17.3
240,Miles Sanders,PHI,RB,1,ATL,15,74,4.9,0,5,4,39,0,0,0,17.3,17.3
240,J.D. McKissic,WAS,RB,8,DEN,3,10,3.3,0,8,8,83,0,0,0,17.3,17.3
244,Ezekiel Elliott,DAL,RB,16,WAS,9,37,4.1,1,1,1,5,1,0,0,17.2,17.2
244,Ty Johnson,NYJ,RB,17,TB,5,35,7,1,4,3,47,0,0,0,17.2,17.2
244,Darrell Henderson Jr.,LAR,RB,2,IND,13,53,4.1,1,5,3,29,0,0,0,17.2,17.2
244,Javonte Williams,DEN,RB,7,CLE,4,20,5,0,7,6,32,1,0,0,17.2,17.2
244,Leonard Fournette,TB,RB,10,WAS,11,47,4.3,0,9,8,45,0,0,0,17.2,17.2
244,Ameer Abdullah,CAR,RB,18,TB,7,26,3.7,0,11,9,56,0,0,0,17.2,17.2
250,Devin Singletary,BUF,RB,2,MIA,13,82,6.3,1,3,2,9,0,1,0,17.1,17.1
250,Kareem Hunt,CLE,RB,1,KC,6,33,5.5,1,3,3,28,0,0,0,17.1,17.1
252,Josh Jacobs,LV,RB,1,BAL,10,34,3.4,2,2,1,6,0,0,0,17,17
252,Leonard Fournette,TB,RB,7,CHI,15,81,5.4,1,4,2,9,0,0,0,17,17
252,Darrel Williams,KC,RB,8,NYG,13,49,3.8,0,6,6,61,0,0,0,17,17
255,Darrell Henderson Jr.,LAR,RB,5,SEA,17,82,4.8,1,1,1,17,0,0,0,16.9,16.9
255,Derrick Gore,KC,RB,14,LV,9,66,7.3,1,2,2,23,0,0,0,16.9,16.9
255,Kenyan Drake,LV,RB,7,PHI,14,69,4.9,1,3,3,10,0,0,0,16.9,16.9
255,Leonard Fournette,TB,RB,4,NE,20,92,4.6,0,5,3,47,0,0,0,16.9,16.9
255,Mike Davis,ATL,RB,13,TB,4,32,8,1,4,4,37,0,0,0,16.9,16.9
255,Najee Harris,PIT,RB,11,LAC,12,39,3.2,1,6,5,20,0,0,0,16.9,16.9
255,J.D. McKissic,WAS,RB,4,ATL,7,15,2.1,0,5,5,44,1,0,0,16.9,16.9
