Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Jonathan Taylor,IND,RB,11,BUF,32,185,5.8,4,3,3,19,1,0,0,56.4,56.4
2,Derrick Henry,TEN,RB,2,SEA,35,182,5.2,3,6,6,55,0,0,0,50.7,50.7
3,Leonard Fournette,TB,RB,12,IND,17,100,5.9,3,8,7,31,1,0,0,47.1,47.1
4,Austin Ekeler,LAC,RB,11,PIT,11,50,4.5,2,7,6,65,2,0,0,41.5,41.5
4,Aaron Jones,GB,RB,2,DET,17,67,3.9,1,6,6,48,3,0,0,41.5,41.5
6,James Conner,ARI,RB,9,SF,21,96,4.6,2,5,5,77,1,1,0,40.3,40.3
7,Derrick Henry,TEN,RB,6,BUF,20,143,7.2,3,3,2,13,0,0,0,38.6,38.6
8,Dalvin Cook,MIN,RB,14,PIT,27,205,7.6,2,3,1,17,0,0,0,38.2,38.2
9,Jonathan Taylor,IND,RB,9,NYJ,19,172,9.1,2,2,2,28,0,1,0,37,37
10,Alvin Kamara,NO,RB,7,SEA,20,51,2.6,0,11,10,128,1,0,0,36.9,36.9
11,Rashaad Penny,SEA,RB,17,DET,25,170,6.8,2,3,2,15,0,0,0,35.5,35.5
12,Joe Mixon,CIN,RB,12,PIT,28,165,5.9,2,4,4,-2,0,0,0,35.3,35.3
13,Justin Jackson,LAC,RB,16,HOU,11,64,5.8,2,9,8,98,0,1,1,35.2,35.2
14,Jonathan Taylor,IND,RB,5,BAL,15,53,3.5,1,4,3,116,1,0,0,34.9,34.9
15,Cordarrelle Patterson,ATL,RB,4,WAS,6,34,5.7,0,6,5,82,3,0,0,34.6,34.6
16,Derrick Henry,TEN,RB,5,JAX,29,130,4.5,3,0,0,0,0,0,0,34,34
17,Austin Ekeler,LAC,RB,5,CLE,17,66,3.9,2,5,5,53,1,2,1,33.9,33.9
18,James Conner,ARI,RB,14,LAR,13,31,2.4,2,9,9,94,0,0,0,33.5,33.5
19,Nick Chubb,CLE,RB,9,CIN,14,137,9.8,2,2,2,26,0,1,0,33.3,33.3
20,Javonte Williams,DEN,RB,13,KC,23,102,4.4,0,9,6,76,1,1,0,32.8,32.8
21,Najee Harris,PIT,RB,17,CLE,28,188,6.7,1,3,3,18,0,0,0,32.6,32.6
22,Austin Ekeler,LAC,RB,4,LV,15,117,7.8,1,5,3,28,1,0,0,32.5,32.5
23,Darrel Williams,KC,RB,10,LV,11,43,3.9,0,9,9,101,1,0,0,32.4,32.4
24,Michael Carter,NYJ,RB,8,CIN,15,77,5.1,1,14,9,95,0,0,0,32.2,32.2
25,Rex Burkhead,HOU,RB,16,LAC,22,149,6.8,2,2,2,0,0,0,0,31.9,31.9
25,Myles Gaskin,MIA,RB,5,TB,5,25,5,0,10,10,74,2,0,0,31.9,31.9
27,Jonathan Taylor,IND,RB,6,HOU,14,145,10.4,2,2,1,13,0,0,0,31.8,31.8
28,Joe Mixon,CIN,RB,16,BAL,18,65,3.6,1,6,6,70,1,0,0,31.5,31.5
29,Damien Harris,NE,RB,16,BUF,18,103,5.7,3,1,0,0,0,0,0,31.3,31.3
30,Najee Harris,PIT,RB,3,CIN,14,40,2.9,0,19,14,102,0,0,0,31.2,31.2
31,Elijah Mitchell,SF,RB,12,MIN,27,133,4.9,1,6,5,35,0,0,0,30.8,30.8
32,Leonard Fournette,TB,RB,6,PHI,22,81,3.7,2,6,6,46,0,0,0,30.7,30.7
33,Cordarrelle Patterson,ATL,RB,12,JAX,16,108,6.8,2,3,2,27,0,0,0,30.5,30.5
34,Nick Chubb,CLE,RB,16,GB,17,126,7.4,1,4,3,58,0,0,0,30.4,30.4
34,Rhamondre Stevenson,NE,RB,10,CLE,20,100,5,2,5,4,14,0,0,0,30.4,30.4
36,Alexander Mattison,MIN,RB,5,DET,25,113,4.5,0,7,7,40,1,1,1,30.3,30.3
37,Rashaad Penny,SEA,RB,14,HOU,16,137,8.6,2,1,1,1,0,0,0,29.8,29.8
38,Saquon Barkley,NYG,RB,4,NO,13,52,4,1,6,5,74,1,1,0,29.6,29.6
39,Alvin Kamara,NO,RB,5,WAS,16,71,4.4,1,8,5,51,1,0,0,29.2,29.2
40,Austin Ekeler,LAC,RB,18,LV,16,64,4,1,12,5,35,1,0,0,28.9,28.9
41,Duke Johnson,MIA,RB,15,NYJ,22,107,4.9,2,1,1,20,0,0,0,28.7,28.7
41,Derrick Henry,TEN,RB,4,NYJ,33,157,4.8,1,2,2,20,0,0,0,28.7,28.7
43,D'Andre Swift,DET,RB,7,LAR,13,48,3.7,0,10,8,96,1,0,0,28.4,28.4
44,Jonathan Taylor,IND,RB,13,HOU,32,143,4.5,2,0,0,0,0,1,1,28.3,28.3
44,Damien Harris,NE,RB,7,NYJ,14,106,7.6,2,2,2,7,0,0,0,28.3,28.3
46,Ezekiel Elliott,DAL,RB,5,NYG,21,110,5.2,1,3,2,2,1,0,0,28.2,28.2
47,David Montgomery,CHI,RB,13,ARI,21,90,4.3,1,9,8,51,0,0,0,28.1,28.1
48,Rashaad Penny,SEA,RB,18,ARI,23,190,8.3,1,0,0,0,0,0,0,28,28
48,Joe Mixon,CIN,RB,9,CLE,13,64,4.9,2,5,5,46,0,0,0,28,28
48,Joe Mixon,CIN,RB,1,MIN,29,127,4.4,1,4,4,23,0,0,0,28,28
51,D'Ernest Johnson,CLE,RB,7,DEN,22,146,6.6,1,2,2,22,0,0,0,27.8,27.8
52,Christian McCaffrey,CAR,RB,1,NYJ,21,98,4.7,0,9,9,89,0,0,0,27.7,27.7
53,Jonathan Taylor,IND,RB,10,JAX,21,116,5.5,1,8,6,10,0,0,0,27.6,27.6
54,Kareem Hunt,CLE,RB,3,CHI,10,81,8.1,1,7,6,74,0,0,0,27.5,27.5
54,Alvin Kamara,NO,RB,14,NYJ,27,120,4.4,1,5,4,25,0,0,0,27.5,27.5
56,Joe Mixon,CIN,RB,11,LV,30,123,4.1,2,0,0,0,0,0,0,27.3,27.3
56,James Conner,ARI,RB,18,SEA,15,52,3.5,1,6,6,41,1,0,0,27.3,27.3
58,Nick Chubb,CLE,RB,5,LAC,21,161,7.7,1,1,1,9,0,0,0,27,27
59,AJ Dillon,GB,RB,10,SEA,21,66,3.1,2,2,2,62,0,0,0,26.8,26.8
60,Chase Edmonds,ARI,RB,16,IND,16,56,3.5,1,9,8,71,0,0,0,26.7,26.7
61,Ezekiel Elliott,DAL,RB,3,PHI,17,95,5.6,2,3,3,21,0,0,0,26.6,26.6
61,Antonio Gibson,WAS,RB,12,SEA,29,111,3.8,0,7,7,35,0,0,0,26.6,26.6
63,Joe Mixon,CIN,RB,6,DET,18,94,5.2,0,6,5,59,1,1,0,26.3,26.3
64,Peyton Barber,LV,RB,3,MIA,23,111,4.8,1,5,3,31,0,1,0,26.2,26.2
64,Leonard Fournette,TB,RB,14,BUF,19,113,5.9,1,7,4,19,0,0,0,26.2,26.2
66,Melvin Gordon III,DEN,RB,14,DET,24,111,4.6,2,0,0,0,0,0,0,26.1,26.1
66,Alexander Mattison,MIN,RB,3,SEA,26,112,4.3,0,8,6,59,0,0,0,26.1,26.1
66,Christian McCaffrey,CAR,RB,10,ARI,13,95,7.3,0,10,10,66,0,0,0,26.1,26.1
69,Devin Singletary,BUF,RB,17,ATL,23,110,4.8,2,1,0,0,0,0,0,26,26
69,Jonathan Taylor,IND,RB,15,NE,29,170,5.9,1,0,0,0,0,0,0,26,26
69,Tony Pollard,DAL,RB,2,LAC,13,109,8.4,1,3,3,31,0,0,0,26,26
72,Kareem Hunt,CLE,RB,5,LAC,12,61,5.1,2,6,5,28,0,0,0,25.9,25.9
73,Rhamondre Stevenson,NE,RB,17,JAX,19,107,5.6,2,0,0,0,0,0,0,25.7,25.7
73,Darrel Williams,KC,RB,17,CIN,14,88,6.3,2,3,3,19,0,0,0,25.7,25.7
75,David Montgomery,CHI,RB,4,DET,23,106,4.6,2,0,0,0,0,0,0,25.6,25.6
75,D'Andre Swift,DET,RB,11,CLE,14,136,9.7,1,4,3,0,0,0,0,25.6,25.6
77,Najee Harris,PIT,RB,14,MIN,20,94,4.7,1,3,3,10,1,0,0,25.4,25.4
77,Nick Chubb,CLE,RB,11,DET,22,130,5.9,0,2,2,14,1,0,0,25.4,25.4
77,Josh Jacobs,LV,RB,18,LAC,26,132,5.1,1,2,2,12,0,0,0,25.4,25.4
77,James Robinson,JAX,RB,3,ARI,15,88,5.9,1,6,6,46,0,1,0,25.4,25.4
81,Dalvin Cook,MIN,RB,6,CAR,29,140,4.8,1,2,2,3,0,1,0,25.3,25.3
82,Devin Singletary,BUF,RB,18,NYJ,19,88,4.6,1,2,2,24,1,0,0,25.2,25.2
82,Najee Harris,PIT,RB,5,DEN,23,122,5.3,1,5,2,20,0,0,0,25.2,25.2
84,Joe Mixon,CIN,RB,8,NYJ,14,33,2.4,1,5,4,58,1,0,0,25.1,25.1
84,Antonio Gibson,WAS,RB,18,NYG,21,146,7,1,3,1,5,0,0,0,25.1,25.1
86,Jamaal Williams,DET,RB,1,SF,9,54,6,1,9,8,56,0,0,0,25,25
87,Sony Michel,LAR,RB,13,JAX,24,121,5,1,4,3,8,0,0,0,24.9,24.9
87,Christian McCaffrey,CAR,RB,11,WAS,10,59,5.9,0,8,7,60,1,0,0,24.9,24.9
89,Darrell Henderson Jr.,LAR,RB,6,NYG,21,78,3.7,1,3,2,29,1,0,0,24.7,24.7
89,James Robinson,JAX,RB,5,TEN,18,149,8.3,1,1,1,-2,0,0,0,24.7,24.7
89,Christian McCaffrey,CAR,RB,2,NO,24,72,3,1,6,5,65,0,0,0,24.7,24.7
89,Najee Harris,PIT,RB,6,SEA,24,81,3.4,0,7,6,46,1,0,0,24.7,24.7
93,Boston Scott,PHI,RB,17,WAS,14,47,3.4,2,4,4,39,0,0,0,24.6,24.6
94,Austin Ekeler,LAC,RB,8,NE,11,64,5.8,1,10,6,60,0,0,0,24.4,24.4
94,D'Andre Swift,DET,RB,1,SF,11,39,3.5,0,11,8,65,1,0,0,24.4,24.4
96,Latavius Murray,BAL,RB,18,PIT,16,150,9.4,1,0,0,0,0,0,0,24,24
96,Elijah Mitchell,SF,RB,17,HOU,21,119,5.7,0,2,2,11,1,0,0,24,24
96,Aaron Jones,GB,RB,8,ARI,15,59,3.9,1,11,7,51,0,0,0,24,24
96,Josh Jacobs,LV,RB,13,WAS,13,52,4,1,9,9,38,0,0,0,24,24
100,Darrel Williams,KC,RB,6,WAS,21,62,3,2,4,3,27,0,0,0,23.9,23.9
100,Cordarrelle Patterson,ATL,RB,2,TB,7,11,1.6,1,7,5,58,1,1,0,23.9,23.9
102,Melvin Gordon III,DEN,RB,1,NYG,11,101,9.2,1,3,3,17,0,0,0,23.8,23.8
103,D'Andre Swift,DET,RB,3,BAL,14,47,3.4,1,7,7,60,0,0,0,23.7,23.7
104,David Montgomery,CHI,RB,16,SEA,21,45,2.1,1,9,7,61,0,0,0,23.6,23.6
105,Sony Michel,LAR,RB,16,MIN,27,131,4.9,1,4,1,4,0,0,0,23.5,23.5
106,Jonathan Taylor,IND,RB,4,MIA,16,103,6.4,1,3,3,11,0,0,0,23.4,23.4
107,Ezekiel Elliott,DAL,RB,4,CAR,20,143,7.2,1,1,0,0,0,0,0,23.3,23.3
107,D'Ernest Johnson,CLE,RB,18,CIN,25,123,4.9,1,1,1,10,0,0,0,23.3,23.3
109,Nick Chubb,CLE,RB,1,KC,15,83,5.5,2,2,2,18,0,1,1,23.1,23.1
110,Jeff Wilson Jr.,SF,RB,15,ATL,21,110,5.2,1,2,2,9,0,0,0,22.9,22.9
111,Elijah Mitchell,SF,RB,8,CHI,18,137,7.6,1,0,0,0,0,0,0,22.7,22.7
111,Austin Ekeler,LAC,RB,3,KC,11,55,5,0,6,6,52,1,0,0,22.7,22.7
111,D'Ernest Johnson,CLE,RB,10,NE,19,99,5.2,0,8,7,58,0,1,0,22.7,22.7
114,J.D. McKissic,WAS,RB,12,SEA,7,30,4.3,1,5,5,26,1,0,0,22.6,22.6
