Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
40,Christian McCaffrey,SF,RB,15,SEA,26,108,4.2,1,8,6,30,0,0,0,28.8,28.8
41,Christian McCaffrey,SF,RB,13,MIA,17,66,3.9,0,10,8,80,1,0,0,28.6,28.6
41,Aaron Jones,GB,RB,7,WAS,8,23,2.9,0,10,9,53,2,0,0,28.6,28.6
43,Nick Chubb,CLE,RB,5,LAC,17,134,7.9,2,1,0,0,0,0,0,28.4,28.4
43,Nick Chubb,CLE,RB,8,CIN,23,101,4.4,2,1,1,3,0,0,0,28.4,28.4
45,Travis Etienne Jr.,JAX,RB,8,DEN,24,156,6.5,1,3,3,6,0,0,0,28.2,28.2
46,Dalvin Cook,MIN,RB,8,ARI,20,111,5.6,1,6,5,30,0,0,0,28.1,28.1
46,Deon Jackson,IND,RB,6,JAX,12,42,3.5,1,10,10,79,0,0,0,28.1,28.1
48,Dalvin Cook,MIN,RB,15,IND,17,95,5.6,0,4,4,95,1,1,1,28,28
49,Rhamondre Stevenson,NE,RB,15,LV,19,172,9.1,1,3,2,-4,0,0,0,27.8,27.8
50,D'Andre Swift,DET,RB,17,CHI,11,78,7.1,1,4,4,39,1,0,0,27.7,27.7
51,Najee Harris,PIT,RB,11,CIN,20,90,4.5,2,6,4,26,0,0,0,27.6,27.6
52,Alvin Kamara,NO,RB,5,SEA,23,103,4.5,0,6,6,91,0,1,1,27.4,27.4
53,Jonathan Taylor,IND,RB,10,LV,22,147,6.7,1,2,2,16,0,0,0,27.3,27.3
53,Saquon Barkley,NYG,RB,16,MIN,14,84,6,1,10,8,49,0,0,0,27.3,27.3
55,Jamaal Williams,DET,RB,4,SEA,19,108,5.7,2,3,1,1,0,0,0,26.9,26.9
56,Derrick Henry,TEN,RB,4,IND,22,114,5.2,1,5,3,33,0,0,0,26.7,26.7
57,Aaron Jones,GB,RB,10,DAL,24,138,5.8,1,2,2,18,0,1,0,26.6,26.6
57,Dalvin Cook,MIN,RB,10,BUF,14,119,8.5,1,5,3,27,0,0,0,26.6,26.6
59,Derrick Henry,TEN,RB,9,KC,17,115,6.8,2,0,0,0,0,0,0,26.5,26.5
60,Dalvin Cook,MIN,RB,5,CHI,18,94,5.2,2,2,2,27,0,0,0,26.1,26.1
61,Saquon Barkley,NYG,RB,10,HOU,35,152,4.3,1,1,1,8,0,0,0,26,26
61,Travis Etienne Jr.,JAX,RB,17,HOU,9,108,12,1,3,3,32,0,0,0,26,26
63,Christian McCaffrey,CAR,RB,4,ARI,8,27,3.4,0,9,9,81,1,0,0,25.8,25.8
64,Jamaal Williams,DET,RB,17,CHI,22,144,6.5,1,1,1,13,0,0,0,25.7,25.7
65,Tyler Allgeier,ATL,RB,15,NO,17,139,8.2,1,1,1,-3,0,0,0,25.6,25.6
65,Cordarrelle Patterson,ATL,RB,1,NO,22,120,5.5,1,5,3,16,0,0,0,25.6,25.6
67,D'Onta Foreman,CAR,RB,16,DET,21,165,7.9,1,0,0,0,0,0,0,25.5,25.5
67,Derrick Henry,TEN,RB,14,JAX,17,121,7.1,1,5,3,34,0,2,2,25.5,25.5
69,Derrick Henry,TEN,RB,11,GB,28,87,3.1,1,2,2,45,0,0,0,25.4,25.36
70,Cordarrelle Patterson,ATL,RB,3,SEA,17,141,8.3,1,1,1,12,0,0,0,25.3,25.3
70,Derrick Henry,TEN,RB,3,LV,20,85,4.2,1,6,5,58,0,0,0,25.3,25.3
70,Jeff Wilson Jr.,MIA,RB,10,CLE,17,119,7,1,5,2,24,0,0,0,25.3,25.3
73,Leonard Fournette,TB,RB,16,ARI,20,72,3.6,0,10,9,90,0,0,0,25.2,25.2
74,Rhamondre Stevenson,NE,RB,6,CLE,19,76,4,2,5,4,15,0,0,0,25.1,25.1
74,Austin Ekeler,LAC,RB,9,ATL,14,47,3.4,1,8,7,24,1,1,1,25.1,25.1
76,Josh Jacobs,LV,RB,13,LAC,26,144,5.5,1,2,2,6,0,1,1,25,25
76,James Conner,ARI,RB,16,TB,15,79,5.3,1,8,7,41,0,0,0,25,25
76,James Conner,ARI,RB,12,LAC,25,120,4.8,0,3,3,20,1,1,1,25,25
76,Austin Ekeler,LAC,RB,12,ARI,5,20,4,0,15,11,60,1,0,0,25,25
80,Kenyan Drake,BAL,RB,9,NO,24,93,3.9,2,2,2,16,0,0,0,24.9,24.9
81,Tony Pollard,DAL,RB,10,GB,22,115,5.2,1,6,3,13,0,0,0,24.8,24.8
82,Jamaal Williams,DET,RB,3,MIN,20,87,4.4,2,2,2,20,0,0,0,24.7,24.7
83,Tony Pollard,DAL,RB,13,IND,12,91,7.6,2,3,2,15,0,0,0,24.6,24.6
84,Samaje Perine,CIN,RB,13,KC,21,106,5,0,7,6,49,0,0,0,24.5,24.5
85,Jamaal Williams,DET,RB,11,NYG,17,64,3.8,3,0,0,0,0,0,0,24.4,24.4
85,Austin Ekeler,LAC,RB,14,MIA,15,45,3,1,8,8,59,0,0,0,24.4,24.4
87,Austin Ekeler,LAC,RB,6,DEN,14,36,2.6,1,16,10,47,0,0,0,24.3,24.3
88,Latavius Murray,DEN,RB,15,ARI,24,130,5.4,1,1,1,12,0,0,0,24.2,24.2
89,David Montgomery,CHI,RB,15,PHI,12,53,4.4,1,3,3,38,1,0,0,24.1,24.1
89,Zack Moss,IND,RB,18,HOU,18,114,6.3,1,3,3,7,0,0,0,24.1,24.1
89,Devin Singletary,BUF,RB,3,MIA,9,13,1.4,0,11,9,78,1,0,0,24.1,24.1
92,Austin Ekeler,LAC,RB,16,IND,18,67,3.7,2,4,4,12,0,0,0,23.9,23.9
93,Rhamondre Stevenson,NE,RB,7,CHI,11,39,3.5,1,8,8,59,0,0,0,23.8,23.8
94,Nick Chubb,CLE,RB,4,ATL,19,118,6.2,1,3,2,9,0,0,0,23.7,23.7
95,James Conner,ARI,RB,10,LAR,21,69,3.3,2,3,3,17,0,0,0,23.6,23.6
95,James Robinson,JAX,RB,3,LAC,17,100,5.9,1,3,3,16,0,0,0,23.6,23.6
97,Devin Singletary,BUF,RB,16,CHI,12,106,8.8,1,3,2,19,0,0,0,23.5,23.5
97,Brian Robinson Jr.,WAS,RB,12,ATL,18,105,5.8,0,3,2,20,1,0,0,23.5,23.5
99,James Conner,ARI,RB,14,NE,15,85,5.7,1,7,6,29,0,0,0,23.4,23.4
99,Christian McCaffrey,CAR,RB,5,SF,14,54,3.9,1,12,7,50,0,0,0,23.4,23.4
101,Eno Benjamin,ARI,RB,7,NO,12,92,7.7,1,5,4,21,0,0,0,23.3,23.3
101,Najee Harris,PIT,RB,17,BAL,22,111,5,0,3,2,12,1,0,0,23.3,23.3
103,Nick Chubb,CLE,RB,12,TB,26,116,4.5,1,1,1,16,0,0,0,23.2,23.2
103,Jeff Wilson Jr.,SF,RB,5,CAR,17,120,7.1,1,2,1,12,0,0,0,23.2,23.2
103,Nick Chubb,CLE,RB,18,PIT,12,77,6.4,0,6,5,45,1,0,0,23.2,23.2
106,Breece Hall,NYJ,RB,6,GB,20,116,5.8,1,2,2,5,0,0,0,23.1,23.1
106,Raheem Mostert,MIA,RB,17,NE,9,29,3.2,0,8,8,62,1,0,0,23.1,23.1
108,Kareem Hunt,CLE,RB,1,CAR,11,46,4.2,1,4,4,24,1,0,0,23,23
108,Saquon Barkley,NYG,RB,15,WAS,18,87,4.8,1,8,5,33,0,0,0,23,23
110,Travis Etienne Jr.,JAX,RB,7,NYG,14,114,8.1,1,5,1,5,0,1,1,22.9,22.9
111,Christian McCaffrey,CAR,RB,6,LAR,13,69,5.3,0,8,7,89,0,0,0,22.8,22.8
112,Kenyan Drake,BAL,RB,6,NYG,10,119,11.9,1,2,1,8,0,0,0,22.7,22.7
112,Aaron Jones,GB,RB,8,BUF,20,143,7.2,0,5,4,14,0,0,0,22.7,22.7
114,Jamaal Williams,DET,RB,8,MIA,10,53,5.3,2,3,3,23,0,0,0,22.6,22.6
114,Saquon Barkley,NYG,RB,3,DAL,14,81,5.8,1,4,4,45,0,0,0,22.6,22.6
114,Jerick McKinnon,KC,RB,17,DEN,2,4,2,0,6,5,52,2,0,0,22.6,22.6
114,Derrick Henry,TEN,RB,16,HOU,23,126,5.5,1,2,2,0,0,1,1,22.6,22.6
114,Josh Jacobs,LV,RB,10,IND,21,78,3.7,1,8,6,28,0,0,0,22.6,22.6
119,Rhamondre Stevenson,NE,RB,5,DET,25,161,6.4,0,2,2,14,0,0,0,22.5,22.5
120,Clyde Edwards-Helaire,KC,RB,4,TB,19,92,4.8,1,2,1,2,1,0,0,22.4,22.4
120,Clyde Edwards-Helaire,KC,RB,1,ARI,7,42,6,0,3,3,32,2,0,0,22.4,22.4
122,J.K. Dobbins,BAL,RB,4,BUF,13,41,3.2,1,4,4,22,1,0,0,22.3,22.3
123,Raheem Mostert,MIA,RB,5,NYJ,18,113,6.3,1,3,1,9,0,0,0,22.2,22.2
123,Tony Pollard,DAL,RB,14,HOU,10,42,4.2,1,5,4,20,1,0,0,22.2,22.2
125,AJ Dillon,GB,RB,15,LAR,11,36,3.3,2,3,3,35,0,0,0,22.1,22.1
125,Leonard Fournette,TB,RB,6,PIT,21,63,3,0,6,6,38,1,0,0,22.1,22.1
127,D'Onta Foreman,CAR,RB,10,ATL,31,130,4.2,1,1,0,0,0,0,0,22,22
127,Josh Jacobs,LV,RB,11,DEN,24,109,4.5,0,4,3,51,0,0,0,22,22
129,Dontrell Hilliard,TEN,RB,1,NYG,2,8,4,0,4,3,61,2,0,0,21.9,21.9
130,Latavius Murray,DEN,RB,18,LAC,15,103,6.9,1,1,1,15,0,1,0,21.8,21.8
131,Tevin Coleman,SF,RB,5,CAR,8,23,2.9,1,3,3,44,1,0,0,21.7,21.7
132,Aaron Jones,GB,RB,15,LAR,17,90,5.3,0,5,4,36,1,1,1,21.6,21.6
133,Joe Mixon,CIN,RB,1,PIT,27,82,3,0,9,7,63,0,0,0,21.5,21.5
134,Rhamondre Stevenson,NE,RB,8,NYJ,16,71,4.4,0,7,7,72,0,0,0,21.3,21.3
135,Saquon Barkley,NYG,RB,4,CHI,31,146,4.7,0,2,2,16,0,0,0,21.2,21.2
136,David Montgomery,CHI,RB,11,ATL,17,67,3.9,1,4,3,54,0,0,0,21.1,21.1
136,D'Andre Swift,DET,RB,13,JAX,14,62,4.4,1,6,4,49,0,0,0,21.1,21.1
138,J.K. Dobbins,BAL,RB,14,PIT,15,120,8,1,0,0,0,0,0,0,21,21
139,AJ Dillon,GB,RB,13,CHI,18,93,5.2,1,3,3,26,0,0,0,20.9,20.9
139,Raheem Mostert,MIA,RB,7,PIT,16,79,4.9,0,5,4,30,1,1,0,20.9,20.9
141,Javonte Williams,DEN,RB,1,SEA,7,43,6.1,0,12,11,65,0,1,1,20.8,20.8
142,Antonio Gibson,WAS,RB,8,IND,7,19,2.7,0,7,7,58,1,0,0,20.7,20.7
143,JaMycal Hasty,JAX,RB,12,BAL,12,28,2.3,0,5,5,67,1,0,0,20.5,20.5
143,Saquon Barkley,NYG,RB,7,JAX,24,110,4.6,0,4,4,25,0,0,0,20.5,20.5
145,Cordarrelle Patterson,ATL,RB,17,ARI,9,42,4.7,1,8,6,42,0,0,0,20.4,20.4
146,Dameon Pierce,HOU,RB,5,JAX,26,99,3.8,1,5,3,14,0,0,0,20.3,20.3
146,Nick Chubb,CLE,RB,3,PIT,23,113,4.9,1,1,0,0,0,0,0,20.3,20.3
148,Rhamondre Stevenson,NE,RB,12,MIN,7,36,5.1,0,10,9,76,0,0,0,20.2,20.2
149,Rhamondre Stevenson,NE,RB,3,BAL,12,73,6.1,1,5,4,28,0,0,0,20.1,20.1
149,AJ Dillon,GB,RB,1,MIN,10,45,4.5,1,6,5,46,0,0,0,20.1,20.1
151,Antonio Gibson,WAS,RB,1,JAX,14,58,4.1,0,8,7,72,0,0,0,20,20
152,James Robinson,JAX,RB,1,WAS,11,66,6,1,2,1,3,1,0,0,19.9,19.9
152,Rachaad White,TB,RB,12,CLE,14,64,4.6,0,9,9,45,0,0,0,19.9,19.9
154,Tony Pollard,DAL,RB,2,CIN,9,43,4.8,1,7,4,55,0,0,0,19.8,19.8
154,Derrick Henry,TEN,RB,7,IND,30,128,4.3,0,3,3,10,0,0,0,19.8,19.8
154,Christian McCaffrey,CAR,RB,2,NYG,15,102,6.8,0,5,4,26,0,0,0,19.8,19.8
157,Saquon Barkley,NYG,RB,5,GB,13,70,5.4,1,6,3,36,0,0,0,19.6,19.6
157,Raheem Mostert,MIA,RB,15,BUF,17,136,8,0,2,1,20,0,0,0,19.6,19.6
159,Josh Jacobs,LV,RB,17,SF,17,69,4.1,1,5,4,26,0,0,0,19.5,19.5
159,D'Onta Foreman,CAR,RB,7,TB,15,118,7.9,0,2,2,27,0,0,0,19.5,19.5
161,Josh Jacobs,LV,RB,14,LAR,27,99,3.7,1,2,2,15,0,0,0,19.4,19.4
162,Samaje Perine,CIN,RB,12,TEN,17,58,3.4,1,7,4,35,0,0,0,19.3,19.3
163,Jamaal Williams,DET,RB,18,GB,16,72,4.5,2,0,0,0,0,0,0,19.2,19.2
164,Saquon Barkley,NYG,RB,13,WAS,18,63,3.5,1,5,5,18,0,0,0,19.1,19.1
165,Alexander Mattison,MIN,RB,18,CHI,10,54,5.4,2,1,1,6,0,0,0,19,19
165,Cam Akers,LAR,RB,13,SEA,17,60,3.5,2,1,1,0,0,0,0,19,19
165,Alvin Kamara,NO,RB,16,CLE,20,76,3.8,1,4,2,34,0,0,0,19,19
165,Kenneth Walker III,SEA,RB,6,ARI,21,97,4.6,1,3,2,13,0,0,0,19,19
169,Aaron Jones,GB,RB,12,PHI,12,43,3.6,0,4,3,56,1,0,0,18.9,18.9
169,Chuba Hubbard,CAR,RB,14,SEA,14,74,5.3,1,3,3,25,0,0,0,18.9,18.9
171,Jonathan Taylor,IND,RB,12,PIT,20,86,4.3,1,4,3,12,0,0,0,18.8,18.8
171,Cam Akers,LAR,RB,18,SEA,21,104,5,0,3,3,24,0,0,0,18.8,18.8
173,Nick Chubb,CLE,RB,7,BAL,16,91,5.7,1,3,2,16,0,0,0,18.7,18.7
173,Raheem Mostert,MIA,RB,10,CLE,8,65,8.1,1,4,4,22,0,0,0,18.7,18.7
173,Leonard Fournette,TB,RB,1,DAL,21,127,6,0,2,2,10,0,0,0,18.7,18.7
176,Gus Edwards,BAL,RB,7,CLE,16,66,4.1,2,1,0,0,0,0,0,18.6,18.6
176,David Montgomery,CHI,RB,2,GB,15,122,8.1,0,2,2,14,0,0,0,18.6,18.6
178,Miles Sanders,PHI,RB,1,DET,13,96,7.4,1,2,2,9,0,0,0,18.5,18.5
178,Saquon Barkley,NYG,RB,6,BAL,22,83,3.8,1,3,3,12,0,0,0,18.5,18.5
180,Alvin Kamara,NO,RB,6,CIN,19,99,5.2,0,9,6,25,0,0,0,18.4,18.4
180,Leonard Fournette,TB,RB,4,KC,3,-3,-1,0,7,7,57,1,0,0,18.4,18.4
180,Austin Ekeler,LAC,RB,2,KC,14,39,2.8,0,10,9,55,0,0,0,18.4,18.4
183,Cordarrelle Patterson,ATL,RB,9,LAC,13,44,3.4,2,1,1,9,0,0,0,18.3,18.3
183,Nick Chubb,CLE,RB,1,CAR,22,141,6.4,0,1,1,2,0,0,0,18.3,18.3
185,David Montgomery,CHI,RB,5,MIN,12,20,1.7,1,4,4,62,0,0,0,18.2,18.2
185,Kenneth Walker III,SEA,RB,17,NYJ,23,133,5.8,0,1,1,9,0,0,0,18.2,18.2
187,Dameon Pierce,HOU,RB,3,CHI,20,80,4,1,2,2,21,0,2,0,18.1,18.1
187,Joe Mixon,CIN,RB,7,ATL,17,58,3.4,1,3,3,33,0,0,0,18.1,18.1
187,James Conner,ARI,RB,15,DEN,16,63,3.9,1,5,3,28,0,0,0,18.1,18.1
187,Ezekiel Elliott,DAL,RB,13,IND,17,77,4.5,1,3,3,14,0,0,0,18.1,18.1
191,Austin Ekeler,LAC,RB,11,KC,19,83,4.4,1,2,2,17,0,0,0,18,18
192,Rachaad White,TB,RB,13,NO,9,28,3.1,0,8,6,41,1,1,1,17.9,17.9
193,James Cook,BUF,RB,16,CHI,11,99,9,1,2,1,9,0,0,0,17.8,17.8
193,AJ Dillon,GB,RB,12,PHI,8,64,8,1,4,3,24,0,0,0,17.8,17.8
193,Joe Mixon,CIN,RB,18,BAL,11,27,2.5,1,5,5,41,0,0,0,17.8,17.8
193,Joe Mixon,CIN,RB,16,NE,16,65,4.1,0,9,7,43,0,0,0,17.8,17.8
197,Ezekiel Elliott,DAL,RB,7,DET,15,57,3.8,2,0,0,0,0,0,0,17.7,17.7
197,Ezekiel Elliott,DAL,RB,11,MIN,15,42,2.8,2,1,1,5,0,0,0,17.7,17.7
197,Devin Singletary,BUF,RB,11,CLE,18,86,4.8,1,2,2,11,0,0,0,17.7,17.7
197,Christian McCaffrey,SF,RB,10,LAC,14,38,2.7,1,6,4,39,0,0,0,17.7,17.7
201,JaMycal Hasty,JAX,RB,17,HOU,10,33,3.3,1,6,6,23,0,0,0,17.6,17.6
201,Christian McCaffrey,SF,RB,11,ARI,7,39,5.6,0,7,7,67,0,0,0,17.6,17.6
203,Elijah Mitchell,SF,RB,18,ARI,5,55,11,2,0,0,0,0,0,0,17.5,17.5
203,Tyler Allgeier,ATL,RB,8,CAR,14,39,2.8,0,3,3,46,1,0,0,17.5,17.5
203,Aaron Jones,GB,RB,4,NE,16,110,6.9,0,4,3,5,0,0,0,17.5,17.5
203,Alvin Kamara,NO,RB,7,ARI,11,49,4.5,0,9,7,56,0,0,0,17.5,17.5
207,Jonathan Taylor,IND,RB,11,PHI,22,84,3.8,1,4,3,10,0,1,1,17.4,17.4
207,Joe Mixon,CIN,RB,4,MIA,24,61,2.5,1,4,4,13,0,0,0,17.4,17.4
209,Michael Carter,NYJ,RB,5,MIA,10,21,2.1,2,2,2,12,0,0,0,17.3,17.3
209,Cam Akers,LAR,RB,17,LAC,19,123,6.5,0,2,1,10,0,0,0,17.3,17.3
211,Latavius Murray,DEN,RB,11,LV,17,49,2.9,1,4,4,23,0,0,0,17.2,17.2
212,Ezekiel Elliott,DAL,RB,14,HOU,15,62,4.1,1,5,3,19,0,0,0,17.1,17.1
213,Pierre Strong Jr.,NE,RB,14,ARI,5,70,14,1,2,2,20,0,0,0,17,17
213,Deon Jackson,IND,RB,18,HOU,8,35,4.4,0,8,6,75,0,0,0,17,17
213,Michael Carter,NYJ,RB,1,BAL,10,60,6,0,9,7,40,0,0,0,17,17
216,Kenneth Walker III,SEA,RB,12,LV,14,26,1.9,2,1,1,13,0,0,0,16.9,16.9
216,Dameon Pierce,HOU,RB,9,PHI,27,139,5.1,0,0,0,0,0,0,0,16.9,16.9
216,Christian McCaffrey,SF,RB,18,ARI,10,45,4.5,0,3,3,34,1,0,0,16.9,16.9
219,J.K. Dobbins,BAL,RB,15,CLE,13,125,9.6,0,1,1,3,0,0,0,16.8,16.8
219,Derrick Henry,TEN,RB,18,JAX,30,109,3.6,0,1,1,19,0,0,0,16.8,16.8
219,Joe Mixon,CIN,RB,6,NO,8,45,5.6,0,6,4,23,1,0,0,16.8,16.8
219,Zonovan Knight,NYJ,RB,13,MIN,15,90,6,0,5,5,28,0,0,0,16.8,16.8
223,Damien Harris,NE,RB,2,PIT,15,71,4.7,1,2,2,16,0,0,0,16.7,16.7
223,D'Andre Swift,DET,RB,2,WAS,5,56,11.2,0,5,2,31,1,0,0,16.7,16.7
223,Devin Singletary,BUF,RB,10,MIN,13,47,3.6,2,2,1,0,0,1,1,16.7,16.7
223,Antonio Gibson,WAS,RB,7,GB,10,59,5.9,0,4,3,18,1,0,0,16.7,16.7
223,Kenyan Drake,BAL,RB,8,TB,7,62,8.9,0,4,4,5,1,0,0,16.7,16.7
223,David Montgomery,CHI,RB,13,GB,14,61,4.4,1,5,4,6,0,0,0,16.7,16.7
223,Travis Etienne Jr.,JAX,RB,15,DAL,19,103,5.4,0,3,2,24,0,1,1,16.7,16.7
230,Ezekiel Elliott,DAL,RB,12,NYG,16,92,5.8,1,1,1,3,0,0,0,16.5,16.5
230,Tyler Allgeier,ATL,RB,17,ARI,20,83,4.2,1,1,1,12,0,0,0,16.5,16.5
230,Tyler Allgeier,ATL,RB,18,TB,24,135,5.6,0,0,0,0,0,0,0,16.5,16.5
230,James Conner,ARI,RB,1,KC,10,26,2.6,1,6,5,29,0,1,0,16.5,16.5
230,Christian McCaffrey,CAR,RB,3,NO,25,108,4.3,0,4,2,7,0,0,0,16.5,16.5
230,Melvin Gordon III,DEN,RB,3,SF,12,26,2.2,1,6,5,29,0,2,0,16.5,16.5
230,James Cook,BUF,RB,13,NE,14,64,4.6,0,6,6,41,0,0,0,16.5,16.5
237,Kenneth Walker III,SEA,RB,18,LAR,29,114,3.9,0,1,1,10,0,0,0,16.4,16.4
238,Dalvin Cook,MIN,RB,13,NYJ,20,86,4.3,1,3,2,-3,0,0,0,16.3,16.3
238,Marlon Mack,DEN,RB,15,ARI,5,37,7.4,1,4,4,26,0,0,0,16.3,16.3
238,Aaron Jones,GB,RB,17,MIN,14,111,7.9,0,3,2,2,0,0,0,16.3,16.3
241,Joshua Kelley,LAC,RB,5,CLE,10,49,4.9,1,2,2,33,0,0,0,16.2,16.2
241,Isiah Pacheco,KC,RB,13,CIN,14,66,4.7,1,2,2,16,0,0,0,16.2,16.2
241,Jeff Wilson Jr.,MIA,RB,9,CHI,9,51,5.7,0,3,3,21,1,0,0,16.2,16.2
244,Nick Chubb,CLE,RB,10,MIA,11,63,5.7,1,4,3,18,0,1,1,16.1,16.1
245,Jamaal Williams,DET,RB,1,PHI,11,28,2.5,2,2,1,2,0,0,0,16,16
245,Rhamondre Stevenson,NE,RB,9,IND,15,60,4,0,7,3,10,1,0,0,16,16
247,Khalil Herbert,CHI,RB,8,DAL,16,99,6.2,1,0,0,0,0,0,0,15.9,15.9
247,Kenyan Drake,BAL,RB,18,CIN,16,60,3.8,1,5,2,19,0,0,0,15.9,15.9
249,James Robinson,JAX,RB,2,IND,23,64,2.8,1,2,2,14,0,0,0,15.8,15.8
249,Breece Hall,NYJ,RB,4,PIT,17,66,3.9,1,6,2,12,0,0,0,15.8,15.8
249,Clyde Edwards-Helaire,KC,RB,2,LAC,8,74,9.2,0,4,4,44,0,0,0,15.8,15.8
252,Khalil Herbert,CHI,RB,7,NE,12,62,5.2,0,2,1,25,1,0,0,15.7,15.7
252,Chase Edmonds,MIA,RB,3,BUF,6,21,3.5,2,1,1,6,0,0,0,15.7,15.7
252,Zonovan Knight,NYJ,RB,14,BUF,17,71,4.2,1,2,2,6,0,0,0,15.7,15.7
252,Marlon Mack,DEN,RB,14,KC,3,15,5,0,3,2,62,1,0,0,15.7,15.7
252,Christian McCaffrey,CAR,RB,1,CLE,10,33,3.3,1,5,4,24,0,0,0,15.7,15.7
252,Tyler Allgeier,ATL,RB,16,BAL,18,74,4.1,0,5,4,43,0,0,0,15.7,15.7
252,Dameon Pierce,HOU,RB,7,LV,20,92,4.6,0,4,4,25,0,0,0,15.7,15.7
259,Michael Carter,NYJ,RB,9,BUF,12,76,6.3,1,1,1,10,0,0,0,15.6,15.6
