Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Joe Mixon,CIN,RB,9,CAR,22,153,7,4,5,4,58,1,0,0,58.1,58.1
2,Josh Jacobs,LV,RB,12,SEA,33,229,6.9,2,7,6,74,0,0,0,51.3,51.3
3,Alvin Kamara,NO,RB,8,LV,18,62,3.4,1,10,9,96,2,0,0,42.8,42.8
4,Christian McCaffrey,SF,RB,8,LAR,18,94,5.2,1,9,8,55,1,1,0,40.3,40.26
5,Tony Pollard,DAL,RB,11,MIN,15,80,5.3,0,6,6,109,2,0,0,39.9,39.9
6,Josh Jacobs,LV,RB,7,HOU,20,143,7.2,3,4,3,12,0,0,0,39.5,39.5
7,Austin Ekeler,LAC,RB,5,CLE,16,173,10.8,1,4,4,26,1,0,0,38.9,38.9
8,Derrick Henry,TEN,RB,8,HOU,32,219,6.8,2,1,1,9,0,0,0,38.8,38.8
9,Cam Akers,LAR,RB,16,DEN,23,118,5.1,3,2,2,29,0,0,0,37.7,37.7
10,Josh Jacobs,LV,RB,4,DEN,28,144,5.1,2,6,5,31,0,0,0,37.5,37.5
11,Tony Pollard,DAL,RB,8,CHI,14,131,9.4,3,1,1,16,0,0,0,36.7,36.7
11,Austin Ekeler,LAC,RB,7,SEA,9,31,3.4,1,12,12,96,1,1,0,36.7,36.7
13,Saquon Barkley,NYG,RB,1,TEN,18,164,9.1,1,7,6,30,0,1,0,36.4,36.4
14,Leonard Fournette,TB,RB,5,ATL,14,56,4,1,11,10,83,1,0,0,35.9,35.9
15,Jerick McKinnon,KC,RB,14,DEN,6,22,3.7,0,9,7,112,2,0,0,35.4,35.4
16,Austin Ekeler,LAC,RB,17,LAR,10,122,12.2,2,4,4,39,0,0,0,35.1,35.1
17,Aaron Jones,GB,RB,2,CHI,15,132,8.8,1,3,3,38,1,0,0,35,35
18,Austin Ekeler,LAC,RB,4,HOU,13,60,4.6,2,7,6,49,1,1,0,34.9,34.9
19,D'Onta Foreman,CAR,RB,8,ATL,26,118,4.5,3,1,0,0,0,0,0,34.8,34.8
20,Christian McCaffrey,SF,RB,17,LV,19,121,6.4,1,9,6,72,0,0,0,34.3,34.3
21,Jerick McKinnon,KC,RB,15,HOU,10,52,5.2,1,8,8,70,1,0,0,34.2,34.2
22,Miles Sanders,PHI,RB,12,GB,21,143,6.8,2,3,3,17,0,0,0,34,34
23,Khalil Herbert,CHI,RB,3,HOU,20,157,7.8,2,2,2,12,0,0,0,33.9,33.9
24,Josh Jacobs,LV,RB,5,KC,21,154,7.3,1,5,5,39,0,0,0,33.3,33.3
25,Miles Sanders,PHI,RB,4,JAX,27,134,5,2,3,2,22,0,0,0,32.6,32.6
26,Nick Chubb,CLE,RB,2,NYJ,17,87,5.1,3,3,3,26,0,0,0,32.3,32.3
26,Christian McCaffrey,SF,RB,14,TB,14,119,8.5,1,3,2,34,1,0,0,32.3,32.3
28,Kenneth Walker III,SEA,RB,7,LAC,23,167,7.3,2,0,0,0,0,0,0,31.7,31.7
28,Rashaad Penny,SEA,RB,4,DET,17,151,8.9,2,1,1,6,0,0,0,31.7,31.7
30,Miles Sanders,PHI,RB,14,NYG,17,144,8.5,2,3,1,11,0,0,0,31.5,31.5
31,Kenneth Walker III,SEA,RB,9,ARI,26,109,4.2,2,4,3,20,0,0,0,30.9,30.9
32,Breece Hall,NYJ,RB,5,MIA,18,97,5.4,1,2,2,100,0,0,0,30.7,30.7
33,Jonathan Taylor,IND,RB,1,HOU,31,161,5.2,1,7,4,14,0,0,0,30.5,30.5
34,Samaje Perine,CIN,RB,11,PIT,11,30,2.7,0,4,4,52,3,0,0,30.2,30.2
34,Derrick Henry,TEN,RB,5,WAS,28,102,3.6,2,2,2,30,0,0,0,30.2,30.2
36,Travis Etienne Jr.,JAX,RB,9,LV,28,109,3.9,2,2,2,17,0,0,0,29.6,29.6
37,D'Andre Swift,DET,RB,1,PHI,15,144,9.6,1,3,3,31,0,0,0,29.5,29.5
38,Derrick Henry,TEN,RB,15,LAC,21,104,5,1,4,4,59,0,1,0,29.3,29.3
39,Dameon Pierce,HOU,RB,4,LAC,14,131,9.4,1,6,6,8,0,0,0,28.9,28.9
