Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
320,Noah Gray,KC,TE,9,TEN,3,3,100,45,0,27,15,15,0,0,0,0,0,0,7.5,7.5
320,Harrison Bryant,CLE,TE,2,NYJ,4,3,75,45,0,30,11.2,15,0,0,0,0,0,0,7.5,7.5
328,Durham Smythe,MIA,TE,12,HOU,1,1,100,4,1,4,4,4,0,0,0,0,0,0,7.4,7.4
328,Mo Alie-Cox,IND,TE,18,HOU,1,1,100,4,1,4,4,4,0,0,0,0,0,0,7.4,7.4
328,Foster Moreau,LV,TE,3,TEN,4,3,75,44,0,22,11,14.7,0,0,0,0,0,0,7.4,7.4
328,Tyler Conklin,NYJ,TE,16,JAX,4,4,100,34,0,27,8.5,8.5,0,0,0,0,0,0,7.4,7.4
328,Daniel Bellinger,NYG,TE,13,WAS,5,5,100,24,0,8,4.8,4.8,0,0,0,0,0,0,7.4,7.4
328,Hayden Hurst,CIN,TE,2,DAL,7,5,71.4,24,0,8,3.4,4.8,0,0,0,0,0,0,7.4,7.4
334,Eric Tomlinson,DEN,TE,18,LAC,1,1,100,3,1,3,3,3,0,0,0,0,0,0,7.3,7.3
334,Donald Parham Jr.,LAC,TE,17,LAR,1,1,100,3,1,3,3,3,0,0,0,0,0,0,7.3,7.3
334,Ian Thomas,CAR,TE,1,CLE,3,2,66.7,53,0,50,17.7,26.5,0,0,0,0,0,0,7.3,7.3
334,Kyle Pitts,ATL,TE,11,CHI,5,3,60,43,0,18,8.6,14.3,0,0,0,0,0,0,7.3,7.3
334,Peyton Hendershot,DAL,TE,3,NYG,3,3,100,43,0,29,14.3,14.3,0,0,0,0,0,0,7.3,7.3
334,Dalton Schultz,DAL,TE,16,PHI,4,3,75,43,0,21,10.8,14.3,0,0,0,0,0,0,7.3,7.3
334,Jelani Woods,IND,TE,16,LAC,5,3,60,43,0,17,8.6,14.3,0,0,0,0,0,0,7.3,7.3
334,Tyler Higbee,LAR,TE,18,SEA,7,4,57.1,33,0,17,4.7,8.2,0,0,0,0,0,0,7.3,7.3
334,Dalton Schultz,DAL,TE,18,WAS,9,4,44.4,33,0,12,3.7,8.2,0,0,0,0,0,0,7.3,7.3
334,T.J. Hockenson,MIN,TE,13,NYJ,6,4,66.7,33,0,13,5.5,8.2,0,0,0,0,0,0,7.3,7.3
344,MyCole Pruitt,ATL,TE,6,SF,1,1,100,2,1,2,2,2,0,0,0,0,0,0,7.2,7.2
344,Brock Wright,DET,TE,10,CHI,1,1,100,2,1,2,2,2,0,0,0,0,0,0,7.2,7.2
344,Marcedes Lewis,GB,TE,5,NYG,1,1,100,2,1,2,2,2,0,0,0,0,0,0,7.2,7.2
344,Teagan Quitoriano,HOU,TE,9,PHI,1,1,100,2,1,2,2,2,0,0,0,0,0,0,7.2,7.2
344,Noah Fant,SEA,TE,4,DET,1,1,100,2,1,2,2,2,0,0,0,0,0,0,7.2,7.2
344,Andrew Beck,DEN,TE,1,SEA,3,2,66.7,52,0,27,17.3,26,0,0,0,0,0,0,7.2,7.2
344,Greg Dulcich,DEN,TE,14,KC,8,3,37.5,42,0,23,5.2,14,0,0,0,0,0,0,7.2,7.2
