Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Jonathan Taylor,IND,RB,2,JAX,31,18,9900,24.28
2,Josh Jacobs,LV,RB,13,LAC,25,30,7900,24.11
3,Jonathan Taylor,IND,RB,1,HOU,29,28,9100,24.02
4,Jonathan Taylor,IND,RB,4,TEN,28,29,8800,23.38
5,Austin Ekeler,LAC,RB,9,ATL,31,20,8800,23.36
6,Christian McCaffrey,SF,RB,10,LAC,25,31,9400,23.04
7,Derrick Henry,TEN,RB,16,HOU,20,32,8600,22.97
8,Derrick Henry,TEN,RB,8,HOU,23,32,8400,22.72
9,Christian McCaffrey,SF,RB,15,SEA,25,31,8600,21.94
10,Derrick Henry,TEN,RB,11,GB,10,23,8100,21.67
11,Derrick Henry,TEN,RB,10,DEN,1,13,8300,21.65
12,Christian McCaffrey,CAR,RB,2,NYG,16,26,8900,21.59
13,Derrick Henry,TEN,RB,1,NYG,19,25,8600,21.56
14,Austin Ekeler,LAC,RB,13,LV,29,26,8500,21.42
15,Austin Ekeler,LAC,RB,7,SEA,29,26,8300,21.39
16,Christian McCaffrey,CAR,RB,1,CLE,8,14,8500,21.13
17,Saquon Barkley,NYG,RB,10,HOU,21,32,8600,21.1
18,Austin Ekeler,LAC,RB,10,SF,4,1,8400,21.08
19,Christian McCaffrey,SF,RB,16,WAS,7,7,8800,21.06
20,Austin Ekeler,LAC,RB,12,ARI,30,21,8500,21.03
21,Alvin Kamara,NO,RB,9,BAL,23,12,7200,20.61
22,Saquon Barkley,NYG,RB,11,DET,32,27,8900,20.49
23,Saquon Barkley,NYG,RB,4,CHI,11,25,8000,20.3
24,Saquon Barkley,NYG,RB,6,BAL,23,10,7700,20.21
25,Austin Ekeler,LAC,RB,1,LV,22,27,8200,20.09
26,Austin Ekeler,LAC,RB,11,KC,29,18,8500,20.06
27,Christian McCaffrey,SF,RB,18,ARI,29,28,9300,20.04
28,Christian McCaffrey,SF,RB,17,LV,25,24,9000,19.98
29,Christian McCaffrey,CAR,RB,3,NO,9,12,8800,19.91
30,Austin Ekeler,LAC,RB,15,TEN,27,3,8500,19.88
31,Saquon Barkley,NYG,RB,7,JAX,15,25,7900,19.77
32,Dalvin Cook,MIN,RB,3,DET,29,31,7900,19.65
33,Austin Ekeler,LAC,RB,14,MIA,21,13,8600,19.61
34,Austin Ekeler,LAC,RB,6,DEN,3,8,8100,19.59
35,Saquon Barkley,NYG,RB,8,SEA,29,28,8100,19.57
36,Christian McCaffrey,SF,RB,11,ARI,25,20,9000,19.47
37,Saquon Barkley,NYG,RB,5,GB,5,14,7900,19.42
38,Christian McCaffrey,CAR,RB,4,ARI,29,21,8700,19.41
39,Christian McCaffrey,CAR,RB,5,SF,1,2,8500,19.38
39,Austin Ekeler,LAC,RB,16,IND,16,27,8300,19.38
41,Derrick Henry,TEN,RB,7,IND,14,24,8200,19.32
41,Saquon Barkley,NYG,RB,2,CAR,18,29,7300,19.32
43,Christian McCaffrey,SF,RB,12,NO,17,13,8800,19.28
44,Jonathan Taylor,IND,RB,3,KC,25,20,9000,19.21
45,Saquon Barkley,NYG,RB,3,DAL,11,8,7500,19.19
46,Austin Ekeler,LAC,RB,5,CLE,16,25,7800,19.06
47,Josh Jacobs,LV,RB,14,LAR,17,9,8100,19.05
48,Christian McCaffrey,CAR,RB,6,LAR,12,2,8300,18.96
49,Christian McCaffrey,SF,RB,13,MIA,22,9,8600,18.9
50,Derrick Henry,TEN,RB,18,JAX,20,14,8000,18.73
50,Austin Ekeler,LAC,RB,2,KC,14,19,8000,18.73
