Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Cooper Kupp,LAR,WR,5,DAL,6,9,9600,26.86
2,Cooper Kupp,LAR,WR,6,CAR,18,14,9700,26.77
3,Cooper Kupp,LAR,WR,2,ATL,30,30,9900,26.59
4,Cooper Kupp,LAR,WR,3,ARI,32,9,9900,26.41
5,Justin Jefferson,MIN,WR,17,GB,12,7,9500,26.02
6,Tyreek Hill,MIA,WR,14,LAC,29,13,8800,25.95
7,Justin Jefferson,MIN,WR,16,NYG,19,11,9300,25.92
8,Justin Jefferson,MIN,WR,3,DET,29,26,9300,25.72
9,Stefon Diggs,BUF,WR,12,DET,32,28,8000,25.63
10,Tyreek Hill,MIA,WR,10,CLE,18,18,9100,25.44
11,Cooper Kupp,LAR,WR,4,SF,1,6,9900,25.33
12,Justin Jefferson,MIN,WR,14,DET,32,28,9000,25.18
13,Tyreek Hill,MIA,WR,16,GB,12,5,9100,25.04
14,Justin Jefferson,MIN,WR,9,WAS,17,26,8600,24.95
15,Justin Jefferson,MIN,WR,2,PHI,28,25,9100,24.76
16,Tyreek Hill,MIA,WR,12,HOU,21,5,8800,24.34
17,Justin Jefferson,MIN,WR,15,IND,10,2,9100,24.16
18,Justin Jefferson,MIN,WR,8,ARI,24,9,9100,24.05
19,Justin Jefferson,MIN,WR,11,DAL,7,22,9100,23.94
20,Justin Jefferson,MIN,WR,6,MIA,27,25,8900,23.85
21,Cooper Kupp,LAR,WR,8,SF,6,22,9600,21.85
22,Cooper Kupp,LAR,WR,1,BUF,1,1,8500,21.5
23,Stefon Diggs,BUF,WR,11,CLE,26,23,8300,21.46
24,Cooper Kupp,LAR,WR,9,TB,13,14,8900,21.41
25,Stefon Diggs,BUF,WR,4,BAL,32,32,8400,21.27
26,Davante Adams,LV,WR,2,ARI,32,11,8600,21.25
27,Davante Adams,LV,WR,13,LAC,25,10,8700,21.06
28,Davante Adams,LV,WR,10,IND,7,2,8700,20.94
29,Stefon Diggs,BUF,WR,6,KC,28,26,8400,20.88
30,Stefon Diggs,BUF,WR,5,PIT,20,27,8400,20.87
31,Stefon Diggs,BUF,WR,14,NYJ,4,3,8300,20.8
32,Tyreek Hill,MIA,WR,8,DET,32,20,8500,20.77
33,Tyreek Hill,MIA,WR,9,CHI,10,6,8500,20.73
34,Davante Adams,LV,WR,14,LAR,17,24,8900,20.71
35,Davante Adams,LV,WR,12,SEA,22,6,8600,20.65
36,Justin Jefferson,MIN,WR,5,CHI,9,4,8900,20.6
37,Stefon Diggs,BUF,WR,9,NYJ,8,8,8400,20.55
38,Stefon Diggs,BUF,WR,10,MIN,20,27,8300,20.35
39,Stefon Diggs,BUF,WR,8,GB,8,7,8900,20.34
40,Davante Adams,LV,WR,15,NE,6,7,9000,20.32
41,Justin Jefferson,MIN,WR,12,NE,4,3,8400,20.21
42,Davante Adams,LV,WR,3,TEN,29,29,8400,20.09
43,Stefon Diggs,BUF,WR,3,MIA,20,20,7700,19.97
44,Tyreek Hill,MIA,WR,13,SF,1,19,8800,19.95
45,Justin Jefferson,MIN,WR,13,NYJ,3,4,8900,19.9
46,Stefon Diggs,BUF,WR,15,MIA,21,14,8100,19.78
47,DeAndre Hopkins,ARI,WR,8,MIN,18,17,7400,19.75
47,Amon-Ra St. Brown,DET,WR,17,CHI,21,21,7800,19.75
49,Davante Adams,LV,WR,7,HOU,18,9,8700,19.65
50,Tyreek Hill,MIA,WR,7,PIT,27,31,8000,19.61
51,Stefon Diggs,BUF,WR,13,NE,6,6,8200,19.51
52,CeeDee Lamb,DAL,WR,14,HOU,18,4,7500,19.39
53,Davante Adams,LV,WR,8,NO,22,28,8600,19.3
54,Davante Adams,LV,WR,5,KC,23,23,8500,19.18
55,Ja'Marr Chase,CIN,WR,18,BAL,null,null,8400,19.14
56,Justin Jefferson,MIN,WR,1,GB,13,20,7800,19.12
57,DeAndre Hopkins,ARI,WR,9,SEA,25,3,7900,19.11
58,Justin Jefferson,MIN,WR,10,BUF,3,10,8800,19.07
59,Ja'Marr Chase,CIN,WR,17,BUF,2,23,8400,19
60,Ja'Marr Chase,CIN,WR,15,TB,11,13,8300,18.84
61,Amon-Ra St. Brown,DET,WR,14,MIN,30,30,7800,18.83
62,Tyreek Hill,MIA,WR,15,BUF,5,21,9000,18.77
63,Ja'Marr Chase,CIN,WR,2,DAL,12,23,8000,18.76
63,Justin Jefferson,MIN,WR,4,NO,8,9,9000,18.76
63,Davante Adams,LV,WR,11,DEN,1,1,8700,18.76
66,Stefon Diggs,BUF,WR,2,TEN,23,19,7700,18.75
67,Ja'Marr Chase,CIN,WR,1,PIT,21,12,7100,18.7
68,Ja'Marr Chase,CIN,WR,14,CLE,20,19,7900,18.65
69,Tyreek Hill,MIA,WR,17,NE,6,16,8900,18.64
69,Davante Adams,LV,WR,1,LAC,26,3,8100,18.64
71,Tyreek Hill,MIA,WR,5,NYJ,18,22,8000,18.61
72,Ja'Marr Chase,CIN,WR,16,NE,6,8,8300,18.59
73,A.J. Brown,PHI,WR,15,CHI,18,16,8000,18.56
74,CeeDee Lamb,DAL,WR,13,IND,8,1,7300,18.53
74,DeAndre Hopkins,ARI,WR,12,LAC,25,10,7700,18.53
76,CeeDee Lamb,DAL,WR,12,NYG,13,4,7100,18.52
77,Ja'Marr Chase,CIN,WR,7,ATL,25,27,8200,18.5
78,CeeDee Lamb,DAL,WR,17,TEN,26,32,8000,18.48
79,CeeDee Lamb,DAL,WR,11,MIN,23,29,7500,18.44
80,Ja'Marr Chase,CIN,WR,3,NYJ,24,19,8100,18.4
81,Ja'Marr Chase,CIN,WR,4,MIA,25,21,8000,18.36
82,Davante Adams,LV,WR,18,KC,23,22,8800,18.3
83,Ja'Marr Chase,CIN,WR,5,BAL,30,31,7900,18.25
84,CeeDee Lamb,DAL,WR,7,DET,32,24,6800,18.24
85,Davante Adams,LV,WR,4,DEN,4,1,8300,18.21
86,Tyreek Hill,MIA,WR,4,CIN,8,2,7600,18.16
87,DeAndre Hopkins,ARI,WR,11,SF,1,18,7900,18.15
88,CeeDee Lamb,DAL,WR,18,WAS,11,21,8200,18.06
89,Stefon Diggs,BUF,WR,17,CIN,10,18,8100,17.98
90,Deebo Samuel,SF,WR,5,CAR,15,12,7700,17.89
91,Ja'Marr Chase,CIN,WR,6,NO,17,23,7700,17.84
92,Stefon Diggs,BUF,WR,18,NE,null,null,7900,17.83
93,Cooper Kupp,LAR,WR,10,ARI,28,14,9000,17.77
94,CeeDee Lamb,DAL,WR,15,JAX,22,26,7300,17.74
95,Stefon Diggs,BUF,WR,1,LAR,10,17,7200,17.72
96,Davante Adams,LV,WR,9,JAX,14,19,8100,17.68
97,A.J. Brown,PHI,WR,18,NYG,21,10,8000,17.65
98,Tyreek Hill,MIA,WR,3,BUF,1,4,7600,17.64
99,Amon-Ra St. Brown,DET,WR,13,JAX,20,25,7100,17.6
100,A.J. Brown,PHI,WR,10,WAS,16,27,7900,17.58
101,Davante Adams,LV,WR,16,PIT,21,29,9000,17.57
101,Amon-Ra St. Brown,DET,WR,16,CAR,15,21,7800,17.57
103,A.J. Brown,PHI,WR,9,HOU,21,5,7800,17.54
104,Stefon Diggs,BUF,WR,16,CHI,17,22,8500,17.53
105,Mike Evans,TB,WR,5,ATL,26,25,6900,17.44
105,A.J. Brown,PHI,WR,14,NYG,16,7,8000,17.44
107,Amon-Ra St. Brown,DET,WR,15,NYJ,3,2,7800,17.42
108,Tee Higgins,CIN,WR,9,CAR,20,20,7300,17.39
109,Deebo Samuel,SF,WR,4,LAR,16,31,7800,17.37
110,Jaylen Waddle,MIA,WR,4,CIN,8,2,7100,17.35
111,A.J. Brown,PHI,WR,4,JAX,5,21,7400,17.31
111,Jaylen Waddle,MIA,WR,10,CLE,18,18,7600,17.31
111,Amon-Ra St. Brown,DET,WR,9,GB,6,9,6600,17.31
114,Tyreek Hill,MIA,WR,2,BAL,9,14,7100,17.29
115,Marquise Brown,ARI,WR,6,SEA,32,11,7200,17.19
116,Deebo Samuel,SF,WR,6,ATL,26,27,7600,17.18
117,CeeDee Lamb,DAL,WR,10,GB,6,7,7000,17.09
118,Tee Higgins,CIN,WR,8,CLE,21,16,6500,17.07
119,A.J. Brown,PHI,WR,2,MIN,5,4,7200,17.04
120,CeeDee Lamb,DAL,WR,1,TB,6,11,6700,17.01
121,Michael Pittman Jr.,IND,WR,4,TEN,28,30,7200,16.99
122,A.J. Brown,PHI,WR,13,TEN,19,31,7800,16.96
122,DeAndre Hopkins,ARI,WR,14,NE,7,8,7900,16.96
124,Tee Higgins,CIN,WR,12,TEN,18,30,6900,16.89
124,Chris Godwin,TB,WR,13,NO,13,22,6500,16.89
126,A.J. Brown,PHI,WR,11,IND,6,2,8000,16.88
127,Amon-Ra St. Brown,DET,WR,3,MIN,15,16,7200,16.87
128,A.J. Brown,PHI,WR,5,ARI,21,7,7500,16.83
128,CeeDee Lamb,DAL,WR,16,PHI,3,7,7500,16.83
130,A.J. Brown,PHI,WR,16,DAL,8,28,8100,16.8
131,Amon-Ra St. Brown,DET,WR,10,CHI,14,12,6900,16.77
132,Deebo Samuel,SF,WR,7,KC,31,29,7600,16.73
132,Mike Evans,TB,WR,8,BAL,21,26,7300,16.73
134,Ja'Marr Chase,CIN,WR,13,KC,23,27,7900,16.66
135,Jaylen Waddle,MIA,WR,9,CHI,10,6,7400,16.62
136,A.J. Brown,PHI,WR,12,GB,13,12,7500,16.61
137,Deebo Samuel,SF,WR,2,SEA,17,18,7800,16.6
138,Tyreek Hill,MIA,WR,6,MIN,16,15,7500,16.59
