Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,San Francisco 49ers,SF,DST,18,ARI,null,null,4100,12.9
2,Tampa Bay Buccaneers,TB,DST,7,CAR,null,null,3900,12.7
3,Pittsburgh Steelers,PIT,DST,4,NYJ,null,null,3600,10.3
3,New England Patriots,NE,DST,7,CHI,null,null,3800,10.3
5,Dallas Cowboys,DAL,DST,8,CHI,null,null,4000,10
6,Dallas Cowboys,DAL,DST,14,HOU,null,null,3800,9.9
7,Minnesota Vikings,MIN,DST,5,CHI,null,null,3600,9.8
8,Philadelphia Eagles,PHI,DST,10,WAS,null,null,3700,9.7
8,Dallas Cowboys,DAL,DST,13,IND,null,null,3900,9.7
8,New England Patriots,NE,DST,11,NYJ,null,null,3700,9.7
8,Green Bay Packers,GB,DST,6,NYJ,null,null,4000,9.7
12,Green Bay Packers,GB,DST,2,CHI,null,null,2900,9.6
12,Buffalo Bills,BUF,DST,2,TEN,null,null,3100,9.6
14,Green Bay Packers,GB,DST,15,LAR,null,null,3500,9.5
14,Philadelphia Eagles,PHI,DST,8,PIT,null,null,3900,9.5
14,Chicago Bears,CHI,DST,6,WAS,null,null,3300,9.5
14,Los Angeles Rams,LAR,DST,6,CAR,null,null,4100,9.5
18,Philadelphia Eagles,PHI,DST,15,CHI,null,null,3900,9.4
18,Buffalo Bills,BUF,DST,5,PIT,null,null,4100,9.4
18,Dallas Cowboys,DAL,DST,3,NYG,null,null,3500,9.4
18,Chicago Bears,CHI,DST,4,NYG,null,null,2700,9.4
18,Tampa Bay Buccaneers,TB,DST,6,PIT,null,null,3900,9.4
18,New York Giants,NYG,DST,17,IND,null,null,3900,9.4
24,San Francisco 49ers,SF,DST,1,CHI,null,null,4100,9.3
24,Cleveland Browns,CLE,DST,2,NYJ,null,null,3700,9.3
24,Los Angeles Rams,LAR,DST,2,ATL,null,null,4000,9.3
27,Seattle Seahawks,SEA,DST,14,CAR,null,null,3600,9.2
27,San Francisco 49ers,SF,DST,16,WAS,null,null,3900,9.2
27,Minnesota Vikings,MIN,DST,4,NO,null,null,3500,9.2
27,Philadelphia Eagles,PHI,DST,11,IND,null,null,3900,9.2
27,San Francisco 49ers,SF,DST,17,LV,null,null,2900,9.2
27,Dallas Cowboys,DAL,DST,12,NYG,null,null,3700,9.2
27,Indianapolis Colts,IND,DST,12,PIT,null,null,3100,9.2
34,Philadelphia Eagles,PHI,DST,18,NYG,null,null,4000,9.1
34,Dallas Cowboys,DAL,DST,18,WAS,null,null,3900,9.1
34,New Orleans Saints,NO,DST,1,ATL,null,null,3700,9.1
34,Kansas City Chiefs,KC,DST,15,HOU,null,null,4000,9.1
34,San Francisco 49ers,SF,DST,2,SEA,null,null,3900,9.1
34,Tampa Bay Buccaneers,TB,DST,5,ATL,null,null,3900,9.1
34,Chicago Bears,CHI,DST,3,HOU,null,null,3800,9.1
34,Washington Commanders,WAS,DST,6,CHI,null,null,3200,9.1
34,San Francisco 49ers,SF,DST,6,ATL,null,null,3700,9.1
34,Dallas Cowboys,DAL,DST,17,TEN,null,null,3800,9.1
34,Kansas City Chiefs,KC,DST,12,LAR,null,null,2800,9.1
34,Dallas Cowboys,DAL,DST,7,DET,null,null,4000,9.1
46,Baltimore Ravens,BAL,DST,13,DEN,null,null,4000,9
46,Seattle Seahawks,SEA,DST,13,LAR,null,null,3600,9
46,Tampa Bay Buccaneers,TB,DST,13,NO,null,null,3600,9
46,Indianapolis Colts,IND,DST,2,JAX,null,null,3500,9
46,San Francisco 49ers,SF,DST,5,CAR,null,null,3800,9
46,New Orleans Saints,NO,DST,3,CAR,null,null,3500,9
46,Cincinnati Bengals,CIN,DST,3,NYJ,null,null,3600,9
46,Dallas Cowboys,DAL,DST,4,WAS,null,null,3500,9
46,Indianapolis Colts,IND,DST,4,TEN,null,null,3000,9
46,San Francisco 49ers,SF,DST,4,LAR,null,null,3000,9
46,San Francisco 49ers,SF,DST,11,ARI,null,null,3000,9
46,Miami Dolphins,MIA,DST,12,HOU,null,null,3900,9
46,Philadelphia Eagles,PHI,DST,12,GB,null,null,3400,9
59,Tampa Bay Buccaneers,TB,DST,16,ARI,null,null,3300,8.9
59,Minnesota Vikings,MIN,DST,18,CHI,null,null,2900,8.9
59,San Francisco 49ers,SF,DST,15,SEA,null,null,3200,8.9
59,New England Patriots,NE,DST,8,NYJ,null,null,3000,8.9
59,Green Bay Packers,GB,DST,5,NYG,null,null,3700,8.9
59,Miami Dolphins,MIA,DST,5,NYJ,null,null,3200,8.9
59,Baltimore Ravens,BAL,DST,11,CAR,null,null,4000,8.9
59,Minnesota Vikings,MIN,DST,12,NE,null,null,3300,8.9
67,Philadelphia Eagles,PHI,DST,14,NYG,null,null,3700,8.8
67,New England Patriots,NE,DST,9,IND,null,null,4100,8.8
67,Buffalo Bills,BUF,DST,9,NYJ,null,null,4300,8.8
67,Tennessee Titans,TEN,DST,16,HOU,null,null,3600,8.8
67,Denver Broncos,DEN,DST,16,LAR,null,null,3600,8.8
67,Tennessee Titans,TEN,DST,1,NYG,null,null,3500,8.8
67,Buffalo Bills,BUF,DST,13,NE,null,null,3500,8.8
67,New Orleans Saints,NO,DST,15,ATL,null,null,3800,8.8
67,Dallas Cowboys,DAL,DST,15,JAX,null,null,3700,8.8
67,Tampa Bay Buccaneers,TB,DST,2,NO,null,null,3300,8.8
67,New York Giants,NYG,DST,4,CHI,null,null,3100,8.8
78,Miami Dolphins,MIA,DST,9,CHI,null,null,3800,8.7
78,Buffalo Bills,BUF,DST,16,CHI,null,null,4000,8.7
78,New Orleans Saints,NO,DST,10,PIT,null,null,3500,8.7
78,Jacksonville Jaguars,JAX,DST,18,TEN,null,null,3400,8.7
78,Philadelphia Eagles,PHI,DST,13,TEN,null,null,3800,8.7
78,Buffalo Bills,BUF,DST,15,MIA,null,null,2700,8.7
78,Cincinnati Bengals,CIN,DST,2,DAL,null,null,2200,8.7
78,Green Bay Packers,GB,DST,4,NE,null,null,4100,8.7
78,Jacksonville Jaguars,JAX,DST,6,IND,null,null,3000,8.7
78,Indianapolis Colts,IND,DST,6,JAX,null,null,3200,8.7
