Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Travis Kelce,KC,TE,13,CIN,11,12,7900,19.83
2,Travis Kelce,KC,TE,9,TEN,18,19,7800,19.76
3,Travis Kelce,KC,TE,12,LAR,12,11,7700,19.45
4,Travis Kelce,KC,TE,11,LAC,24,14,8000,19.33
5,Travis Kelce,KC,TE,5,LV,22,21,7700,19.12
6,Travis Kelce,KC,TE,14,DEN,2,14,7600,19.1
7,Travis Kelce,KC,TE,18,LV,30,21,7900,18.88
8,Travis Kelce,KC,TE,15,HOU,17,19,7800,18.86
9,Travis Kelce,KC,TE,16,SEA,27,32,8000,18.77
10,Travis Kelce,KC,TE,2,LAC,16,24,7500,18.65
11,Travis Kelce,KC,TE,10,JAX,15,9,7800,18.48
12,Travis Kelce,KC,TE,3,IND,17,28,7900,18.01
13,Mark Andrews,BAL,TE,7,CLE,24,12,7400,17.99
14,Travis Kelce,KC,TE,17,DEN,4,23,8100,17.71
15,Mark Andrews,BAL,TE,6,NYG,10,13,7000,17.65
16,Mark Andrews,BAL,TE,5,CIN,9,14,6900,17.63
17,Travis Kelce,KC,TE,6,BUF,2,4,7800,17.58
18,Travis Kelce,KC,TE,7,SF,1,7,8000,17.51
19,Travis Kelce,KC,TE,1,ARI,9,2,6600,17.49
20,Mark Andrews,BAL,TE,4,BUF,2,5,7100,17.48
21,Travis Kelce,KC,TE,4,TB,3,16,7700,16.98
22,Mark Andrews,BAL,TE,12,JAX,19,14,6500,16.76
23,Mark Andrews,BAL,TE,1,NYJ,32,27,6800,16.58
24,Mark Andrews,BAL,TE,3,NE,5,13,6900,16
25,Mark Andrews,BAL,TE,8,TB,12,24,7100,15.95
26,Mark Andrews,BAL,TE,2,MIA,2,17,6400,15.23
27,Mark Andrews,BAL,TE,11,CAR,20,12,6800,14.82
28,Mark Andrews,BAL,TE,13,DEN,2,14,6600,14.51
29,Mark Andrews,BAL,TE,14,PIT,25,13,6500,13.65
30,Darren Waller,LV,TE,4,DEN,4,24,5600,13.43
31,Darren Waller,LV,TE,3,TEN,29,7,5800,13.35
32,Dallas Goedert,PHI,TE,10,WAS,16,1,5500,13.31
33,Darren Waller,LV,TE,2,ARI,32,32,5600,13.17
34,Darren Waller,LV,TE,1,LAC,26,32,5400,12.97
35,George Kittle,SF,TE,18,ARI,29,31,6000,12.76
36,Evan Engram,JAX,TE,18,TEN,26,27,4500,12.71
37,Kyle Pitts,ATL,TE,1,NO,3,7,5700,12.52
38,T.J. Hockenson,DET,TE,5,NE,19,29,4900,12.44
39,Dallas Goedert,PHI,TE,9,HOU,21,13,5000,12.42
40,Mark Andrews,BAL,TE,15,CLE,20,7,5700,12.4
41,Zach Ertz,ARI,TE,6,SEA,32,32,4900,12.39
42,Mark Andrews,BAL,TE,16,ATL,29,28,5500,12.37
43,Tyler Higbee,LAR,TE,6,CAR,18,14,4600,12.31
44,T.J. Hockenson,MIN,TE,14,DET,32,30,5100,12.29
45,George Kittle,SF,TE,8,LAR,5,1,5700,12.27
46,Kyle Pitts,ATL,TE,2,LAR,28,3,5400,12.17
46,Darren Waller,LV,TE,5,KC,23,27,5400,12.17
46,Evan Engram,JAX,TE,17,HOU,19,17,4400,12.17
49,George Kittle,SF,TE,3,DEN,4,29,5600,12.16
50,George Kittle,SF,TE,17,LV,25,22,5900,12.1
50,T.J. Hockenson,MIN,TE,17,GB,12,11,5400,12.1
50,T.J. Hockenson,MIN,TE,15,IND,10,17,5000,12.1
53,Dalton Schultz,DAL,TE,1,TB,6,15,5000,12.08
54,T.J. Hockenson,MIN,TE,13,NYJ,3,10,5200,11.99
55,Zach Ertz,ARI,TE,7,NO,20,2,5000,11.98
56,George Kittle,SF,TE,7,KC,31,22,5300,11.94
57,George Kittle,SF,TE,11,ARI,25,31,5400,11.92
58,Dallas Goedert,PHI,TE,1,DET,31,23,4500,11.91
59,T.J. Hockenson,MIN,TE,10,BUF,3,3,5300,11.87
60,Tyler Higbee,LAR,TE,5,DAL,6,5,4300,11.86
61,Dallas Goedert,PHI,TE,6,DAL,5,3,5000,11.84
62,George Kittle,SF,TE,10,LAC,25,16,5900,11.82
63,George Kittle,SF,TE,13,MIA,22,30,5000,11.8
64,Dallas Goedert,PHI,TE,8,PIT,27,7,5000,11.75
65,Kyle Pitts,ATL,TE,4,CLE,19,10,5000,11.74
66,George Kittle,SF,TE,16,WAS,7,3,5300,11.68
66,Zach Ertz,ARI,TE,4,CAR,14,11,4700,11.68
66,Zach Ertz,ARI,TE,3,LAR,19,2,4600,11.68
69,Kyle Pitts,ATL,TE,3,SEA,21,26,4800,11.64
69,T.J. Hockenson,DET,TE,4,SEA,22,25,4100,11.64
71,Dalton Schultz,DAL,TE,15,JAX,22,26,4400,11.57
71,Gerald Everett,LAC,TE,9,ATL,31,24,4800,11.57
73,Zach Ertz,ARI,TE,5,PHI,3,11,4800,11.55
74,George Kittle,SF,TE,5,CAR,15,19,5200,11.53
75,T.J. Hockenson,DET,TE,1,PHI,15,31,4900,11.51
76,T.J. Hockenson,MIN,TE,11,DAL,7,2,5300,11.48
77,George Kittle,SF,TE,4,LAR,16,2,5300,11.46
78,Dallas Goedert,PHI,TE,5,ARI,21,31,4700,11.45
79,Pat Freiermuth,PIT,TE,12,IND,7,21,4000,11.41
80,Pat Freiermuth,PIT,TE,13,ATL,26,20,4300,11.34
81,George Kittle,SF,TE,12,NO,17,3,5300,11.33
82,Zach Ertz,ARI,TE,9,SEA,25,32,5100,11.32
83,T.J. Hockenson,MIN,TE,12,NE,4,25,5000,11.31
84,Dallas Goedert,PHI,TE,3,WAS,28,10,4700,11.28
84,Dalton Schultz,DAL,TE,2,CIN,7,27,5200,11.28
86,T.J. Hockenson,DET,TE,8,MIA,20,21,4900,11.24
87,George Kittle,SF,TE,6,ATL,26,28,5100,11.1
88,Tyler Higbee,LAR,TE,8,SF,6,12,4200,11.03
89,T.J. Hockenson,DET,TE,7,DAL,7,2,4800,11
90,Gerald Everett,LAC,TE,5,CLE,16,8,4200,10.97
91,T.J. Hockenson,DET,TE,2,WAS,19,9,4700,10.96
92,Taysom Hill,NO,TE,18,CAR,22,8,4800,10.88
92,Dallas Goedert,PHI,TE,2,MIN,5,21,4600,10.88
94,T.J. Hockenson,MIN,TE,16,NYG,19,19,4900,10.87
95,Gerald Everett,LAC,TE,7,SEA,29,32,4000,10.84
95,Dallas Goedert,PHI,TE,18,NYG,21,22,4900,10.84
97,Taysom Hill,NO,TE,17,PHI,5,6,4900,10.83
98,Zach Ertz,ARI,TE,2,LV,24,28,4500,10.82
98,Tyler Higbee,LAR,TE,3,ARI,32,32,4500,10.82
100,Dalton Schultz,DAL,TE,14,HOU,18,20,4400,10.79
100,Zach Ertz,ARI,TE,8,MIN,18,28,5100,10.79
102,Tyler Higbee,LAR,TE,4,SF,1,1,4400,10.76
103,Pat Freiermuth,PIT,TE,14,BAL,12,15,4500,10.73
104,Tyler Higbee,LAR,TE,11,NO,16,1,4000,10.71
